年数,馬名,タイム指数2,タイム指数3,タイム指数4,ラベル,1F,3F,4F,上り,順位
2020,クロノジェネシス,119,108,116,1,11.9,37.9,51.7,32.8,1
2020,サラキア,113,113,106,1,12.2,38.1,52.6,33.7,2
2020,フィエールマン,119,108,115,1,12.7,39.3,53,32.7,3
2020,ラッキーライラック,113,105,89,1,12.1,38.4,53,33.9,4
2020,ワールドプレミア,114,118,112,1,12.8,39.8,54.3,35,5
2020,カレンブーケドール,118,104,115,2,12.5,37.4,51.6,34.8,6
2020,ペルシアンナイト,111,104,110,2,11.8,39.8,54.3,33.2,7
2020,クレッシェンドラヴ,102,102,109,2,12.8,40.1,53.6,37,8
2020,オセアグレイト,98,95,96,2,13,39,52.7,34.8,9
2020,ラヴズオンリーユー,112,103,94,2,11.4,38.1,52.4,33.8,10
2020,ユーキャンスマイル,104,103,106,3,12.5,39.2,54.4,35.7,11
2020,キセキ,110,113,114,3,12.3,37.3,52.3,38.9,12
2020,バビット,102,100,105,3,13.1,40.9,55.6,37.7,13
2020,オーソリティ,105,103,100,3,12.5,39.6,53.1,34.4,14
2020,モズベッロ,95,103,112,3,13.1,39.9,54.5,37.6,15
2019,リスグラシュー,118,112,107,1,12.3,37,51.3,35.2,1
2019,サートゥルナーリア,111,100,106,1,12.1,37.3,52.1,34.9,2
2019,ワールドプレミア,112,92,94,1,12.8,40.4,54.5,35.8,3
2019,フィエールマン,109,112,108,1,12.6,37.8,51.6,34.9,4
2019,キセキ,114,104,109,1,11.9,38.1,51.5,35.8,5
2019,シュヴァルグラン,106,113,121,2,12,38.3,52.4,37.6,6
2019,レイデオロ,99,104,108,2,12.3,42,57,38.4,7
2019,ヴェロックス,110,97,106,2,11.5,37.6,51.8,36.2,8
2019,アーモンドアイ,121,128,127,2,14.5,43.9,59.5,33.8,9
2019,エタリオウ,107,108,104,2,12,37.9,51.7,37.7,10
2019,アルアイン,94,98,109,2,12,39.7,54.4,35.4,11
2019,スワーヴリチャード,114,114,112,3,13.2,42.3,58.2,36.5,12
2019,スティッフェリオ,105,106,106,3,12.4,38,52.5,35.1,13
2019,アエロリット,115,108,121,3,12.5,38.7,53,34.8,14
2019,スカーレットカラー,97,126,110,3,12.2,37,50.8,33.9,15
2019,クロコスミア,100,116,102,3,12.7,39.1,54,34.8,16
2018,ブラストワンピース,110,115,104,1,12.7,36.7,51.7,34.1,1
2018,レイデオロ,116,110,108,1,12.8,39.2,53.1,33.6,2
2018,シュヴァルグラン,121,103,107,1,12.5,39.7,53.8,34.5,3
2018,ミッキーロケット,113,116,106,1,12.5,37.4,50.8,34,4
2018,キセキ,123,113,110,1,13.9,42.2,59.9,34.7,5
2018,サトノダイヤモンド,118,108,110,2,11.7,38.4,51.4,34.7,6
2018,サクラアンプルール,110,103,104,2,12.1,39,53.5,33.8,7
2018,モズカッチャン,102,109,109,2,12.6,40.2,54.8,34.7,8
2018,オジュウチョウサン,104,98,70,2,13,38.6,51.7,34.5,9
2018,マカヒキ,109,107,108,2,12.6,37.9,52,33.7,10
2018,ミッキースワロー,119,97,107,2,12.7,38.4,52.4,33.9,11
2018,リッジマン,100,103,95,3,12.5,38.2,53.1,35.7,12
2018,スマートレイアー,101,100,109,3,12.4,38.1,53,34.2,13
2018,パフォーマプロミス,99,109,106,3,12,37.6,51.4,32.6,14
2018,クリンチャー,105,107,109,3,12.3,39.3,54.5,35.7,15
2018,サウンズオブアース,94,105,106,3,12.3,37.1,49.7,38,16
2017,キタサンブラック,110,114,103,1,12.6,39.9,54.5,35.2,1
2017,クイーンズリング,99,103,107,1,12.1,40,53.5,33.9,2
2017,シュヴァルグラン,114,112,104,1,12.9,39.5,54,34.7,3
2017,スワーヴリチャード,113,98,114,1,12.4,37.2,50.1,35,4
2017,ルージュバック,97,105,106,1,12.6,37.8,52.2,34,5
