,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
0,0,2021/05/16,2新潟4,雨,11,弥彦S(3勝クラス),,14,6,9,3.5,1,4,浜中俊,57,芝1800,稍,20,1:48.3,0.3,102,13-13,36.7-34.8,34.1,492(+6),,出遅れ,ユニコーンライオン,270.0,1,,400.113043478261,0.4099999999999999,90.83333333333333,0,,,35.63333333333333,0.7096774193548387,16.62049861495845,16.499280091870485,108.3,13.0,13.0,13.0,36.7,34.8,-2.6000000000000014,-0.6999999999999957,1.9000000000000057,,,8.255555555555555,,,,9.0,9.0,0.0,6.833333333333333,2.1333333333333333,4.7,2.566666666666667,13.963084972006863,1.8517646335494469,6,35.2,,99.25
1,1,2021/06/20,3阪神2,晴,10,垂水S(3勝クラス),,18,8,16,14.4,6,15,福永祐一,56,芝1800,良,-7,1:48.3,1.7,81,8-7,35.0-36.0,37.3,518(-6),,,アカイイト,,2,,482.8666666666667,0.5666666666666668,84.33333333333333,0,,,35.41111111111111,0.6831683168316832,16.62049861495845,16.597292756083593,108.3,8.0,7.0,7.5,35.0,36.0,2.299999999999997,1.2999999999999972,-1.0,36.06666666666666,35.17777777777778,3.75,-0.655555555555557,0.2333333333333327,0.8888888888888897,-8.0,-7.0,1.0,3.6666666666666665,-0.8888888888888888,-0.7777777777777778,0.1111111111111111,10.763363786474933,1.248839461259933,4,36.1,35.55185185185186,92.25
2,2,2021/05/02,1新潟8,曇,12,魚野川特別(2勝クラス),,10,2,2,4.6,2.0,1,西村淳也,57,芝2000,重,32,2:03.9,0.0,93,3-3,36.8-38.1,37.9,482(+6),,,(トゥルーヴィル),1524.5,3,,308.74545454545455,0.6105263157894738,90.0,0,,,35.61052631578948,0.6771653543307087,16.142050040355123,16.366705906106965,123.9,3.0,3.0,3.0,36.8,38.1,1.1000000000000014,-0.20000000000000284,-1.3000000000000043,36.29473684210527,35.57368421052632,5.9605263157894735,-0.6842105263157898,0.036842105263157295,0.7210526315789472,2.0,2.0,0.0,5.368421052631579,1.105263157894737,2.0526315789473686,0.9473684210526315,6.813772816876124,1.5058220346375595,6,37.6,35.82631578947368,89.5
3,3,2021/06/20,3阪神2,晴,10,垂水S(3勝クラス),,18,1,2,18.0,7,6,国分優作,53,芝1800,良,-7,1:47.2,0.6,91,2-2,35.0-36.0,36.5,446(+6),,,アカイイト,,4,,301.24545454545455,0.5666666666666667,90.0,0,,,35.17999999999999,0.6826347305389222,16.791044776119403,16.700137952229465,107.2,2.0,2.0,2.0,35.0,36.0,1.5,0.5,-1.0,35.47333333333333,35.413333333333334,7.955555555555555,-0.29333333333333184,-0.23333333333333145,0.06000000000000038,-4.0,-4.0,0.0,8.066666666666666,2.0,1.8,-0.2,8.347903928532,1.0582820689683823,4,35.833333333333336,35.35555555555556,94.5
4,4,2021/06/26,3阪神3,曇,9,三木特別(2勝クラス),,7,2,2,17.6,5,1,富田暁,57,芝1800,良,-11,1:46.0,0.0,98,2-2,35.8-35.2,35.2,484(+8),,,(オーマイダーリン),1518.2,5,,297.31333333333333,0.7294117647058824,85.17647058823529,0,,,35.80588235294118,0.6453488372093024,16.9811320754717,16.539059992495027,106.0,2.0,2.0,2.0,35.8,35.2,-0.5999999999999943,0.0,0.5999999999999943,36.05882352941177,35.36470588235294,3.0931372549019605,-0.25294117647058806,0.4411764705882353,0.6941176470588234,1.0,1.0,0.0,3.2941176470588234,-2.176470588235294,-2.5294117647058822,-0.35294117647058826,11.513277359447029,1.7543596489254354,5,35.4,35.74313725490196,90.0
5,5,2021/06/06,4中京2,晴,11,高山S(3勝クラス),,14,1,1,31.8,10,2,亀田温心,57,芝2000,良,-13,1:59.8,0.0,94,4-4-4-4,36.3-36.0,35.6,460(0),,,トーセングラン,739.0,6,,282.635,0.7695652173913043,86.6086956521739,0,,,35.86086956521739,0.6551724137931034,16.69449081803005,16.43680824178981,119.8,4.0,4.0,4.0,36.3,36.0,-0.6999999999999957,-0.3999999999999986,0.29999999999999716,36.46521739130436,35.513043478260876,3.402173913043478,-0.6043478260869561,0.34782608695652173,0.9521739130434779,2.0,2.0,0.0,3.652173913043478,-1.434782608695652,-1.826086956521739,-0.391304347826087,7.025622748198198,1.201127942116631,6,35.96666666666666,35.946376811594206,89.75
6,6,2021/03/14,1阪神10,晴,10,伊丹S(3勝クラス),,13,7,10,16.6,8,13,岩田望来,55,ダ1800,稍,-10,1:57.1,5.7,51,6-6-4-6,37.9-36.5,41.6,470(+18),,,タマモサンシーロ,,6,,368.06666666666666,1.5714285714285714,83.42857142857143,0,,,36.04285714285714,0.4594594594594595,15.371477369769428,16.538341193679376,117.1,6.0,6.0,5.5,37.9,36.5,3.700000000000003,5.100000000000001,1.3999999999999986,36.128571428571426,34.871428571428574,4.071428571428571,-0.0857142857142849,1.1714285714285708,1.2571428571428558,-7.0,-7.0,0.0,4.285714285714286,-4.142857142857143,-4.428571428571429,-0.2857142857142857,15.739579886388327,2.372729177550611,4,38.666666666666664,35.680952380952384,83.5
7,7,2021/06/20,3阪神2,晴,10,垂水S(3勝クラス),,18,4,7,12.9,5,4,藤岡康太,56,芝1800,良,-7,1:47.1,0.5,92,9-11,35.0-36.0,35.9,508(-4),,,アカイイト,270.0,8,,358.1083333333333,0.31764705882352945,86.6470588235294,0,,,36.01764705882352,0.8301886792452831,16.80672268907563,16.377274101566996,107.1,9.0,11.0,10.0,35.0,36.0,0.8999999999999986,-0.10000000000000142,-1.0,,,4.852941176470588,,,,7.0,5.0,-2.0,4.411764705882353,1.2941176470588236,2.0,0.7058823529411765,14.191372792242301,1.7966017304282478,7,35.63333333333333,,95.0
8,8,2021/06/20,3阪神2,晴,10,垂水S(3勝クラス),,18,8,18,143.8,15,14,幸英明,53,芝1800,良,-7,1:48.1,1.5,83,13-13,35.0-36.0,36.8,500(+10),,,アカイイト,,9,,173.96,0.5441176470588234,88.29411764705883,0,,,35.37941176470588,0.6408450704225352,16.651248843663275,16.47331245846734,108.1,13.0,13.0,13.0,35.0,36.0,1.7999999999999972,0.7999999999999972,-1.0,36.17352941176471,35.44411764705883,6.286764705882353,-0.7941176470588237,-0.0647058823529423,0.7294117647058814,-1.0,-1.0,0.0,6.0,0.7352941176470589,1.2058823529411764,0.47058823529411764,10.476017314586217,0.9000226754513081,6,35.93333333333333,35.6656862745098,86.25
9,9,2021/06/20,3阪神2,晴,10,垂水S(3勝クラス),,18,7,14,5.7,4,16,浜中俊,53,芝1800,良,-7,1:48.4,1.8,80,2-3,35.0-36.0,37.6,508(+2),,,アカイイト,,10,,408.65,0.8777777777777778,82.77777777777777,0,,,36.38888888888889,0.6,16.605166051660515,16.432897647500468,108.4,2.0,3.0,2.5,35.0,36.0,2.6000000000000014,1.6000000000000014,-1.0,35.1888888888889,35.833333333333336,3.4444444444444446,1.1999999999999997,0.5555555555555564,-0.6444444444444434,-13.0,-14.0,-1.0,3.7777777777777777,-2.4444444444444446,-3.111111111111111,-0.6666666666666666,9.899494936611665,1.3153326575433308,4,36.199999999999996,35.803703703703704,85.0
10,10,2021/01/23,1中山7,雨,11,初富士S(3勝クラス),,14,3,4,9.8,5,9,三浦皇成,56,芝1800,重,26,1:51.6,1.0,96,6-6-6-6,36.0-39.1,37.4,482(+2),,,ドナアトラエンテ,,1,,339.796,0.35600000000000004,90.52,0,,,35.04800000000001,0.7428571428571429,16.129032258064516,16.585959715956413,111.6,6.0,6.0,6.0,36.0,39.1,1.3999999999999986,-1.7000000000000028,-3.1000000000000014,36.312,35.279999999999994,5.593333333333334,-1.2639999999999996,-0.23199999999999904,1.0320000000000005,-3.0,-3.0,0.0,5.0,1.12,2.24,1.12,6.7596085457892965,0.9999778104046984,5,37.5,35.54666666666667,92.75
11,11,2021/01/16,1小倉1,晴,11,虹の松原S(3勝クラス),,14,5,7,9.5,5,6,酒井学,57,芝1800,良,-14,1:46.5,0.3,89,10-11-7-6,34.1-35.9,35.4,492(-8),,,アーデントリー,,2,,386.58000000000004,0.4407407407407406,89.51851851851852,0,,,35.77777777777777,0.6934306569343066,16.901408450704224,16.48533424534326,106.5,10.0,6.0,8.5,34.1,35.9,1.2999999999999972,-0.5,-1.7999999999999972,,,8.154320987654321,,,,0.0,4.0,4.0,6.7407407407407405,1.8518518518518519,4.407407407407407,2.5555555555555554,14.331489163120944,1.9003859704635517,6,35.13333333333333,,99.75
12,12,2021/01/30,1中京9,晴,10,天竜川特別(2勝クラス),,9,5,5,4.7,3,1,松山弘平,57,芝2000,稍,-2,2:01.3,0.0,99,9-9-7-4,36.4-36.0,35.4,478(+8),,出遅れ,(ヒルノダカール),1519.6,3,,338.76,0.29375,91.3125,0,,,34.699999999999996,0.7468354430379747,16.488046166529266,16.430378468722942,121.3,9.0,4.0,7.25,36.4,36.0,-1.0,-0.6000000000000014,0.3999999999999986,36.556250000000006,35.23125,8.229166666666668,-1.8562500000000002,-0.5312500000000004,1.3249999999999997,3.0,8.0,5.0,7.5,3.875,5.0,1.125,10.4963331873861,0.7415965196276711,5,35.93333333333334,35.49583333333333,91.75
13,13,2021/01/16,1小倉1,晴,11,虹の松原S(3勝クラス),,14,5,8,3.0,1,4,吉田隼人,55,芝1800,良,-14,1:46.4,0.2,90,6-5-7-4,34.1-35.9,35.4,450(-6),,,アーデントリー,270.0,4,,462.16,0.3625,88.125,0,,,35.5375,0.8556149732620321,16.917293233082706,16.53237117055506,106.4,6.0,4.0,5.5,34.1,35.9,1.2999999999999972,-0.5,-1.7999999999999972,35.962500000000006,35.587500000000006,4.453125,-0.4250000000000007,-0.050000000000000266,0.37500000000000044,0.0,2.0,2.0,3.75,0.5625,1.625,1.0625,14.31068998164886,2.1556395818690133,5,35.13333333333333,35.69583333333334,95.75
14,14,2020/12/13,5中山4,曇,10,常総S(3勝クラス),,11,1,1,15.3,7,9,石川裕紀,57,芝1800,良,-4,1:49.8,0.5,90,6-6-7-7,37.2-35.7,35.4,520(-4),,,ロザムール,,5,,247.775,0.47500000000000003,90.625,0,,,34.900000000000006,0.64,16.39344262295082,16.773568841832713,109.8,6.0,7.0,6.5,37.2,35.7,-1.8000000000000043,-0.30000000000000426,1.5,35.8125,34.81875,3.7447916666666665,-0.9124999999999992,0.08125000000000115,0.9937500000000004,-2.0,-3.0,-1.0,3.8125,-1.125,-1.1875,-0.0625,6.608686744310783,0.9683575078326078,6,36.1,35.17708333333333,92.75
