,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
0,0,2022/07/10,3小倉4,晴,8,3歳以上1勝クラス,,15,6,11,8.1,4,2,岩田望来,52,ダ1700,稍,-2,1:45.6,0.2,90,6-6-6-3,29.2-38.8,38.6,480(0),,,シェイリーン,310.0,1,,310.0,0.3666666666666667,82.33333333333333,0,,,37.23333333333333,0.9285714285714286,16.098484848484848,16.4485527818187,105.6,6.0,3.0,5.25,29.2,38.8,9.400000000000002,-0.19999999999999574,-9.599999999999998,33.2,37.166666666666664,3.9166666666666665,4.033333333333332,0.06666666666666761,-3.966666666666665,1.0,4.0,3.0,3.0,-1.0,0.3333333333333333,1.3333333333333333,7.905694150420948,1.2103718436910205,3,35.53333333333334,35.86666666666667,82.33333333333333
1,1,2022/07/10,3小倉4,晴,3,3歳未勝利,,16,4,7,2.0,1,1,富田暁,56,ダ1700,稍,-10,1:44.9,0.0,89,2-2-2-2,30.1-37.2,37.2,456(0),,,(シャドウアイル),520.0,2,,215.0,0.9833333333333334,68.0,0,,,39.15,0.7777777777777778,16.205910390848427,15.837629754006711,104.9,2.0,2.0,2.0,30.1,37.2,7.100000000000001,0.0,-7.100000000000001,35.550000000000004,38.35,2.25,3.599999999999999,0.7999999999999995,-2.7999999999999994,1.0,1.0,0.0,2.5,-2.0,-2.5,-0.5,18.47336748193055,1.3537551703408146,3,34.833333333333336,37.68333333333334,76.75
2,2,2022/06/12,4中京4,晴,8,3歳以上1勝クラス,,13,3,3,4.6,2,7,松山弘平,54,ダ1900,良,-15,2:01.4,0.8,71,7-7-9-9,30.8-38.4,38.0,470(-6),,,ワイドレッジャドロ,,3,,170.0,0.7285714285714286,68.28571428571429,0,,,36.92857142857143,0.6756756756756757,15.650741350906095,16.0116107001936,121.4,7.0,9.0,8.0,30.8,38.4,7.199999999999999,-0.3999999999999986,-7.599999999999998,36.300000000000004,36.699999999999996,4.785714285714286,0.6285714285714289,0.2285714285714288,-0.4000000000000001,2.0,0.0,-2.0,5.428571428571429,1.4285714285714286,0.7142857142857143,-0.7142857142857143,10.665364503850771,1.7435595774162693,3,35.733333333333334,36.642857142857146,71.5
3,3,2022/06/11,3東京3,曇,7,3歳以上1勝クラス,,16,3,5,43.4,9,8,武士沢友,55,ダ1600,良,-19,1:38.2,0.8,76,15-13,35.6-36.2,35.6,482(-2),,出遅れ,ブーケドフルール,,4,,108.18181818181819,1.1666666666666663,78.66666666666667,0,,,37.75833333333333,0.6540880503144654,16.293279022403258,16.012825526616798,98.2,15.0,13.0,14.0,35.6,36.2,0.0,-0.6000000000000014,-0.6000000000000014,35.44166666666667,37.78333333333333,11.270833333333334,2.316666666666666,-0.025000000000000355,-2.3416666666666663,5.0,7.0,2.0,10.416666666666666,4.166666666666667,5.666666666666667,1.5,12.088431557269658,1.6218916561776555,4,35.800000000000004,36.99444444444445,77.75
4,4,2022/07/10,1函館10,曇,8,3歳以上1勝クラス,,12,2,2,13.3,6,4,吉田隼人,57,ダ1700,良,-12,1:46.6,1.3,82,5-5-6-4,30.2-38.9,39.5,492(-6),,,ローヴェロ,120.0,5,,147.76470588235293,1.055,74.1,0,,,39.56499999999999,0.7652173913043478,15.947467166979363,15.658295492426536,106.6,5.0,4.0,5.0,30.2,38.9,9.3,0.6000000000000014,-8.7,36.415,38.85,3.8625,3.1499999999999995,0.7149999999999992,-2.4350000000000005,0.0,1.0,1.0,3.9,-1.5,-1.65,-0.15,12.132488570427942,1.1722606413839323,4,36.2,38.276666666666664,81.75
5,5,2022/04/23,2阪神9,晴,4,3歳未勝利,,10,3,3,3.8,2,1,岩田望来,56,ダ2000,良,-6,2:07.7,0.0,83,4-4-3-3,36.8-37.0,36.8,520(0),,,(シャンバラ),520.0,6,,365.0,1.0,76.33333333333333,0,,,37.199999999999996,0.9545454545454546,15.661707126076742,15.750624678213292,127.7,4.0,3.0,3.5,36.8,37.0,0.0,-0.20000000000000284,-0.20000000000000284,35.766666666666666,37.4,10.833333333333334,1.4333333333333325,-0.20000000000000284,-1.6333333333333353,2.0,3.0,1.0,10.0,3.3333333333333335,4.666666666666667,1.3333333333333333,6.7592529172978875,1.0280442597476056,3,36.86666666666667,36.78888888888889,76.33333333333333
6,6,2022/06/12,4中京4,晴,8,3歳以上1勝クラス,,13,6,9,22.1,8,4,角田大河,54,ダ1900,良,-15,2:01.1,0.5,73,3-3-3-3,30.8-38.4,38.6,506(-8),,,ワイドレッジャドロ,120.0,7,,123.63636363636364,0.9545454545454546,72.0,0,,,38.92727272727273,0.6928571428571428,15.68951279933939,15.69584477291259,121.1,3.0,3.0,3.0,30.8,38.4,7.800000000000001,0.20000000000000284,-7.599999999999998,33.90909090909091,38.58181818181818,6.090909090909091,5.0181818181818185,0.34545454545454585,-4.672727272727273,-1.0,-1.0,0.0,6.545454545454546,1.6363636363636365,0.6363636363636364,-1.0,9.01041064547005,1.067317509772358,4,35.93333333333333,37.13939393939394,77.75
7,7,2022/05/21,3中京5,曇,6,4歳以上1勝クラス,,12,2,2,44.9,10,9,和田竜二,57,ダ1400,良,-9,1:25.9,1.1,73,6-6,35.6-37.4,37.6,436(-14),,,セイイーグル,,8,,0.0,1.4666666666666668,73.33333333333333,0,,,38.199999999999996,0.3,16.298020954598368,16.23962099687789,85.9,6.0,6.0,6.0,35.6,37.4,2.0,0.20000000000000284,-1.7999999999999972,33.93333333333333,37.900000000000006,8.972222222222223,4.266666666666667,0.3000000000000007,-3.9666666666666663,-3.0,-3.0,0.0,9.0,-0.5,-0.5,0.0,2.610809554642438,1.6052210732100252,4,36.86666666666667,36.67777777777777,74.5
8,8,2022/07/17,3小倉6,晴,12,3歳以上1勝クラス,,15,8,14,139.5,15,4,富田暁,55,ダ1700,良,-2,1:46.7,0.8,80,11-10-7-4,29.9-38.3,38.5,482(0),,,イチネンエーグミ,120.0,9,,92.4090909090909,1.0958333333333334,75.25,0,,,38.15,0.5595238095238095,15.932521087160262,15.723391808111662,106.7,11.0,4.0,8.0,29.9,38.3,8.600000000000001,0.20000000000000284,-8.399999999999999,36.400000000000006,37.962500000000006,8.291666666666666,1.7499999999999998,0.1874999999999991,-1.5625000000000007,0.0,7.0,7.0,7.5,1.4166666666666667,2.75,1.3333333333333333,7.172168430816443,1.2415731955869536,5,35.56666666666666,37.50416666666666,71.75
9,9,2022/02/05,1東京3,曇,8,4歳以上1勝クラス,,16,7,13,4.5,2,5,江田照男,57,ダ1600,良,1,1:38.8,0.4,89,1-1,35.7-37.2,37.6,504(-2),,,ウインジョイフル,77.0,10,,156.94444444444446,0.74,74.6,0,,,38.61000000000001,0.7096774193548387,16.194331983805668,15.835374058222817,98.8,1.0,1.0,1.0,35.7,37.2,1.8999999999999986,0.3999999999999986,-1.5,35.459999999999994,38.120000000000005,2.875,3.1500000000000004,0.4899999999999999,-2.6600000000000006,-4.0,-4.0,0.0,3.0,-2.8,-3.0,-0.2,10.517989312295088,1.3799029789825654,4,36.833333333333336,37.39666666666667,81.75
