,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
0,0,2021/08/07,1函館11,晴,5,2歳新馬,,9,8,8,3.6,2,1,吉田隼人,54,芝1200,良,-7,1:10.0,0.0,81,2-2,34.3-35.7,35.7,442(0),,,(バイハリウッド),700.0,1,,700.0,0.0,81.0,0,,,35.7,1.0,17.142857142857142,17.142857142857142,70.0,2.0,2.0,2.0,34.3,35.7,1.4000000000000057,0.0,-1.4000000000000057,34.3,35.7,2.0,1.4000000000000057,0.0,-1.4000000000000057,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.04999999999999716,2,35.233333333333334,35.233333333333334,81.0
1,1,2021/07/17,1函館5,晴,11,函館2歳S(G3),,11,4,4,2.2,1,7,藤岡佑介,54,芝1200,良,-3,1:10.6,0.7,77,1-1,33.7-36.2,36.9,402(+10),,S接触,ナムラリコリス,,2,,350.0,0.35,86.5,0,,,35.599999999999994,0.7142857142857143,16.997167138810198,17.335107869846922,70.6,1.0,1.0,1.0,33.7,36.2,3.1999999999999957,0.6999999999999957,-2.5,33.650000000000006,35.25,1.0,1.9499999999999957,0.34999999999999787,-1.5999999999999979,-6.0,-6.0,0.0,1.0,-3.0,-3.0,0.0,7.93025150224688,1.0873004286866736,2,35.6,34.83333333333333,86.5
2,2,2021/07/17,1函館5,晴,11,函館2歳S(G3),,11,8,10,14.4,6,8,亀田温心,54,芝1200,良,-3,1:10.7,0.8,75,2-2,33.7-36.2,36.8,406(+2),,,ナムラリコリス,,3,,263.3333333333333,0.3666666666666667,79.33333333333333,0,,,35.13333333333333,0.7647058823529411,16.973125884016973,17.282315904786845,70.7,2.0,2.0,2.0,33.7,36.2,3.0999999999999943,0.5999999999999943,-2.5,34.0,34.93333333333334,2.0,1.1333333333333329,0.1999999999999981,-0.9333333333333348,-6.0,-6.0,0.0,1.6666666666666667,-2.0,-1.3333333333333333,0.6666666666666666,4.301162633521313,1.2893796958227617,2,35.56666666666667,34.68888888888889,79.33333333333333
3,3,2021/08/28,2札幌5,晴,2,2歳未勝利,,10,4,4,2.6,2,1,横山和生,54,芝1200,良,-12,1:10.2,0.0,79,4-3,34.2-36.0,35.7,488(+8),,,(パーサヴィアランス),510.0,4,,211.4,0.33999999999999997,77.0,0,,,35.1,0.8333333333333334,17.094017094017094,17.099366795338117,70.2,4.0,3.0,3.5,34.2,36.0,1.5,-0.29999999999999716,-1.7999999999999972,34.44,35.4,4.7,0.6599999999999995,-0.2999999999999986,-0.959999999999998,2.0,3.0,1.0,4.4,1.6,2.2,0.6,5.177408189003023,0.5335936864527384,2,35.300000000000004,34.980000000000004,78.0
4,4,2021/07/25,1函館8,曇,1,2歳未勝利,,7,1,1,1.4,1,1,池添謙一,54,芝1200,良,-8,1:10.0,0.0,80,2-2,34.0-36.0,35.9,454(+4),,,(ハートホイップ),510.0,5,,213.33333333333334,0.7999999999999999,76.0,0,,,35.83333333333333,0.6538461538461539,17.142857142857142,17.17560376586165,70.0,2.0,2.0,2.0,34.0,36.0,1.8999999999999986,-0.10000000000000142,-2.0,33.699999999999996,35.36666666666667,3.8333333333333335,2.1333333333333306,0.4666666666666662,-1.6666666666666643,1.0,1.0,0.0,4.333333333333333,0.3333333333333333,-0.6666666666666666,-1.0,4.322904116447646,0.12247448713916065,2,35.300000000000004,34.96666666666667,76.0
5,5,2021/08/17,門別,曇,10,JRA認定ターフチャ(OP),,6,6,6,8.7,3,3,五十嵐冬,54,ダ1200,良,-8,1:14.8,0.6,57,2-2,0.0-38.1,38.6,454(-6),,,コパノミッキー,46.2,6,,,0.36000000000000004,49.2,0,,,38.46,0.0,16.0427807486631,16.08551783625866,74.8,2.0,2.0,2.0,0.0,38.1,38.6,0.5,-38.1,0.0,38.21999999999999,1.7,38.46,0.24000000000000057,-38.21999999999999,-1.0,-1.0,0.0,1.6,-0.4,-0.2,0.2,9.878427675158296,0.5909032633745275,2,25.566666666666666,25.56,51.25
6,6,2021/08/21,2札幌3,晴,2,2歳未勝利,,11,1,1,21.0,7,11,菱田裕二,54,ダ1700,良,3,1:52.7,4.5,33,1-1-1-4,29.9-39.9,44.4,462(-2),,,コースタルテラス,,7,,,2.6,50.666666666666664,0,,,39.8,0.0,15.084294587400176,15.676557329468407,112.7,1.0,4.0,1.75,29.9,39.9,14.5,4.5,-10.0,34.36666666666667,37.3,1.9166666666666667,5.433333333333333,2.5,-2.9333333333333322,-7.0,-10.0,-3.0,3.3333333333333335,-3.3333333333333335,-5.333333333333333,-2.0,13.397761006974262,3.053174577386625,2,38.06666666666666,37.15555555555556,50.666666666666664
7,7,2021/08/05,門別,晴,4,JRA認定フレッシュ(新馬),,10,8,9,6.3,4,1,山本咲希,54,ダ1100,良,-5,1:10.2,0.0,30,3-3,0.0-39.9,39.6,422(0),,,(コンアモーレ),200.0,8,,,0.0,30.0,0,,,39.6,0.0,15.669515669515668,15.669515669515668,70.2,3.0,3.0,3.0,0.0,39.9,39.6,-0.29999999999999716,-39.9,0.0,39.9,3.0,39.6,-0.29999999999999716,-39.9,2.0,2.0,0.0,3.0,2.0,2.0,0.0,1.5,1.0,2,26.5,26.5,30.0
8,8,2021/08/04,門別,曇,5,JRA認定フレッシュ(新馬),,10,5,5,6.8,4,1,落合玄太,54,ダ1000,良,-5,1:03.3,0.0,34,1-1,0.0-38.4,38.4,446(0),,,(ジーニーボニータ),200.0,9,,,0.0,34.0,0,,,38.4,0.0,15.797788309636651,15.797788309636651,63.3,1.0,1.0,1.0,0.0,38.4,38.4,0.0,-38.4,0.0,38.4,1.0,38.4,0.0,-38.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.8000000000000007,2,25.599999999999998,25.599999999999998,34.0
9,9,2021/05/29,3中京7,晴,11,葵S(G),,17,4,7,83.0,13.0,1,亀田温心,54,芝1200,良,-12,1:08.1,0.0,100,2-2,33.2-34.9,34.5,446(+2),,,(ヨカヨカ),3865.1,1,,1311.5,0.26666666666666666,80.0,0,,,36.333333333333336,0.9166666666666666,17.62114537444934,16.90059112678636,68.1,2.0,2.0,2.0,33.2,34.9,1.2999999999999972,-0.3999999999999986,-1.6999999999999957,34.516666666666666,36.18333333333333,1.75,1.8166666666666664,0.15000000000000094,-1.6666666666666654,1.0,1.0,0.0,1.8333333333333333,-0.5,-0.6666666666666666,-0.16666666666666666,11.813171479673157,1.351642991144557,3,34.2,35.67777777777778,85.75
