,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均
0,0,2022/02/06,1中京12,晴,11,きさらぎ賞(G3),,11,4,4,12.0,6,4,武豊,56,芝2000,稍,-1,2:00.7,0.2,100,10-9-8-7,36.2-35.9,35.1,464(-10),,アオル,マテンロウレオ,600.0,1,,300.0,0.4583333333333333,82.66666666666667,0,,,35.949999999999996,0.5,16.570008285004143,16.34635514266638,120.7,10.0,7.0,8.5,36.2,35.9,-1.1000000000000014,-0.7999999999999972,0.30000000000000426,36.51666666666667,36.333333333333336,7.583333333333333,-0.5666666666666664,-0.3833333333333317,0.18333333333333476,3.0,6.0,3.0,7.0,3.5,4.666666666666667,1.1666666666666667,13.016473079470162,0.6499607523472754,3,0.2,35.733333333333334,36.266666666666666,20.0,16.0,88.0
1,1,2022/03/19,1阪神11,小雨,11,若葉S(L),,10,4,4,7.8,4,2,酒井学,56,芝2000,稍,-5,2:00.7,0.5,95,5-5-5-5,36.5-35.3,35.1,502(-6),,,デシエルト,806.4,2,,706.725,0.32999999999999996,84.4,0,,,35.019999999999996,0.8837209302325582,16.570008285004143,16.420743118671513,120.7,5.0,5.0,5.0,36.5,35.3,-1.3999999999999986,-0.19999999999999574,1.2000000000000028,36.660000000000004,35.279999999999994,7.55,-1.6400000000000006,-0.26000000000000084,1.3799999999999997,3.0,3.0,0.0,6.4,4.0,5.8,1.8,15.41013375095175,0.666874967458085,3,0.5,35.63333333333333,35.65333333333333,15.0,22.0,90.75
2,2,2022/03/12,1阪神9,晴,9,ゆきやなぎ賞(1勝クラス),,8,5,5,3.6,2,1,松田大作,56,芝2400,良,-13,2:27.1,-0.2,91,8-8-8-7,37.2-34.0,33.3,488(0),,,(ディライトバローズ),1048.9,3,,349.78000000000003,0.42000000000000004,85.6,0,,,34.82,0.7291666666666666,16.315431679129844,16.406770630103175,147.1,8.0,7.0,7.75,37.2,34.0,-3.9000000000000057,-0.7000000000000028,3.200000000000003,36.760000000000005,35.2,9.25,-1.9400000000000035,-0.3800000000000011,1.5600000000000023,6.0,7.0,1.0,8.8,5.2,5.8,0.6,10.903618155864084,0.9639329160614182,3,-0.1,34.833333333333336,35.593333333333334,11.0,28.0,90.0
3,3,2022/02/05,1小倉7,曇,6,3歳未勝利,,14,3,3,7.5,4,1,藤岡康太,56,芝2000,良,1,2:02.0,-0.1,82,9-7-6-6,36.2-35.8,34.9,480(+8),,,(プリマヴィータ),520.0,4,,520.0,0.32499999999999996,75.0,0,,,34.7,1.0,16.39344262295082,16.348895224518888,122.0,9.0,6.0,7.0,36.2,35.8,-1.3000000000000043,-0.8999999999999986,0.4000000000000057,36.0,35.099999999999994,7.0,-1.3000000000000007,-0.3999999999999986,0.9000000000000021,5.0,8.0,3.0,7.0,3.5,4.0,0.5,13.9522996909709,0.6798692684790388,3,-0.05,35.63333333333333,35.266666666666666,2.0,-10.0,75.0
4,4,2022/03/27,2中京6,晴,9,大寒桜賞(1勝クラス),,8,5,5,2.4,2,1,横山武史,56,芝2200,重,2,2:14.1,-1.3,98,3-3-3-2,34.9-36.5,36.4,522(-4),,,(サンライズエース),1048.2,5,,824.1,-0.35000000000000003,90.5,0,,,35.9,1.0,16.405667412378822,16.413014330163136,134.1,3.0,2.0,2.75,34.9,36.5,1.5,-0.10000000000000142,-1.6000000000000014,35.95,36.05,2.75,-0.05000000000000071,-0.15000000000000213,-0.10000000000000142,1.0,2.0,1.0,2.5,1.5,2.0,0.5,7.586537784494029,0.432049379893858,3,-0.65,35.93333333333334,35.96666666666667,18.0,21.0,90.5
5,5,2022/04/02,2阪神3,晴,9,アザレア賞(1勝クラス),,8,1,1,4.5,2,3,和田竜二,56,芝2400,良,-15,2:29.6,0.0,74,6-6-4-5,38.1-34.0,33.6,504(+2),,出遅れ,インプレス,262.6,6,,260.8666666666667,0.9166666666666666,67.33333333333333,0,,,34.96666666666667,0.59375,16.0427807486631,16.053559870483223,149.6,6.0,5.0,5.25,38.1,34.0,-4.5,-0.3999999999999986,4.100000000000001,37.43333333333334,34.733333333333334,7.916666666666667,-2.4666666666666663,0.23333333333333664,2.700000000000003,2.0,3.0,1.0,7.333333333333333,2.0,3.3333333333333335,1.3333333333333333,18.841443681416774,1.6628289148315885,3,0.0,35.23333333333333,35.71111111111111,-6.0,-38.0,67.33333333333333
6,6,2022/03/26,2阪神1,小雨,11,毎日杯(G3),,10,6,6,5.6,2,5,福永祐一,56,芝1800,稍,4,1:48.0,0.5,95,5-2,35.9-35.6,35.9,470(-2),,,ピースオブエイト,400.0,7,,804.6,0.15,89.33333333333333,0,,,34.800000000000004,0.8333333333333334,16.666666666666668,16.593977344484447,108.0,5.0,2.0,3.5,35.9,35.6,0.0,0.29999999999999716,0.29999999999999716,36.96666666666666,35.0,3.0,-2.1666666666666665,-0.20000000000000048,1.9666666666666661,-3.0,0.0,3.0,2.3333333333333335,-0.3333333333333333,0.6666666666666666,1.0,6.684870978560469,1.0755812382149468,3,0.5,35.800000000000004,35.588888888888896,15.0,28.0,89.33333333333333
7,7,2022/03/19,1阪神11,小雨,11,若葉S(L),,10,1,1,5.0,3,7,池添謙一,56,芝2000,稍,-5,2:01.2,1.0,91,7-7-5-5,36.5-35.3,35.7,492(-4),,,デシエルト,,8,,235.0,0.325,82.5,0,,,35.03333333333334,0.8387096774193549,16.5016501650165,16.37198760879063,121.2,7.0,5.0,6.0,36.5,35.3,-0.7999999999999972,0.4000000000000057,1.2000000000000028,37.15,35.05,5.166666666666667,-2.116666666666667,-0.01666666666666572,2.1000000000000014,-2.0,0.0,2.0,3.5,0.8333333333333334,3.3333333333333335,2.5,7.5349525681374825,0.9722685444099177,3,1.0,35.833333333333336,35.74444444444445,11.0,15.0,84.75
8,8,2022/04/17,2阪神8,晴,6,3歳1勝クラス,,8,2,2,1.7,1,1,秋山真一,56,芝2000,良,-20,1:59.1,-0.7,94,1-1-1-1,36.1-34.7,34.7,436(-2),,,(ブラックシールド),750.0,9,,563.075,0.3,76.4,0,,,34.9,0.8275862068965517,16.79261125104954,16.346273910732023,119.1,1.0,1.0,1.0,36.1,34.7,-1.3999999999999986,0.0,1.3999999999999986,37.88,34.660000000000004,3.15,-2.979999999999998,0.240000000000002,3.22,0.0,0.0,0.0,2.4,-0.2,0.8,1.0,17.05627939108253,0.9961035198322632,3,-0.35,35.166666666666664,35.81333333333333,14.0,-18.0,82.75
9,9,2022/03/21,2中京4,晴,5,3歳未勝利,,17,8,16,4.2,2,1,古川吉洋,56,芝2000,良,-5,2:01.7,-0.2,87,10-10-10-9,36.4-36.2,35.4,516(-10),,,(チョッピー),520.0,10,,365.0,0.09999999999999999,84.0,0,,,35.65,0.9642857142857143,16.433853738701725,16.515682056072855,121.7,10.0,9.0,9.75,36.4,36.2,-1.0,-0.8000000000000043,0.19999999999999574,35.3,36.400000000000006,10.125,0.34999999999999787,-0.7500000000000036,-1.1000000000000014,8.0,9.0,1.0,8.5,7.0,9.0,2.0,2.6246692913372702,1.1264496832477207,3,-0.1,36.0,35.78333333333333,7.0,8.0,84.0
