,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,位置取り,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,位置取り平均,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,着差平均_condision,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均,ﾀｲﾑ指数10平均
0,0,2022/09/11,佐賀,晴,4,おいでやすこがのうま,,9,5,5,5.8,3,3,山口勲,56,ダ1400,良,5,1:31.8,1.8,40,1-1-1-2,0.0-39.0,40.8,506(-1),,,タマモクレマチス,6.7,1,,0.6090909090909091,1.2954545454545456,30.545454545454547,0,,,40.46363636363637,0.6,15.250544662309368,15.782630446973478,91.8,1.0,2.0,1.25,0.1111111111111111,0.0,39.0,40.8,1.7999999999999972,-39.0,13.06037735849057,38.37169811320754,4.009433962264151,26.509433962264154,1.1981132075471692,-25.311320754716984,-1.0,-2.0,-1.0,0.3167746038029057,4.471698113207547,3.69811320754717,-2.30188679245283,-3.0754716981132075,-0.7735849056603774,19.773060888488224,1.7497883469892181,7,1.8,1.340909090909091,26.599999999999998,30.333962264150944,-40.0,-1567.0,37.0,29.727272727272727
1,1,2022/09/11,佐賀,晴,4,おいでやすこがのうま,,9,2,2,13.2,4.0,4,村松翔太,54,ダ1400,良,5,1:31.8,1.8,40,4-3-3-4,0.0-39.0,40.4,434(+5),,,タマモクレマチス,4.4,2,,0.4,1.6681818181818182,27.90909090909091,0,,,40.945454545454545,0.375,15.250544662309368,15.236510286715513,91.8,4.0,4.0,3.5,0.4444444444444444,0.0,39.0,40.4,1.3999999999999986,-39.0,28.830769230769224,40.130769230769225,6.929487179487179,11.969230769230773,0.6692307692307684,-11.300000000000002,0.0,0.0,0.0,0.5982781107781109,6.461538461538462,7.3076923076923075,-0.6923076923076923,0.15384615384615385,0.8461538461538461,11.787445760257835,1.3450589851264472,4,1.8,1.6681818181818182,26.46666666666667,36.58717948717948,-40.0,-687.0,28.25,27.90909090909091
2,2,2022/09/11,佐賀,晴,4,おいでやすこがのうま,,9,8,8,33.2,5,6,田中純,56,ダ1400,良,5,1:32.6,2.6,31,3-4-5-5,0.0-39.0,41.1,476(-7),,,タマモクレマチス,,3,,0.0,1.268181818181818,23.181818181818183,0,,,40.35454545454546,0.4948453608247423,15.11879049676026,15.138996451974776,92.6,3.0,5.0,4.25,0.3333333333333333,0.0,39.0,41.1,2.1000000000000014,-39.0,7.927272727272728,39.227272727272734,6.136363636363637,32.7090909090909,1.4090909090909092,-31.3,-1.0,-3.0,-2.0,0.5506333387349428,6.590909090909091,6.0,-0.2727272727272727,-0.8636363636363636,-0.5909090909090909,20.118458264712046,2.603211627019067,4,2.6,1.4045454545454545,26.7,29.263636363636365,-49.0,-1290.0,28.5,25.90909090909091
3,3,2022/09/11,佐賀,晴,2,KYUSHUDREA,,9,6,6,4.2,2.0,2.0,吉本隆記,54,ダ1400,良,5.0,1:32.7,0.4,30.0,3-3-3-3,0.0-41.0,40.6,496(+4),,,タイキスピネル,11.8,4.0,,1.0727272727272728,1.2454545454545454,14.363636363636363,0,,,40.32727272727273,0.6333333333333333,15.102481121898597,14.997656162843688,92.7,3.0,3.0,3.0,0.3333333333333333,0.0,41.0,40.6,-0.3999999999999986,-41.0,2.6223880597014926,39.695522388059715,7.154228855721395,37.449253731343276,0.37611940298507424,-37.073134328358215,1.0,1.0,0.0,0.6757637677413795,7.149253731343284,6.985074626865671,1.4776119402985075,1.3134328358208955,-0.16417910447761194,13.356957157162327,0.9383724314307215,5,0.4,1.3363636363636362,27.2,27.463184079601998,-50.0,-4307.0,27.25,18.0
4,4,2022/08/27,佐賀,晴,2,C1ー14組,,9,5,5,14.2,4,2,山下裕貴,56,ダ1400,重,5,1:32.6,0.9,31,8-8-6-6,0.0-40.6,39.5,479(+3),,,ダイメイソテツ,11.8,5,,1.0727272727272728,0.7045454545454546,28.363636363636363,0,,,39.59090909090909,0.6555555555555556,15.11879049676026,15.249566503892341,92.6,8.0,6.0,7.0,0.8888888888888888,0.0,40.6,39.5,-1.1000000000000014,-40.6,6.735714285714287,39.4392857142857,6.669642857142857,33.08571428571429,0.38214285714285773,-32.70357142857142,4.0,6.0,2.0,0.6402784219748504,6.464285714285714,6.964285714285714,0.6785714285714286,1.1785714285714286,0.5,14.511629679577474,1.0888364449287111,4,0.9,0.8863636363636366,26.7,28.665476190476188,-49.0,-1483.0,25.5,31.636363636363637
5,5,2022/09/11,佐賀,晴,2,KYUSHUDREA,,9,5,5,6.2,3,3,山田義貴,52,ダ1400,良,5,1:33.2,0.9,24,7-6-5-4,0.0-41.0,40.2,429(-2),,,タイキスピネル,6.7,6,,0.6090909090909091,0.9590909090909091,18.454545454545453,0,,,40.654545454545456,0.5806451612903226,15.02145922746781,15.152466958101638,93.2,7.0,4.0,5.5,0.7777777777777778,0.0,41.0,40.2,-0.7999999999999972,-41.0,0.0,39.47142857142857,6.940476190476191,39.72857142857144,0.25714285714285656,-39.47142857142857,1.0,4.0,3.0,0.733922558922559,6.119047619047619,7.523809523809524,0.40476190476190477,1.8095238095238095,1.4047619047619047,9.714251628119865,1.1303186875020637,5,0.9,0.9590909090909091,27.066666666666666,26.399999999999995,-56.0,-2553.0,27.25,18.454545454545453
6,6,2022/09/11,佐賀,晴,4,おいでやすこがのうま,,9,7,7,50.8,6.0,7.0,加茂飛翔,52,ダ1400,良,5.0,1:32.8,2.8,29.0,6-6-6-7,0.0-39.0,40.1,445(+1),,,タマモクレマチス,,7.0,,0.0,1.7909090909090908,19.636363636363637,0,,,40.49090909090909,0.3333333333333333,15.086206896551724,15.030416990048243,92.8,6.0,7.0,6.25,0.6666666666666666,0.0,39.0,40.1,1.1000000000000014,-39.0,3.5921052631578947,39.50000000000001,6.184210526315789,36.47368421052633,0.5657894736842102,-35.90789473684211,0.0,-1.0,-1.0,0.4860612706007442,6.7894736842105265,5.578947368421052,0.5263157894736842,-0.6842105263157895,-1.2105263157894737,12.576602886747285,1.2132134669967611,5,2.8,1.8545454545454545,26.366666666666664,27.719298245614034,-51.0,-2193.0,15.5,18.545454545454547
7,7,2022/09/11,佐賀,晴,4,おいでやすこがのうま,,9,1,1,65.0,7.0,5.0,中山蓮王,51,ダ1400,良,5.0,1:32.2,2.2,35.0,7-7-7-6,0.0-39.0,39.3,431(+3),,,タマモクレマチス,3.0,8.0,,0.2727272727272727,1.1363636363636362,22.272727272727273,0,,,40.13636363636363,0.4835164835164835,15.184381778741866,15.193350892768667,92.2,7.0,6.0,6.75,0.7777777777777778,0.0,39.0,39.3,0.29999999999999716,-39.0,9.946774193548388,39.88709677419357,7.209677419354839,29.87903225806451,-0.061290322580645346,-29.940322580645173,1.0,2.0,1.0,0.7275322795484085,7.112903225806452,7.161290322580645,1.0161290322580645,1.064516129032258,0.04838709677419355,11.830434635864794,1.5752910683785961,6,2.2,1.1363636363636362,26.099999999999998,29.886559139784943,-45.0,-3184.0,26.75,22.272727272727273
8,8,2022/09/04,佐賀,晴,9,セプテンバー特選,,10,6,6,94.1,10,7,加茂飛翔,54,ダ1750,稍,3,1:59.6,3.0,17,9-9-9-8,0.0-38.6,39.1,478(+4),,,ビオロンスコッツ,,9,,0.2727272727272727,1.581818181818182,17.90909090909091,0,,,39.45454545454545,0.2765957446808511,14.632107023411372,15.20388961089411,119.6,9.0,8.0,8.75,0.9,0.0,38.6,39.1,0.5,-38.6,4.690384615384615,39.11923076923077,8.629807692307692,34.17307692307692,-0.2557692307692304,-34.42884615384616,1.0,2.0,1.0,0.8465243090243089,8.01923076923077,8.942307692307692,2.1346153846153846,3.0576923076923075,0.9230769230769231,17.54126498334972,1.222731769321498,5,3.0,1.8000000000000005,25.900000000000002,27.557692307692314,-63.0,-2640.0,20.5,16.727272727272727
9,9,2022/09/10,佐賀,晴,1,C2ー3組,,8,2,2,8.9,5.0,1.0,川島拓,56,ダ1300,良,8.0,1:26.9,-0.1,20.0,4-4-3-2,0.0-39.0,38.7,467(+7),,,(クナップフラウ),35.0,10.0,,3.1818181818181817,1.2590909090909093,14.636363636363637,0,,,39.945454545454545,0.6526315789473685,14.959723820483314,15.025226952565129,86.9,4.0,2.0,3.25,0.5,0.0,39.0,38.7,-0.29999999999999716,-39.0,3.580487804878049,40.00487804878049,7.038617886178861,36.51707317073171,0.0926829268292684,-36.424390243902444,1.0,3.0,2.0,0.7005912786400591,6.658536585365853,7.414634146341464,1.2926829268292683,2.048780487804878,0.7560975609756098,16.43043467694843,0.942953338046176,5,-0.05,1.2590909090909093,25.900000000000002,27.894308943089428,-60.0,-2409.0,19.0,14.636363636363637
