,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,位置取り,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,位置取り平均,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,着差平均_condision,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均
0,0,2022/09/04,盛岡,曇,7,B1,,11,5,5,33.1,7.0,2.0,村上忍,56,ダ1000,不,-30.0,0:58.7,0.0,64.0,8-6,0.0-35.5,34.3,478(-3),,,タイセイエクセル,22.8,1.0,,36.42580645161291,0.8723404255319149,60.38709677419355,0,,,38.10967741935483,0.6384839650145773,17.035775127768314,16.37508026990727,58.7,8.0,6.0,7.0,0.7272727272727273,0.0,35.5,34.3,-1.2000000000000028,-35.5,21.46382978723404,37.15106382978723,5.054964539007091,16.008510638297878,0.3212765957446812,-15.687234042553198,4.0,6.0,2.0,0.42685311142757937,4.9787234042553195,5.191489361702128,-0.6382978723404256,-0.425531914893617,0.2127659574468085,18.940410484082854,2.402905323364937,6,0.0,0.7193548387096774,23.266666666666666,32.029078014184385,-16.0,-830.0,54.0
1,1,2022/09/04,盛岡,曇,7,B1,,11,7,8,25.9,6.0,5.0,山本政聡,54,ダ1000,不,-30.0,0:59.5,0.8,50.0,5-7,0.0-35.5,35.4,454(-5),,,タイセイエクセル,3.3,2.0,,11.678947368421055,1.1120370370370372,44.10526315789474,0,,,38.318421052631585,0.6098265895953757,16.80672268907563,15.850027009187809,59.5,5.0,7.0,6.0,0.45454545454545453,0.0,35.5,35.4,-0.10000000000000142,-35.5,3.3018518518518523,38.47592592592592,5.90895061728395,35.379629629629626,0.20555555555555557,-35.17407407407407,2.0,0.0,-2.0,0.5841358487191822,5.796296296296297,6.055555555555555,0.5,0.7592592592592593,0.25925925925925924,9.84877388853242,2.0581432697964113,5,0.8,0.8486842105263158,23.633333333333336,26.81975308641975,-30.0,-2050.0,53.75
2,2,2022/08/09,盛岡,曇,11,ピンクトパーズ賞,,9,3,3,6.2,3.0,3.0,岩本怜,57,ダ1200,良,-15.0,1:13.1,0.4,62.0,1-1,0.0-37.9,38.3,507(+2),,,エイシンハルニレ,13.0,3.0,,58.75333333333333,0.9571428571428572,55.4,0,,,38.266666666666666,0.60625,16.415868673050618,16.366169674703553,73.1,1.0,1.0,1.0,0.1111111111111111,0.0,37.9,38.3,0.3999999999999986,-37.9,11.47142857142857,36.87619047619048,1.5952380952380953,26.35714285714286,0.952380952380952,-25.40476190476191,-2.0,-2.0,0.0,0.15633083847369564,1.7619047619047619,1.4761904761904763,-3.4285714285714284,-3.7142857142857144,-0.2857142857142857,16.61306117646271,1.8524999860585982,5,0.4,0.9666666666666667,25.399999999999995,28.72539682539682,-18.0,-582.0,59.5
3,3,2022/09/05,盛岡,小雨,9,ガーベラ賞,,8,6,6,5.8,2.0,1.0,南郷家全,56.0,ダ1200,稍,-21.0,1:12.7,0.0,61.0,2-2,0.0-37.2,37.1,508(+4),,,(ツルマルハナコ),50.0,4.0,,23.496296296296297,1.4011363636363638,47.351851851851855,0,,,39.36666666666666,0.5027223230490018,16.506189821182943,15.918293638141938,72.7,2.0,2.0,2.0,0.25,0.0,37.2,37.1,-0.10000000000000142,-37.2,14.942045454545456,37.96363636363636,4.3125,24.009090909090904,0.9875000000000004,-23.021590909090904,1.0,1.0,0.0,0.36819854703377414,4.738636363636363,4.1022727272727275,-1.6818181818181819,-2.3181818181818183,-0.6363636363636364,12.249396770752316,2.2864039394586255,7,0.0,1.2444444444444445,24.76666666666667,30.618939393939378,-19.0,-3220.0,49.5
4,4,2022/09/04,盛岡,曇,7,B1,,11,6,7,8.8,4.0,9.0,坂口裕一,54,ダ1000,不,-30.0,1:00.0,1.3,42.0,2-2,0.0-35.5,36.4,500(+1),,,タイセイエクセル,,5.0,,16.433333333333334,1.1879310344827585,50.888888888888886,0,,,38.11111111111111,0.7078651685393258,16.666666666666668,15.753845731752111,60.0,2.0,2.0,2.0,0.18181818181818182,0.0,35.5,36.4,0.8999999999999986,-35.5,6.151724137931034,38.64482758620689,2.3132183908045976,33.55172413793103,1.0586206896551722,-32.49310344827585,-7.0,-7.0,0.0,0.18485188183464046,2.6551724137931036,2.103448275862069,-2.206896551724138,-2.7586206896551726,-0.5517241379310345,16.12799498456712,2.5195149444993494,5,1.3,0.6333333333333333,23.96666666666667,28.166666666666664,-38.0,-917.0,46.75
5,5,2022/08/30,盛岡,曇,9,C1,,10,4,4,3.8,3.0,4.0,山本聡哉,54,ダ1000,稍,-22.0,1:00.6,0.6,40.0,7-7,0.0-36.4,35.7,460(+1),,,ブライティアルアー,4.0,6.0,,24.666666666666668,1.1563829787234043,42.583333333333336,0,,,39.60833333333334,0.4660633484162896,16.5016501650165,15.443322758545625,60.6,7.0,7.0,7.0,0.7,0.0,36.4,35.7,-0.6999999999999957,-36.4,8.385106382978723,39.055319148936164,4.526595744680851,31.395744680851056,0.7255319148936172,-30.67021276595744,3.0,3.0,0.0,0.43796360259126205,4.531914893617022,4.51063829787234,-0.5957446808510638,-0.6170212765957447,-0.02127659574468085,13.327977439915214,1.4240493905292284,5,0.6,1.2645833333333332,24.03333333333333,29.073758865248227,-40.0,-1460.0,50.0
6,6,2022/08/30,盛岡,曇,10,C1一組,,12,5,5,2.6,2.0,1,高松亮,54,ダ1600,稍,-20.0,1:39.0,-0.1,65.0,2-2,0.0-38.8,38.6,466(-6),,,(トキノワンカラット),40.0,7,,18.5,1.1523809523809523,47.666666666666664,0,,,39.84666666666666,0.58125,16.161616161616163,15.520650866046264,99.0,2.0,2.0,2.0,0.16666666666666666,0.0,38.8,38.6,-0.19999999999999574,-38.8,32.08571428571429,39.35952380952381,4.761904761904762,7.938095238095237,0.6642857142857139,-7.273809523809524,1.0,1.0,0.0,0.418399824964951,4.571428571428571,5.0476190476190474,-1.2380952380952381,-0.7619047619047619,0.47619047619047616,11.907748884847928,1.956852032119046,5,-0.05,0.92,25.8,37.15634920634921,-15.0,-1292.0,56.75
7,7,2022/09/06,盛岡,曇,11,B1一組,,7,6,6,9.3,6.0,5,高橋悠里,54,ダ1600,良,-19.0,1:41.4,1.1,42.0,1-1,0.0-37.8,38.9,473(-1),,,ダンサーズドリーム,3.3,8,,11.060526315789472,0.8573770491803278,47.31578947368421,0,,,38.97368421052632,0.6303724928366762,15.779092702169624,15.826157050806001,101.4,1.0,1.0,1.0,0.14285714285714285,0.0,37.8,38.9,1.1000000000000014,-37.8,5.0131147540983605,38.65081967213113,3.0491803278688523,34.18360655737705,0.5459016393442622,-33.63770491803278,-4.0,-4.0,0.0,0.3013319558401526,3.0327868852459017,3.1311475409836067,-1.5901639344262295,-1.4918032786885247,0.09836065573770492,11.647841707424044,1.6131225657310608,6,1.1,0.7736842105263158,25.566666666666663,27.620218579234976,-38.0,-1809.0,46.75
8,8,2022/09/05,盛岡,小雨,9,ガーベラ賞,,8,3,3,65.4,8.0,8,岩本怜,54,ダ1200,稍,-21.0,1:14.3,1.6,40.0,8-8,0.0-37.2,37.9,447(-1),,,スカイルーク,,9,,7.451851851851853,1.2078947368421056,30.22222222222222,0,,,38.49629629629629,0.48854961832061067,16.150740242261104,16.02556590504941,74.3,8.0,8.0,8.0,1.0,0.0,37.2,37.9,0.6999999999999957,-37.2,6.7105263157894735,37.42894736842104,5.006578947368421,31.247368421052634,0.5289473684210525,-30.718421052631577,0.0,0.0,0.0,0.4788198278329857,5.184210526315789,4.868421052631579,-0.18421052631578946,-0.5,-0.3157894736842105,13.933390900478456,1.449223873538678,5,1.6,1.461111111111111,25.03333333333333,27.365789473684206,-40.0,-1886.0,38.25
9,9,2022/06/12,水沢,曇,8,B2,,11,7,9,55.6,8.0,5,塚本涼人,56,ダ1400,重,-16.0,1:30.3,1.0,37.0,2-2-2-3,0.0-39.1,40.0,490(+5),,,バジガクアリア,2.5,1,,19.541666666666668,1.3977272727272732,31.0,0,,,40.19166666666666,0.5241935483870968,15.503875968992249,15.368488200925329,90.3,2.0,3.0,2.25,0.18181818181818182,0.0,39.1,40.0,0.8999999999999986,-39.1,15.977272727272727,39.75909090909091,5.454545454545454,24.472727272727276,0.69090909090909,-23.781818181818178,-2.0,-3.0,-1.0,0.4823208357299266,5.5,5.636363636363637,-0.5909090909090909,-0.45454545454545453,0.13636363636363635,11.233894163282546,1.5685712859213676,4,1.0,1.2874999999999999,26.366666666666664,32.06212121212122,-43.0,-1064.0,30.25
