,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,予想タイム,最初コーナー,最終コーナー,コーナー平均,位置取り,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,位置取り平均,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,着差平均_condision,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均
0,0,2022/05/29,2東京12,晴,11,東京優駿(G1),,18,8,18,3.8,2,2,ルメール,57,芝2400,良,-19,2:21.9,0.0,113,16-16-16-14,35.1-35.2,33.6,484(-8),,,ドウデュース,8770.8,1,,3746.133333333333,-0.15,95.33333333333333,0,,,34.0,0.9761904761904762,16.913319238900634,16.829184783904104,141.9,118.425,16.0,14.0,15.5,0.8888888888888888,35.1,35.2,-1.5,-1.6000000000000014,-0.10000000000000142,35.833333333333336,34.63333333333333,8.0625,-1.7500000000000018,-0.875,0.8750000000000018,12.0,14.0,2.0,0.03670524691358024,7.0,8.75,5.5,7.25,1.75,9.50789145920377,0.7863841300534999,3,0.0,-0.19999999999999998,34.82222222222222,33.0,79.0,99.75
1,1,2022/08/21,2札幌4,晴,11.0,札幌記念(G2),,16,2.0,3,3.3,2.0,2,吉田豊,57,芝2000,良,9.0,2:01.2,0.0,114.0,1-1-1-1,35.5-37.7,37.7,470(-6),,,ジャックドール,2832.0,2,,1226.6666666666667,0.5214285714285714,97.05555555555556,0,,,36.74444444444445,0.7623318385650224,16.5016501650165,16.4756830679792,121.2,121.15370370370368,1.0,1.0,1.0,0.0625,35.5,37.7,2.200000000000003,0.0,-2.200000000000003,35.65555555555555,36.41111111111111,2.25,1.3952380952380952,0.4666666666666665,-0.9285714285714287,-1.0,-1.0,0.0,0.014713125988373326,2.1904761904761907,2.238095238095238,-2.619047619047619,-2.5714285714285716,0.047619047619047616,15.82001034363528,1.5082760669767572,5,0.0,0.3638888888888889,36.27037037037038,34.0,322.0,109.25
2,2,2022/05/29,2東京12,晴,11,東京優駿(G1),,18,6,12,3.5,1,4,川田将雅,57,芝2400,良,-19,2:22.3,0.4,110,10-10-11-11,35.1-35.2,34.3,494(-10),,,ドウデュース,3000.0,3,,2347.1,0.11249999999999999,95.66666666666667,0,,,33.800000000000004,0.9117647058823529,16.865776528460998,16.675650607328045,142.3,119.64210526315787,10.0,11.0,10.5,0.5555555555555556,35.1,35.2,-0.8000000000000043,-0.9000000000000057,-0.10000000000000142,36.13333333333333,34.36666666666667,6.479166666666667,-1.950000000000001,-0.6499999999999986,1.3000000000000025,7.0,6.0,-1.0,0.0435020182889501,6.0,6.5,3.5,4.0,0.5,9.368030742904295,0.6841052550594832,3,0.4,0.016666666666666663,34.76666666666666,30.0,77.0,99.25
3,3,2022/08/21,2札幌4,晴,11,札幌記念(G2),,16,2,4,4.6,3,1,藤岡佑介,57,芝2000,良,9,2:01.2,0.0,114,3-4-3-2,35.5-37.7,37.3,516(+8),,,(パンサラッサ),7112.0,4,,2169.4545454545455,5.046468293750712e-18,97.27272727272727,0,,,35.04545454545455,0.9310344827586207,16.5016501650165,16.658279725604874,121.2,120.1,3.0,2.0,3.0,0.1875,35.5,37.7,1.7999999999999972,-0.4000000000000057,-2.200000000000003,36.42727272727273,34.97272727272727,1.6590909090909092,-1.381818181818182,0.07272727272727247,1.4545454545454546,1.0,2.0,1.0,0.00886297901579495,1.5454545454545454,1.7272727272727273,-0.36363636363636365,-0.18181818181818182,0.18181818181818182,11.186549463033224,1.0838460325259394,4,0.0,5.046468293750712e-18,35.48181818181818,34.0,190.0,108.5
4,4,2021/11/28,5東京8,晴,12.0,ジャパンC(G1),,18,2.0,4,3.7,2,3,川田将雅,55.0,芝2400,良,-17.0,2:25.2,0.5,98.0,5-5-6-5,37.0-35.3,34.4,446(-6),,1角不利,コントレイル,7554.6,5,,1574.9250000000002,0.26666666666666666,98.25,0,,,34.675,0.8888888888888888,16.528925619834713,16.6003575927918,145.2,120.4970588235295,5.0,5.0,5.25,0.2777777777777778,37.0,35.3,-2.6000000000000014,-0.8999999999999986,1.7000000000000028,36.275000000000006,34.925,5.986111111111112,-1.7666666666666668,-0.3999999999999986,1.3666666666666683,2.0,2.0,0.0,0.03436098295527361,6.0,5.666666666666667,3.8333333333333335,3.5,-0.3333333333333333,8.708428945216099,1.0378549306829248,4,0.5,0.275,35.29166666666667,18.0,120.0,105.25
5,5,2022/09/04,3新潟8,晴,11,新潟記念(G3),,18,3,6,22.0,10,1,菅原明良,57.5,芝2000,良,-2,1:58.9,-0.3,107,7-7,36.6-33.8,33.3,532(-8),,,(ユーキャンスマイル),4363.0,6,,456.2,0.9343750000000001,77.6470588235294,0,,,36.25294117647059,0.47413793103448276,16.82085786375105,16.541029854003977,118.9,123.00395550061803,7.0,7.0,7.0,0.3888888888888889,36.6,33.8,-3.3000000000000043,-0.5,2.8000000000000043,36.21764705882352,35.794117647058826,6.453125000000001,0.24687499999999973,0.23750000000000027,-0.009374999999999467,6.0,6.0,0.0,0.034050615844494724,6.71875,6.25,-0.25,-0.71875,-0.46875,19.42667691452222,2.131507483120076,6,-0.15,1.0294117647058822,36.088235294117645,27.0,165.0,102.5
6,6,2022/08/14,4小倉2,晴,11,小倉記念(G3),,15,1,2,5.0,2,1,松山弘平,54,芝2000,良,-12,1:57.4,-0.8,106,5-4-3-2,34.7-35.0,34.6,424(-2),,,(ヒンドゥタイムズ),4358.8,7,,1439.5666666666666,0.11,98.44444444444444,0,,,34.355555555555554,0.8725490196078431,17.035775127768314,16.653667946883203,117.4,119.95457746478877,5.0,2.0,3.5,0.3333333333333333,34.7,35.0,-0.10000000000000142,-0.3999999999999986,-0.29999999999999716,36.24444444444444,34.64444444444444,6.094444444444445,-1.6600000000000004,-0.4266666666666666,1.2333333333333338,1.0,4.0,3.0,0.04556085424801084,6.066666666666666,6.266666666666667,3.2666666666666666,3.466666666666667,0.2,11.00497046792948,0.8986100377805711,4,-0.4,0.0611111111111111,35.08148148148148,26.0,188.0,101.75
7,7,2022/08/21,2札幌4,晴,11.0,札幌記念(G2),,16,7.0,14,18.7,6,11,Ｍ．デム,55.0,芝2000,良,9.0,2:02.6,1.4,102.0,15-15-15-10,35.5-37.7,36.8,498(0),,,ジャックドール,,8,,677.0428571428572,0.48636363636363633,93.28571428571429,0,,,35.4,0.6804123711340206,16.31321370309951,16.548143923593326,122.6,120.59351851851854,15.0,10.0,13.75,0.9375,35.5,37.7,1.2999999999999972,-0.9000000000000057,-2.200000000000003,36.25714285714286,35.82857142857143,10.257575757575758,-1.2272727272727273,-0.5181818181818172,0.7090909090909101,-1.0,4.0,5.0,0.04667769411636415,8.818181818181818,11.454545454545455,3.6363636363636362,6.2727272727272725,2.6363636363636362,9.10547759440559,1.2203141671990307,4,1.4,0.5285714285714286,35.82857142857143,22.0,157.0,99.5
8,8,2022/05/29,2東京12,晴,11,東京優駿(G1),,18,7,15,5.9,4,7,福永祐一,57,芝2400,良,-19,2:22.9,1.0,106,10-10-11-11,35.1-35.2,34.9,492(-2),,,ドウデュース,,9,,5720.349999999999,0.19999999999999996,94.0,0,,,34.425,0.9772727272727273,16.794961511546536,16.718401557667686,142.9,119.23508771929829,10.0,11.0,10.5,0.5555555555555556,35.1,35.2,-0.20000000000000284,-0.30000000000000426,-0.10000000000000142,36.45,34.875,7.041666666666668,-1.3500000000000014,-0.4666666666666674,0.8833333333333341,4.0,3.0,-1.0,0.04435975920824405,6.5,7.166666666666667,3.6666666666666665,4.333333333333333,0.6666666666666666,8.171628369185767,0.8592830423898615,3,1.0,-0.07499999999999998,35.25,26.0,93.0,100.25
9,9,2022/10/15,4東京4,晴,11,アイルランド府中牝馬(G2),,15,5,9,13.7,4,5,大野拓弥,54,芝1800,良,-18,1:44.7,0.2,107,3-3-3,34.4-34.7,34.3,498(+8),,,イズジョーノキセキ,550.0,10,,706.6538461538462,0.6533333333333331,95.3076923076923,0,,,35.57692307692307,0.6410256410256411,17.191977077363898,16.616177364542015,104.7,120.82272727272726,3.0,3.0,3.0,0.2,34.4,34.7,-0.10000000000000142,-0.4000000000000057,-0.30000000000000426,35.707692307692305,35.730769230769226,7.3,-0.21333333333333304,-0.11999999999999982,0.09333333333333324,-2.0,-2.0,0.0,0.025819956223230033,7.6,7.0,0.4666666666666667,-0.13333333333333333,-0.6,8.634958019585271,1.6893045906526163,5,0.2,0.576923076923077,35.671794871794866,27.0,228.0,102.5
