,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,予想タイム差,着差平均_condision,勝率_condision,上り差平均,着差平均_speed,勝率_speed,種牡馬成績,母父成績,相手勝率,相手着差
0,0,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,6,7,2.4,1,1,水口優也,58,ダ1800,不,**,1:52.8,-0.2,**,3-4-4-4,37.8-37.1,36.8,520(+2),,,(キングリスティア),800.0,1,0.2284810126582264,0.68125,0.7441860465116279,0.5227808695652193,0.6950000000000001,0.7652173913043478,,,0.5789473684210527,0.39999999999999997
1,1,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,6,8,18.7,8.0,2,菱田裕二,58,ダ1800,不,**,1:53.0,0.2,**,5-5-2-2,37.8-37.1,37.2,512(0),,,ワンダフルトゥデイ,320.0,2,-0.564583333333335,1.3266666666666669,0.5189873417721519,0.9346272463768112,1.453846153846154,0.5,,,0.6535433070866141,0.6000000000000001
2,2,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,7,10,4.6,2,3,高倉稜,58,ダ1800,不,**,1:53.1,0.3,**,2-2-2-1,37.8-37.1,37.4,512(-4),,,ワンダフルトゥデイ,200.0,3,2.3333333333333286,1.94,0.5603448275862069,-0.8845599999999976,1.3375,0.6701030927835051,,,0.5789473684210527,0.39999999999999997
3,3,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,5,5,14.6,5.0,4.0,藤岡康太,58,ダ1800,不,**,1:53.7,0.9,**,1-1-1-3,37.8-37.1,38.0,444(-8),,,ワンダフルトゥデイ,120.0,4.0,2.8499999999999943,1.0357142857142858,0.6590909090909091,-0.4067999999999981,0.635,0.7372881355932204,,,0.49038461538461536,1.4454545454545455
4,4,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,4,4,9.8,4,5,富田暁,58,ダ1800,不,**,1:53.8,1.0,**,3-3-4-4,37.8-37.1,37.9,516(+2),,,ワンダフルトゥデイ,80.0,5,1.0166666666666515,1.2833333333333332,0.7611940298507462,-0.17753333333333168,0.7399999999999999,0.7586206896551724,,,0.40594059405940597,0.8888888888888888
5,5,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,5,6,4.9,3,6,Ｍ．デム,58,ダ1800,不,**,1:53.8,1.0,**,7-7-6-6,37.8-37.1,37.5,466(-10),,,ワンダフルトゥデイ,,6,0.1739130434782563,0.5590909090909091,0.8014184397163121,0.2204727272727289,0.5958333333333333,0.7947019867549668,,,0.4015151515151515,1.9555555555555557
6,6,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,8,12,14.6,6,7,今村聖奈,55,ダ1800,不,**,1:54.0,1.2,**,10-10-8-7,37.8-37.1,37.5,432(0),,,ワンダフルトゥデイ,,7,-0.17777777777778114,1.0333333333333334,0.75,-0.1115999999999957,0.9576923076923076,0.7329192546583851,,,0.4406779661016949,1.4166666666666667
7,7,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,2,2,211.7,12,8,河原田菜,52,ダ1800,不,**,1:54.0,1.2,**,5-5-6-7,37.8-37.1,37.7,436(+4),,,ワンダフルトゥデイ,,8,-0.1753012048192777,1.303125,0.5953757225433526,-0.3268285714285715,0.9978260869565219,0.5925925925925926,,,0.36363636363636365,1.05
8,8,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,8,11,19.1,9,9,小沢大仁,57,ダ1800,不,**,1:54.1,1.3,**,10-10-8-9,37.8-37.1,37.6,532(+12),,,ワンダフルトゥデイ,,9,-0.17777777777778142,0.9450000000000001,0.6065573770491803,0.43072000000000016,0.9863636363636363,0.5912408759124088,,,0.319672131147541,1.8555555555555554
9,9,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,1,1,93.3,10,10,角田大河,56,ダ1800,不,**,1:54.1,1.3,**,9-8-11-12,37.8-37.1,37.3,506(+4),,,ワンダフルトゥデイ,,10,0.053781512605038606,1.2187500000000002,0.6341463414634146,-0.13054999999999906,1.13125,0.6442307692307693,,,0.4473684210526316,1.45
10,10,2023/03/26,2阪神2,雨,8,4歳以上1勝クラス,,12,3,3,108.1,11,11,酒井学,58,ダ1800,不,**,1:54.3,1.5,**,8-8-8-10,37.8-37.1,37.7,468(-4),,,ワンダフルトゥデイ,,11,1.7366197183098584,1.7452380952380953,0.4944237918215613,-0.045054545454544126,1.8239130434782607,0.47635135135135137,,,0.4473684210526316,1.45
