,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,タイム計算,予想タイム差,着差平均_condision,勝率_condision,上り差平均,着差平均_speed,勝率_speed,着差平均,上り平均,着順平均,タイム計算平均,種牡馬成績,母父成績
0,0,2023/02/12,1東京6,晴,11,共同通信杯(G3),,12,6,8,4.1,3,1,ルメール,56,芝1800,良,**,1:47.0,-0.2,**,3-2-2,35.3-34.1,34.0,502(0),,,(タッチウッド),4042.7,1,,,-0.016666666666666663,0.9117647058823529,,-0.016666666666666663,0.9117647058823529,-0.09999999999999999,34.0,2.0,107.40000000000002,,
1,1,2023/02/12,1東京6,晴,11,共同通信杯(G3),,12,5,5,9.2,5,2,バシュロ,56,芝1800,良,**,1:47.2,0.2,**,5-1-1,35.3-34.1,34.3,528(+4),,,ファントムシーフ,1612.2,2,,,-0.5,1.0,,-0.5,1.0,-1.0,34.0,1.0,107.4,,
2,2,2023/02/12,1東京6,晴,11,共同通信杯(G3),,12,1,1,3.6,1,3,川田将雅,56,芝1800,良,**,1:47.2,0.2,**,5-6-6,35.3-34.1,33.6,502(+2),,,ファントムシーフ,1006.1,3,,,0.0,0.9444444444444444,,0.0,0.9444444444444444,-0.06666666666666668,33.800000000000004,1.6666666666666667,107.40000000000002,,
3,3,2023/02/12,1東京6,晴,11,共同通信杯(G3),,12,5,6,3.7,2,4,福永祐一,56,芝1800,良,**,1:47.2,0.2,**,3-5-5,35.3-34.1,33.7,486(+2),,,ファントムシーフ,600.0,4,,,-0.3,1.0,,-0.3,1.0,-0.6,33.5,1.0,107.4,,
4,4,2023/02/12,1東京6,晴,11,共同通信杯(G3),,12,8,11,69.2,10,5,横山和生,56,芝1800,良,**,1:47.5,0.5,**,12-9-8,35.3-34.1,33.6,474(+8),,,ファントムシーフ,400.0,5,,,0.11666666666666668,0.8148148148148148,,-0.024999999999999994,0.9444444444444444,0.06666666666666668,32.93333333333334,2.6666666666666665,107.40000000000002,,
5,5,2023/02/12,1東京6,晴,11,共同通信杯(G3),,12,4,4,101.5,11,6,吉田隼人,56,芝1800,良,**,1:47.5,0.5,**,2-3-3,35.3-34.1,34.2,500(+6),,,ファントムシーフ,,6,,,0.3666666666666667,0.75,,0.4,0.8,0.3666666666666667,33.699999999999996,3.0,107.40000000000002,,
6,6,2023/02/12,1東京6,晴,11,共同通信杯(G3),,12,2,2,39.6,8,7,松山弘平,56,芝1800,良,**,1:47.6,0.6,**,5-6-8,35.3-34.1,33.7,472(0),,,ファントムシーフ,,7,,,0.09999999999999999,0.9375,,0.09999999999999999,0.9375,0.033333333333333326,34.333333333333336,1.6666666666666667,107.40000000000002,,
7,7,2023/02/12,1東京6,晴,11,共同通信杯(G3),,12,6,7,284.7,12,8,吉田豊,56,芝1800,良,**,1:47.8,0.8,**,11-9-11,35.3-34.1,33.7,468(-6),,,ファントムシーフ,,8,,,0.7142857142857143,0.6875,,0.5666666666666667,0.7101449275362319,0.7142857142857143,35.24285714285714,4.571428571428571,107.39999999999999,,
8,8,2023/02/12,1東京6,晴,11,共同通信杯(G3),,12,7,9,4.7,4,9,Ｍ．デム,56,芝1800,良,**,1:48.1,1.1,**,9-9-8,35.3-34.1,34.2,472(+2),,,ファントムシーフ,,9,,,-0.09999999999999999,0.9375,,-0.09999999999999999,0.9375,-0.25,34.45,2.0,107.4,,
9,9,2023/02/12,1東京6,晴,11,共同通信杯(G3),,12,8,12,18.1,6,10,田辺裕信,56,芝1800,良,**,1:48.2,1.2,**,9-12-11,35.3-34.1,34.1,452(+12),,,ファントムシーフ,,10,,,0.2333333333333333,0.7941176470588235,,0.35,0.6818181818181818,0.2333333333333333,33.56666666666667,3.3333333333333335,107.40000000000002,,
