,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,予想タイム差,着差平均_condision,勝率_condision,上り差平均,着差平均_speed,勝率_speed,着差平均,上り平均,着順平均,タイム計算平均,種牡馬成績,母父成績
0,0,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,7,12,1.9,1,1,鮫島克駿,59,ダ1800,重,**,1:49.5,-0.1,**,1-1-1-1,35.5-38.0,38.0,520(+4),,,(ヴァンヤール),3853.2,1,-3.6627461298420005,-0.07857142857142858,0.9565217391304348,1.027600000000002,-0.20833333333333334,0.987012987012987,-0.2857142857142857,38.142857142857146,1.5714285714285714,,,
1,1,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,5,9,8.1,4,2,荻野極,57,ダ1800,重,**,1:49.6,0.1,**,6-6-6-5,35.5-38.0,37.2,532(+2),,,プロミストウォリア,1515.2,2,-2.303411988388603,0.5285714285714286,0.8368421052631579,0.8787200000000013,0.24285714285714283,0.8777777777777778,0.38125,37.81250000000001,,,,
2,2,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,6,11,6.6,2,3,岩田康誠,57,ダ1800,重,**,1:49.9,0.4,**,13-13-13-13,35.5-38.0,36.9,506(-6),,,プロミストウォリア,957.6,3,-2.54778576402641,0.36874999999999997,0.8383838383838383,0.25186666666666824,0.22142857142857147,0.8478260869565217,0.27777777777777773,38.07777777777778,3.3333333333333335,,,
3,3,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,8,15,31.7,7,4,大野拓弥,57,ダ1800,重,**,1:50.0,0.5,**,11-11-11-11,35.5-38.0,37.2,518(-8),,,プロミストウォリア,570.0,4,-2.8785556745373637,0.4333333333333333,0.810126582278481,0.22483999999999965,0.5,0.835820895522388,0.5571428571428572,37.98571428571429,3.857142857142857,,,70.8
4,4,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,1,1,7.0,3,5,吉田隼人,58,ダ1800,重,**,1:50.3,0.8,**,4-3-3-3,35.5-38.0,38.5,548(-8),,,プロミストウォリア,380.0,5,-3.0414269440577026,0.26,0.8571428571428571,0.7198586894586888,0.4,0.8211382113821138,0.32500000000000007,38.00833333333333,3.1666666666666665,,,
5,5,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,4,7,8.9,5,6,藤岡康太,58,ダ1800,重,**,1:50.3,0.8,**,8-6-6-5,35.5-38.0,38.0,506(+1),,,プロミストウォリア,,6,-3.2943933623169253,0.5708333333333334,0.7429467084639498,0.7495733333333334,0.3350000000000001,0.7843866171003717,0.514814814814815,37.98518518518518,4.185185185185185,,,
6,6,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,2,2,39.5,10,7,池添謙一,58,ダ1800,重,**,1:50.9,1.4,**,2-2-2-2,35.5-38.0,39.3,488(0),,,プロミストウォリア,,7,-2.130194903973475,1.544736842105263,0.678714859437751,-0.5208571428571425,0.07727272727272726,0.8958333333333334,1.4666666666666666,39.05833333333333,5.375,,,
7,7,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,6,10,35.5,9,8,和田竜二,57,ダ1800,重,**,1:50.9,1.4,**,10-9-8-7,35.5-38.0,38.3,494(+2),,,プロミストウォリア,,8,-3.4586222642519364,0.21071428571428572,0.884393063583815,0.9818769230769232,0.21071428571428572,0.884393063583815,0.16428571428571434,37.84285714285715,2.4285714285714284,,,
8,8,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,2,3,89.1,12,9,酒井学,58,ダ1800,重,**,1:51.1,1.6,**,12-12-13-11,35.5-38.0,38.1,522(-12),,,プロミストウォリア,,9,-3.2804427102381046,0.6055555555555555,0.7301587301587301,0.7882882352941156,0.6230769230769231,0.7285318559556787,0.5903225806451612,37.670967741935485,4.645161290322581,,,
9,9,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,4,6,20.8,6,10,幸英明,58,ダ1800,重,**,1:51.4,1.9,**,14-14-11-7,35.5-38.0,38.6,540(+2),,,プロミストウォリア,,10,-3.802888524351574,0.8891304347826087,0.6795252225519288,0.5733770897832792,0.6138888888888887,0.7686567164179104,0.8652173913043477,37.79565217391304,5.695652173913044,,,
10,10,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,3,4,94.8,13,11,松若風馬,57,ダ1800,重,**,1:51.6,2.1,**,14-14-15-14,35.5-38.0,38.3,474(+2),,,プロミストウォリア,,11,-3.261816215771355,0.7468750000000001,0.7040358744394619,1.3012999999999988,0.6777777777777777,0.7272727272727273,0.663157894736842,36.9421052631579,4.894736842105263,,,
11,11,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,7,13,34.2,8,12,川須栄彦,58,ダ1800,重,**,1:51.9,2.4,**,8-9-10-7,35.5-38.0,39.3,510(+14),,,プロミストウォリア,,12,-4.482969512187927,0.33749999999999997,0.84,1.1802695187165724,0.4666666666666667,0.7652582159624414,0.5772727272727273,36.990909090909085,4.5,,,
12,12,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,5,8,60.1,11.0,13,西村淳也,58,ダ1800,重,**,1:52.2,2.7,**,7-6-8-7,35.5-38.0,39.6,492(+2),,,プロミストウォリア,,13,-3.323494536330262,0.4699999999999999,0.8074074074074075,1.1347999999999991,0.4130434782608695,0.8012820512820513,0.44615384615384623,37.126923076923084,,,,
13,13,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,3,5,310.5,15,14,北村友一,57,ダ1800,重,**,1:52.5,3.0,**,4-3-4-4,35.5-38.0,40.4,514(-10),,,プロミストウォリア,,14,-2.5079357271850573,1.5321428571428573,0.58,-0.5772000000000006,0.9499999999999998,0.6131386861313869,1.547368421052632,38.573684210526324,7.526315789473684,,,
14,14,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,8,14,148.9,14,15,浜中俊,57,ダ1800,重,**,1:58.4,8.9,**,3-3-4-15,35.5-38.0,45.9,512(0),,,プロミストウォリア,,15,-3.1708855290367333,0.6416666666666668,0.6835443037974683,0.2978000000000005,0.5900000000000001,0.6865671641791045,0.7066666666666668,37.56666666666668,5.933333333333334,,,
15,15,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,4,4,5.2,2,1,岩田望来,56,ダ1800,良,**,1:52.0,0.0,**,8-7-6-8,37.0-37.8,36.8,496(+6),,,(フィロロッソ),2327.3,1,-6.060979363987308,0.50625,0.7631578947368421,1.9292000000000005,0.35454545454545455,0.8238993710691824,0.29090909090909084,36.345454545454544,3.5454545454545454,,,
16,16,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,7,10,21.3,6.0,2,北村友一,56,ダ1800,良,**,1:52.0,0.0,**,8-9-9-8,37.0-37.8,36.7,484(+2),,,サンライズウルス,927.8,2,-3.820407157810829,0.6000000000000001,0.7247706422018348,0.5180266666666682,0.6125000000000002,0.7004830917874396,0.7090909090909091,37.42272727272727,,,,
17,17,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,8,12,5.6,3,3,吉田隼人,57,ダ1800,良,**,1:52.1,0.1,**,3-3-3-2,37.0-37.8,37.6,522(+10),,,サンライズウルス,583.9,3,-3.9271666269853274,0.38235294117647056,0.8238095238095238,0.6933600000000008,0.3269230769230769,0.8506493506493507,0.3111111111111111,37.888888888888886,3.111111111111111,,,
