,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/04/25,2東京2,曇,11.0,サンスポ賞フローラS(G2),,17,2.0,3,3.5,2,3,Ｍ．デム,54.0,芝2000,良,-25.0,1:59.6,0.2,92.0,9-8-10,35.2-33.8,33.2,454(-10),,,クールキャット,1317.0,1,19635.5,2805.0714285714284,0.17142857142857146,91.28571428571429
1,1,2021/04/11,2阪神6,晴,11.0,桜花賞(G1),,18,3.0,5,10.5,4.0,4,横山武史,55.0,芝1600,良,-20.0,1:31.3,0.2,112.0,3-6,34.1-34.3,33.9,444(-6),,,ソダシ,1600.0,2,11932.0,1988.6666666666667,0.18333333333333335,91.83333333333333
2,2,2021/05/01,2阪神11,曇,9.0,矢車賞(1勝クラス),,11,3.0,3,7.5,3,1,藤懸貴志,54.0,芝2200,良,-17.0,2:12.7,-0.1,94.0,9-4-3-3,35.5-36.0,35.8,454(-6),,出脚鈍い,(ハッピーオーサム),1036.6,3,4837.6,967.5200000000001,0.27999999999999997,86.2
3,3,2021/05/02,2東京4,曇,11.0,スイートピーS(L),,13,5.0,6,9.3,5,1,岩田望来,54.0,芝1800,良,-15.0,1:46.2,-0.3,98.0,8-8-8,34.7-35.9,34.3,456(+6),,,(アラビアンナイト),2030.8,4,4370.8,1092.7,0.125,92.75
4,4,2021/04/11,2阪神6,晴,11.0,桜花賞(G1),,18,5.0,10,11.8,5,5,Ｍ．デム,55.0,芝1600,良,-20.0,1:31.8,0.7,107.0,8-9,34.1-34.3,34.1,422(-6),,,ソダシ,1050.0,5,4266.8,1066.7,0.25,98.0
5,5,2021/04/11,3中山6,晴,7.0,3歳1勝クラス,,10,4.0,4,4.8,4,1,吉田豊,54.0,芝1800,良,-8.0,1:49.6,0.0,89.0,8-9-8-6,38.0-34.7,33.5,490(+16),,,(アビッグチア),730.0,6,1570.0,261.6666666666667,0.35000000000000003,85.16666666666667
6,6,2021/04/11,2阪神6,晴,11.0,桜花賞(G1),,18,4.0,7,41.9,9,6,藤岡佑介,55.0,芝1600,良,-20.0,1:31.8,0.7,110.0,18-18,34.1-34.3,33.2,446(-6),,,ソダシ,0.0,7,3365.6000000000004,480.80000000000007,0.31428571428571433,93.71428571428571
7,7,2021/04/11,2阪神6,晴,11.0,桜花賞(G1),,18,2.0,4,3.6,2,1,吉田隼人,55.0,芝1600,良,-20.0,1:31.1,0.0,114.0,3-3,34.1-34.3,33.8,472(0),,,(サトノレイナス),13185.9,8,26623.2,4437.2,-0.016666666666666673,96.33333333333333
8,8,2021/03/28,3中山2,曇,9.0,ミモザ賞(1勝クラス),,10,8.0,10,2.5,1,1,ルメール,54.0,芝2000,重,19.0,2:03.4,-0.4,102.0,7-7-8-4,34.3-36.5,35.7,434(-12),,出遅れ,(スウィートブルーム),1033.8,9,1913.8,478.45,0.07499999999999998,90.0
9,9,2021/04/25,2東京2,曇,11.0,サンスポ賞フローラS(G2),,17,5.0,9,7.2,3,6,田辺裕信,54.0,芝2000,良,-25.0,2:00.1,0.7,88.0,12-11-13,35.2-33.8,33.5,414(-4),,出遅れ,クールキャット,0.0,10,1950.3,325.05,0.2833333333333333,85.5
10,10,2021/04/11,2阪神6,晴,11.0,桜花賞(G1),,18,1.0,2,15.3,8,3,福永祐一,55.0,芝1600,良,-20.0,1:31.2,0.1,113.0,8-6,34.1-34.3,33.7,488(-4),,,ソダシ,2983.7,11,7329.7,1465.94,0.08000000000000002,90.4
11,11,2021/04/25,2東京2,曇,11.0,サンスポ賞フローラS(G2),,17,6.0,12,88.3,14,2,石川裕紀,54.0,芝2000,良,-25.0,1:59.6,0.2,92.0,3-2-2,35.2-33.8,33.8,422(-8),,,クールキャット,2134.0,12,3871.3,553.0428571428572,0.8,84.85714285714286
12,12,2021/04/11,2阪神6,晴,9.0,忘れな草賞(L),,11,5.0,5,3.5,2,1,福永祐一,54.0,芝2000,良,-20.0,1:58.0,-0.2,103.0,7-6-7-6,35.3-34.9,34.3,482(+6),,,(エイシンヒテン),2023.8,13,3250.0,464.2857142857143,0.21428571428571427,90.85714285714286
13,13,2021/04/25,2東京2,曇,11.0,サンスポ賞フローラS(G2),,17,8.0,15,11.8,5,1,ルメール,54.0,芝2000,良,-25.0,1:59.4,-0.2,94.0,4-4-4,35.2-33.8,33.4,506(-2),,,(スライリー),5319.0,14,6659.0,1109.8333333333333,0.5333333333333334,86.33333333333333
14,14,2021/04/25,2東京2,曇,11.0,サンスポ賞フローラS(G2),,17,1.0,1,15.1,7,5,和田竜二,54.0,芝2000,良,-25.0,2:00.0,0.6,88.0,6-6-6,35.2-33.8,33.9,458(-4),,,クールキャット,520.0,15,4852.2,693.1714285714286,0.5714285714285714,85.28571428571429
15,15,2021/03/27,2阪神1,晴,9.0,君子蘭賞(1勝クラス),,10,5.0,5,3.2,1,1,川田将雅,54.0,芝1800,良,-16.0,1:47.6,0.0,88.0,3-4,36.4-33.7,33.4,508(+2),,,(テーオーラフィット),1036.6,16,1546.6,515.5333333333333,1.0666666666666667,79.0
16,16,2021/04/11,2阪神6,晴,11.0,桜花賞(G1),,18,1.0,1,63.6,13,12,田辺裕信,55.0,芝1600,良,-20.0,1:32.6,1.5,98.0,15-14,34.1-34.3,34.6,502(-12),,,ソダシ,0.0,17,3101.7,516.9499999999999,0.85,83.33333333333333
17,17,2021/04/11,2阪神6,晴,11.0,桜花賞(G1),,18,5.0,9,106.6,15,8,岩田望来,55.0,芝1600,良,-20.0,1:32.0,0.9,104.0,11-9,34.1-34.3,34.3,418(+2),,,ソダシ,0.0,18,2867.2,409.59999999999997,0.942857142857143,87.28571428571429
18,18,2020/04/12,2阪神6,雨,11.0,桜花賞(G1),,18,5.0,9,4.2,2,1,松山弘平,55.0,芝1600,重,26.0,1:36.1,-0.2,110.0,13-12,34.9-38.1,36.6,466(0),,,(レシステンシア),13009.5,1,29389.1,7347.275,-0.3,96.75
