,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2022/01/15,1中京5,曇,5,3歳未勝利,,18,5,9,4.7,3,2,岩田望来,54,芝1400,良,-6,1:21.6,0.0,89,4-5,33.9-35.9,35.5,476(+2),,,ショウナンハクラク,210.0,1,1240.0,206.66666666666666,0.45,79.33333333333333
1,1,2022/01/16,1中山6,晴,6,3歳新馬,,16,8,16,24.1,5,2,団野大成,56,芝1600,良,-3,1:36.4,0.1,79,1-2-2,36.1-35.6,35.7,470(0),,,ウインエクレール,240.0,2,450.0,225.0,0.1,81.5
2,2,2021/06/12,3東京3,晴,5,2歳新馬,,18,1,2,2.6,1,2,藤懸貴志,54,芝1400,良,-19,1:22.3,0.1,76,1-1,34.8-35.7,35.8,468(0),,,ハイアムズビーチ,280.0,3(降),410.0,205.0,0.05,80.5
3,3,2022/01/23,1中京8,曇,6,3歳新馬,,16,7,14,8.2,4,4,松山弘平,54,芝1600,良,-2,1:37.5,0.1,69,3-3-3,36.5-35.1,35.0,460(0),,,キタサンシュガー,90.0,4,168.0,84.0,0.25,75.0
4,4,2021/12/12,6阪神4,晴,2,2歳未勝利,,12,5,5,286.0,12,12,岩田望来,55,ダ1400,良,-3,1:28.6,2.9,48,4-5,36.4-36.8,39.3,482(0),,,スズカワールド,0.0,5,52.0,10.4,2.62,54.0
5,5,2022/01/30,1中京10,晴,3,3歳未勝利,,16,7,14,232.7,14.0,13,的場勇人,56,ダ1400,良,2,1:29.1,3.4,46,11-12,34.9-38.7,40.6,436(0),,,ウラヤ,0.0,7,51.0,10.2,1.48,59.2
6,6,2022/01/16,1中京6,晴,5,3歳未勝利,,11,5,5,28.7,5,8,Ｍ．デム,56,芝2000,良,-8,2:03.2,1.3,74,8-8-8-8,36.7-34.9,35.5,448(-6),,,エイカイマッケンロ,0.0,9,180.0,45.0,0.9249999999999999,76.25
7,7,2021/10/31,5新潟8,晴,5,2歳新馬,,18,8,17,176.3,17,5,小沢大仁,52,芝1400,良,5,1:24.3,0.4,67,7-7,35.2-36.6,36.4,478(0),,,ディオサデルソル,70.0,10,70.0,23.333333333333332,0.7666666666666666,74.0
8,8,2022/01/16,1小倉2,曇,5,3歳新馬,,16,3,6,1.7,1,6,鮫島克駿,56,芝1200,良,-10,1:09.8,0.5,69,4-4,34.2-35.1,35.3,472(0),,出遅れ,ゼットレヨン,0.0,12,0.0,0.0,1.1,67.5
9,9,2022/01/22,1中山7,晴,5,3歳未勝利,,16,4,8,254.7,12,11,柴田大知,54,芝1600,良,-5,1:37.3,2.0,66,7-9-9,35.3-36.3,37.4,442(-10),,,エスペラント,0.0,13,0.0,0.0,1.44,63.8
10,10,2021/12/25,6阪神7,曇,9,万両賞(1勝クラス),,11,8,10,5.8,5,2,藤岡佑介,54,芝1400,良,-5,1:21.9,0.0,94,3-3,35.2-34.7,34.6,458(0),,,マテンロウオリオン,407.2,1,3131.7,1043.8999999999999,-0.10000000000000002,93.66666666666667
11,11,2021/11/06,5阪神1,曇,11,KBSファンタジーS(G3),,10,8,9,4.4,3,3,藤岡佑介,54,芝1400,良,-12,1:21.5,0.4,92,4-4,34.4-35.2,34.8,468(0),,,ウォーターナビレラ,735.0,2,2182.0,436.4,0.18,85.6
12,12,2021/11/28,5阪神8,晴,9,白菊賞(1勝クラス),,8,3,3,3.9,3,1,坂井瑠星,54,芝1600,良,-6,1:34.8,0.0,91,5-7,36.5-34.4,33.7,478(-6),,,(サウンドビバーチェ),1028.2,3,2321.7,464.34,0.13999999999999999,82.6
13,13,2021/12/11,6中京3,晴,4,2歳未勝利,,16,5,9,3.0,1,1,池添謙一,54,芝1600,良,-4,1:36.5,-0.1,78,8-8-8,36.6-35.0,34.2,450(-6),,出遅れ,(テイエムオードリー),510.0,4,1090.0,363.3333333333333,0.16666666666666666,85.0
14,14,2021/11/28,5阪神8,晴,9,白菊賞(1勝クラス),,8,8,8,3.1,1,5,浜中俊,54,芝1600,良,-6,1:36.1,1.3,77,5-6,36.5-34.4,35.1,444(+8),,出脚鈍い,ルージュラテール,101.0,5,1441.0,360.25,0.44999999999999996,81.5
15,15,2021/12/05,6阪神2,曇,2,2歳未勝利,,11,1,1,1.1,1,1,団野大成,54,芝1800,良,-14,1:48.2,-0.4,76,1-1,35.7-35.4,35.4,472(-8),,,(クロニクル),510.0,6,790.0,263.3333333333333,0.26666666666666666,86.0
16,16,2022/01/15,1中京5,晴,10,紅梅S(L),,9,7,7,74.1,9,5,菱田裕二,54,芝1400,良,-6,1:22.5,0.7,79,7-9,34.9-35.3,35.0,462(+6),,出遅れ,フォラブリューテ,200.0,7,900.0,300.0,0.5666666666666667,82.0
17,17,2021/10/30,4東京7,晴,11,アルテミスS(G3),,11,1,1,22.8,8,3,福永祐一,54,芝1600,良,-21,1:34.1,0.1,85,2-2,35.2-34.8,34.4,488(-8),,,サークルオブライフ,735.5,8,1688.3,422.075,0.325,81.25
18,18,2021/12/25,6阪神7,晴,4,2歳未勝利,,18,4,7,3.0,1,1,ルメール,54,芝1600,良,-5,1:35.4,-0.2,83,2-1,35.6-35.7,35.7,454(-4),,,(エンペザー),510.0,9,690.0,230.0,0.7333333333333334,85.33333333333333
