,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/10/31,4阪神8,曇,9,古都S(3勝クラス),,11,1,1,3.7,1,4,藤岡康太,56,芝3000,良,-12,3:07.9,0.7,86,10-9-9-7,37.7-35.8,35.3,466(-8),,出遅れ,メロディーレーン,270.0,1,14912.8,648.3826086956522,0.7391304347826086,92.6086956521739
1,1,2021/11/07,5東京2,晴,11,アルゼンチン共和国杯(G2),,15,4,6,12.6,6,6,石橋脩,54,芝2500,良,-7,2:33.1,0.7,96,5-3-3-5,30.9-34.1,34.5,498(-6),,,オーソリティ,0.0,2,9542.7,561.3352941176471,0.43529411764705883,88.11764705882354
2,2,2021/06/12,3東京3,晴,11,ジューンS(3勝クラス),,11,8,11,2.8,1,1,ルメール,56,芝2400,良,-19,2:24.6,-0.1,99,2-2-2-1,37.3-34.5,34.5,452(-4),,,(アンティシペイト),1843.1,3,9488.7,593.04375,0.375,92.6875
3,3,2021/09/05,2札幌8,晴,11,丹頂S(OP),,10,7,8,19.4,6,8,泉谷楓真,55,芝2600,良,7,2:45.0,0.7,97,8-7-8-8,38.3-36.2,35.9,474(+14),,出遅れ,カウディーリョ,0.0,4,11054.600000000002,552.7300000000001,0.695,92.6
4,4,2021/09/05,2札幌8,晴,11,丹頂S(OP),,10,5,5,3.0,2,3,ルメール,54,芝2600,良,7,2:44.5,0.2,100,6-5-6-5,38.3-36.2,35.6,498(-4),,,カウディーリョ,603.3,5,7712.7,405.9315789473684,0.9315789473684212,87.0
5,5,2021/05/08,2東京5,晴,10,メトロポリタンS(L),,11,6,6,30.7,9,10,Ｍ．デム,56,芝2400,良,-17,2:26.1,1.6,88,8-8-8-5,36.5-34.8,35.9,488(-8),,,ゴールドギア,0.0,6,3825.8,294.2923076923077,1.1769230769230767,89.3076923076923
6,6,2021/07/11,1福島4,曇,11,七夕賞(G3),,16,4,7,24.9,13,6,丸山元気,55,芝2000,稍,22,2:02.5,0.3,104,4-5-4-4,35.8-37.1,37.1,456(+6),,,トーラスジェミニ,0.0,7,8922.800000000001,637.3428571428573,0.3357142857142857,96.0
7,7,2020/10/25,4京都6,晴,11,菊花賞(G1),,18,7,14,42.2,6,8,岩田康誠,57,芝3000,良,4,3:07.1,1.6,107,9-9-10-8,36.8-35.6,36.5,502(+6),,出遅れ,コントレイル,0.0,8,4816.6,437.87272727272733,0.4818181818181818,91.18181818181819
8,8,2021/06/27,3阪神4,晴,11,宝塚記念(G1),,13,4,5,213.8,12,12,酒井学,58,芝2200,良,-12,2:13.4,2.5,92,11-11-11-12,35.1-34.7,36.1,462(-6),,,クロノジェネシス,0.0,9,7715.400000000001,241.10625000000002,0.8875000000000002,91.4375
9,9,2021/05/08,2東京5,晴,10,メトロポリタンS(L),,11,1,1,17.2,6,5,横山武史,56,芝2400,良,-17,2:25.0,0.5,95,1-1-1-1,36.5-34.8,35.3,500(+2),,,ゴールドギア,260.0,10,7862.6,462.50588235294117,1.0117647058823527,91.05882352941177
10,10,2021/09/05,2札幌8,晴,11,丹頂S(OP),,10,8,9,4.8,3,2,藤岡佑介,56,芝2600,良,7.0,2:44.3,0.0,101.0,4-4-4-3,38.3-36.2,35.7,510(-12),,,カウディーリョ,966.6,11,10383.199999999999,576.8444444444444,0.46111111111111114,96.05555555555556
11,11,2021/08/01,1函館10,曇,10,横津岳特別(2勝クラス),,10,7,8,7.3,4.0,3,岩田康誠,57,芝2600,良,-6,2:42.5,0.1,91,8-8-7-3,38.2-35.6,35.1,426(0),,,ストリクトコード,383.2,12,1953.2000000000003,72.34074074074076,0.6777777777777778,73.14814814814815
12,12,2021/09/26,4中山7,曇,11,産経賞オールカマー(G2),,16,2,3,40.4,8,15,石川裕紀,56.0,芝2200,良,-13,2:13.4,1.5,94,10-10-13-13,36.1-35.3,36.1,530(+12),,,ウインマリリン,0.0,13,13780.0,1252.7272727272727,0.6272727272727273,95.72727272727273
13,13,2020/02/22,1東京7,曇,11,ダイヤモンドS(G3),,16,1,1,4.9,2,3,野中悠太,54,芝3400,良,-2,3:32.0,0.8,103,4-4-2-2,37.3-38.1,38.7,484(-4),,,ミライヘノツバサ,1008.1,1,13109.9,819.36875,0.38125,91.0625
14,14,2019/09/16,4中山5,曇,11,朝日セントライト記念(G2),,18,7,15,11.5,6,6,田辺裕信,56,芝2200,重,-6,2:12.2,0.7,107,12-12-10-7,35.6-35.9,35.5,474(+10),,,リオンリオン,0.0,2,8687.900000000001,668.3000000000001,0.46923076923076923,97.23076923076923
15,15,2020/08/08,1札幌5,晴,11,札幌日経OP(L),,14,6,10,3.6,2,1,ルメール,54,芝2600,良,-15,2:37.6,-0.7,116,6-5-3-2,36.7-36.1,35.6,492(-6),,,(ボスジラ),2631.5,3,10932.4,840.9538461538461,0.5538461538461539,91.07692307692308
16,16,2019/06/02,3阪神2,小雨,11,グリーンS(3勝クラス),,7,5,5,2.8,1,1,中谷雄太,57,芝2400,良,0.0,2:27.0,0.0,103.0,4-4-5-4,36.7-35.8,35.5,488(0),,,(マイネルヴンシュ),1838.2,4,14766.7,492.22333333333336,0.77,91.6
17,17,2019/12/22,5阪神8,曇,7,3歳以上1勝クラス,,16,7,14,19.4,8.0,5,菱田裕二,56,ダ2000,良,-1.0,2:07.8,0.6,86.0,8-8-6-5,36.0-38.6,38.7,472(-8),,,クリノカポネ,75.0,5,5680.799999999999,378.71999999999997,1.02,83.73333333333333
18,18,2019/08/04,1札幌4,晴,7,3歳以上1勝クラス,,9,8,8,2.1,1,1,ルメール,54,芝2600,良,-14.0,2:41.6,-0.6,93.0,2-2-1-1,38.1-35.1,35.1,512(+8),,出遅れ,(フラッグサルート),750.0,6,9416.6,724.3538461538462,0.23076923076923078,97.3076923076923
19,19,2020/02/22,1東京7,曇,11,ダイヤモンドS(G3),,16,5,9,159.0,15,6,江田照男,52,芝3400,良,-2,3:33.1,1.9,98,15-15-13-7,37.3-38.1,39.4,468(-8),,出遅れ,ミライヘノツバサ,0.0,7,9297.0,320.58620689655174,0.5379310344827585,93.34482758620689
20,20,2018/05/27,2東京12,晴,12,目黒記念(G2),,16,8,15,57.7,12,14,松岡正海,52,芝2500,良,-18.0,2:31.0,1.3,95.0,2-2-2-2,30.2-34.5,35.7,450(+4),,,ウインテンダネス,0.0,8,16361.8,495.8121212121212,0.8515151515151516,89.54545454545455
21,21,2020/10/11,4京都2,晴,11,京都大賞典(G2),,17,2,3,13.6,8,4,北村友一,56,芝2400,稍,3,2:25.9,0.3,112,7-7-7-9,35.5-35.0,34.6,472(-10),,,グローリーヴェイズ,1000.0,9,8040.7,670.0583333333333,0.9666666666666667,92.5
22,22,2019/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),,17,3,6,20.8,7,4,岩田康誠,54,芝1600,良,3,1:35.2,0.3,95,10-12,35.3-35.2,34.7,478(+12),,,パクスアメリカーナ,620.0,10,6299.400000000001,262.475,0.8416666666666668,90.33333333333333
23,23,2019/09/14,4中山3,曇,11,レインボーS(3勝クラス),,12,8,12,15.4,6.0,5,三浦皇成,57,芝2000,良,-20,1:58.8,0.4,105,12-12-11-8,36.0-35.6,34.6,476(+12),,出遅れ,ブレステイキング,182.0,11,9794.9,376.7269230769231,0.45769230769230773,97.03846153846153
24,24,2020/11/22,5阪神6,曇,10,西宮S(3勝クラス),,16,8,16,191.1,14,16,長岡禎仁,53,芝2400,良,-14,2:28.1,2.2,82,7-7-6-9,37.4-34.6,36.2,458(-8),,,ゴースト,0.0,12,5606.8,116.80833333333334,1.03125,84.16666666666667
