,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
0,0,2020/11/01,4東京8,曇,11.0,天皇賞(秋)(G1),,12,4.0,4,13.3,3,12,戸崎圭太,58,芝2000,良,-9.0,2:00.7,2.9,92.0,5-6-6,36.5-33.6,35.8,450(-6),,,アーモンドアイ,0.0,1,48779.600000000006,4064.966666666667,0.24166666666666667,105.33333333333333,34.19166666666666,0.8289473684210527
1,1,2021/05/16,2東京8,曇,11.0,ヴィクトリアマイル(G1),,18,3.0,6,1.3,1,1,ルメール,55,芝1600,良,-19.0,1:31.0,-0.7,122.0,9-10,34.3-33.4,32.6,498(+2),,,(ランブリングアレー),10882.2,2,90188.9,6937.607692307692,-0.15384615384615385,110.23076923076923,33.823076923076925,0.9417989417989417
2,2,2021/05/09,2東京6,晴,11.0,NHKマイルC(G1),,18,7.0,15,3.7,2,1,ルメール,57,芝1600,良,-18.0,1:31.6,0.0,113.0,9-9,33.7-34.7,34.0,480(0),,,(ソングライン),10882.2,3,18180.800000000003,3636.1600000000008,-0.059999999999999984,99.2,34.4,0.9523809523809523
3,3,2021/03/28,2中京6,雨,11.0,高松宮記念(G1),,18,5.0,9,6.3,3,3,福永祐一,57,芝1200,重,16.0,1:09.3,0.1,110.0,11-9,34.1-35.1,34.5,478(-6),,,ダノンスマッシュ,3354.6,4,59503.99999999999,2975.2,0.08000000000000003,107.4,33.795,0.889344262295082
4,4,2021/04/03,3中山3,晴,11.0,ダービー卿チャレンジ(G3),,15,7.0,13,15.9,7,6,原優介,57.0,芝1600,良,-7.0,1:33.3,0.7,107.0,2-2-2,34.3-35.5,36.0,476(-4),,,テルツェット,0.0,5,15595.099999999999,556.967857142857,0.7642857142857143,91.46428571428571,35.81428571428571,0.5726744186046512
5,5,2021/04/04,2阪神4,雨,11.0,大阪杯(G1),,13,7.0,10,182.5,11,6,鮫島克駿,57.0,芝2000,重,20.0,2:03.0,1.4,100.0,12-12-11-11,35.6-36.8,37.2,484(+8),,,レイパパレ,0.0,6,21043.100000000002,678.8096774193549,0.9161290322580645,97.80645161290323,34.95161290322581,0.5560747663551402
6,6,2020/11/01,4東京8,曇,11.0,天皇賞(秋)(G1),,12,8.0,11,21.6,6,4,川田将雅,58,芝2000,良,-9.0,1:58.2,0.4,115.0,1-1-1,36.5-33.6,34.0,496(-10),,,アーモンドアイ,2300.0,7,41812.9,3216.376923076923,0.2846153846153846,106.07692307692308,34.22307692307693,0.7485380116959064
7,7,2021/04/04,2阪神4,雨,11.0,大阪杯(G1),,13,2.0,2,5.8,3,5,松山弘平,57,芝2000,重,20.0,2:02.7,1.1,103.0,3-3-2-2,35.6-36.8,37.7,538(0),,,レイパパレ,1350.0,8,34438.5,3826.5,0.15555555555555559,102.77777777777777,34.41111111111112,0.8521739130434782
8,8,2021/04/25,2阪神10,晴,11.0,読売マイラーズC(G2),,15,8.0,16,14.4,6,7,西村淳也,57.0,芝1600,良,-17.0,1:31.8,0.4,110.0,7-7,33.3-35.6,34.4,512(+4),,出遅れ,ケイデンスコール,0.0,9,20739.300000000003,1036.9650000000001,0.555,100.45,34.93500000000001,0.5816733067729084
9,9,2021/04/25,2阪神10,晴,11.0,読売マイラーズC(G2),,15,3.0,5,5.2,2,1,古川吉洋,56,芝1600,良,-17.0,1:31.4,-0.2,116.0,8-8,33.3-35.6,33.8,470(-2),,,(アルジャンナ),6013.4,10,21952.100000000002,1219.5611111111111,0.5888888888888888,97.22222222222223,34.150000000000006,0.5778688524590164
10,10,2021/04/25,2阪神10,晴,11.0,読売マイラーズC(G2),,15,4.0,8,34.7,11,4,幸英明,56.0,芝1600,良,-17.0,1:31.6,0.2,112.0,5-5,33.3-35.6,34.5,494(-6),,,ケイデンスコール,890.0,11,26397.0,879.9,0.5166666666666665,102.0,34.72666666666666,0.6209476309226932
11,11,2021/04/03,3中山3,晴,11.0,ダービー卿チャレンジ(G3),,15,6.0,11,7.8,4,2,田辺裕信,56,芝1600,良,-7.0,1:32.8,0.2,114.0,13-13-11,34.3-35.5,34.2,484(-4),,出遅れ,テルツェット,1616.4,12,12670.7,745.3352941176471,0.5176470588235293,99.6470588235294,34.376470588235286,0.6239669421487604
12,12,2021/02/07,1東京4,晴,11.0,東京新聞杯(G3),,16,5.0,10,11.6,5,1,菅原明良,56,芝1600,良,-14.0,1:32.4,0.0,110.0,5-4,34.9-34.3,34.0,530(+2),,,(カテドラル),3957.4,13,8812.5,367.1875,1.0958333333333334,78.875,36.50416666666668,0.4723127035830619
13,13,2021/05/15,2東京7,晴,11.0,京王杯スプリングC(G2),,17,5.0,10,4.1,1,1,Ｍ．デム,57,芝1400,良,-21.0,1:19.8,0.0,107.0,2-2,34.3-34.3,33.5,514(+2),,,(トゥラヴェスーラ),6021.8,14,26975.899999999998,2075.0692307692307,0.4384615384615384,96.76923076923077,35.05384615384616,0.702247191011236
14,14,2020/03/29,1中京8,晴,11,高松宮記念(G1),,18,4,8,4.1,2,2,池添謙一,55,芝1200,重,10,1:08.7,0.0,113,13-12,34.2-34.5,33.1,486(+12),,出遅れ,モズスーパーフレア,5312.8,1,45324.3,5665.5375,-0.22500000000000003,108.75,33.75,0.9396551724137931
