,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,本番年齢
0,0,2020/12/27,5中山8,晴,11.0,有馬記念(G1),,16,5.0,9,2.5,1,1,北村友一,55,芝2500,良,10.0,2:35.0,0.0,115.0,12-12-3-3,30.8-36.6,36.2,474(+10),,,(サラキア),30340.2,1,87341.99999999999,6718.615384615384,-0.07692307692307693,104.76923076923077,1,1,0.07692307692307693,34.36923076923077,0.9325842696629213,5
1,1,2021/06/05,4中京1,曇,11.0,鳴尾記念(G3),,13,3.0,3,20.6,8,1,坂井瑠星,56,芝2000,良,-13.0,2:00.7,-0.6,96.0,1-1-1-1,38.0-34.1,34.1,528(-4),,,(ショウナンバルディ),4145.5,2,11728.599999999999,651.5888888888888,0.8666666666666667,90.22222222222223,0,10,0.5555555555555556,35.80555555555555,0.588495575221239,5
2,2,2021/04/04,2阪神4,雨,11.0,大阪杯(G1),,13,6.0,8,12.2,4,1,川田将雅,55.0,芝2000,重,20.0,2:01.6,-0.7,112.0,1-1-1-1,35.6-36.8,36.8,422(-2),,出遅れ,(モズベッロ),13781.4,3,22651.700000000004,3775.283333333334,-0.3333333333333333,101.83333333333333,1,2,0.3333333333333333,34.93333333333333,1.0,4
3,3,2021/05/02,2阪神12,晴,11.0,天皇賞(春)(G1),,17,2.0,3,7.3,4,3,戸崎圭太,56,芝3200,良,-10.0,3:15.2,0.5,108.0,3-3-2-2,35.8-37.4,37.7,480(+2),,,ワールドプレミア,3851.0,4,43505.700000000004,2900.38,0.20666666666666667,100.2,0,6,0.42857142857142855,35.073333333333345,0.8861386138613861,5
4,4,2021/03/14,2中京2,晴,11.0,金鯱賞(G2),,10,7.0,7,10.0,3,5,Ｍ．デム,57.0,芝2000,重,18.0,2:02.0,0.2,112.0,10-10-10-10,37.1-36.8,35.9,504(-12),,出脚鈍い,ギベオン,670.0,5,66926.29999999999,2677.0519999999997,0.43999999999999995,106.76,1,-4,-0.16,35.56399999999999,0.7467532467532467,7
5,5,2021/05/30,2東京12,晴,12.0,目黒記念(G2),,16,8.0,15,7.8,3,12,福永祐一,54,芝2500,良,-24.0,2:34.2,1.4,81.0,11-11-11-10,31.2-32.8,33.2,460(+4),,,ウインキートス,0.0,6,12420.300000000001,345.0083333333334,0.8833333333333333,83.63888888888889,3,4,0.18181818181818182,36.522222222222226,0.6357615894039735,6
6,6,2021/06/06,3東京2,曇,11.0,安田記念(G1),,14,6.0,10,167.9,14,6,武豊,58.0,芝1600,良,-18.0,1:32.2,0.5,110.0,12-14,34.9-33.9,33.2,480(-4),,出遅れ,ダノンキングリー,0.0,7,21043.100000000002,678.8096774193549,0.9161290322580645,97.80645161290323,-1,15,0.4838709677419355,34.95161290322581,0.5560747663551402,7
7,7,2021/04/04,2阪神4,雨,11.0,大阪杯(G1),,13,1.0,1,68.8,6,2,池添謙一,57,芝2000,重,20.0,2:02.3,0.7,106.0,10-10-9-5,35.6-36.8,36.8,486(+2),,出遅れ,レイパパレ,5480.4,8,23049.8,1280.5444444444445,0.6722222222222223,97.83333333333333,1,19,1.0555555555555556,35.71666666666667,0.691304347826087,5
8,8,2021/05/02,2阪神12,晴,11.0,天皇賞(春)(G1),,17,1.0,2,3.8,2,4,ルメール,58.0,芝3200,良,-10.0,3:15.2,0.5,108.0,6-6-5-4,35.8-37.4,37.3,474(-6),,,ワールドプレミア,2300.0,9,19495.3,1624.6083333333333,0.2916666666666667,99.16666666666667,0,10,0.9090909090909091,35.49166666666667,0.8602941176470589,4
9,9,2021/06/05,4中京1,曇,11.0,鳴尾記念(G3),,13,4.0,5,162.6,12,5,松若風馬,56,芝2000,良,-13.0,2:01.6,0.9,89.0,4-4-4-3,38.0-34.1,34.5,532(-4),,,ユニコーンライオン,410.0,10,8766.6,313.09285714285716,0.5035714285714287,93.75,0,9,0.32142857142857145,35.01428571428572,0.660427807486631,6
