,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/04/04,2阪神4,雨,10,淀屋橋S(3勝クラス),,16,6,12,18.1,9,4,吉田隼人,54,芝1200,稍,14,1:10.3,0.2,97,12-10,33.7-36.4,35.0,436(+2),,出遅れ,ビオグラフィー,270.0,1,6870.200000000001,528.4769230769232,0.4230769230769231,90.76923076923077
1,1,2021/06/19,1札幌3,曇,11,STV賞(2勝クラス),,10,1,1,2.4,1,1,大野拓弥,54,芝1500,良,-26,1:27.8,-0.2,94,3-2-2,29.7-34.4,34.2,494(-6),,,(バルトリ),1522.4,2,4111.4,587.342857142857,0.39999999999999997,84.57142857142857
2,2,2020/10/24,4新潟5,雨,12,柏崎特別(2勝クラス),,11,6,7,4.5,2,6,菊沢一樹,57,芝1600,重,32.0,1:38.1,0.5,81.0,4-4,35.2-37.4,36.7,498(+2),,,ウインレフィナード,0.0,3,5131.1,301.8294117647059,0.33529411764705885,89.76470588235294
3,3,2020/12/06,6阪神2,晴,12,3歳以上2勝クラス,,11,2,2,15.1,6,2,国分優作,57,芝1400,良,-8,1:20.9,0.0,103,1-1,34.3-34.8,34.8,490(-2),,,カワキタアジン,440.0,4,5371.2,198.93333333333334,0.6518518518518518,82.5925925925926
4,4,2020/11/21,5東京5,晴,11,奥多摩S(3勝クラス),,18,2,3,5.5,3,9,三浦皇成,57,芝1400,良,-11.0,1:22.2,0.5,93.0,8-8,35.8-34.0,33.9,510(-4),,,ビッククインバイオ,0.0,5,10039.900000000001,313.74687500000005,0.38750000000000007,94.6875
5,5,2021/06/26,3阪神3,曇,10,水無月S(3勝クラス),,10,2,2,20.8,7,10,浜中俊,52,芝1400,良,-11,1:22.2,1.3,84,5-5,34.6-34.8,35.7,452(-4),,,サンライズオネスト,0.0,6,3600.0,225.0,0.3999999999999999,81.5
6,6,2021/03/20,1阪神11,曇,9,淡路特別(2勝クラス),,14,5,8,114.7,13,14,川又賢治,51,芝2600,良,-16,2:41.1,5.3,73,2-2-2-4,33.9-35.5,40.7,452(+2),,,ディバインフォース,0.0,7,3455.5,164.54761904761904,1.1714285714285713,83.14285714285714
7,7,2021/07/11,1函館4,曇,11,五稜郭S(3勝クラス),,16,4,8,20.9,7,4,菱田裕二,55,芝1800,稍,4,1:49.0,0.4,97,8-9-6-1,36.8-35.7,35.7,472(+6),,,モンブランテソーロ,270.0,8,4680.2,312.0133333333333,0.4333333333333334,90.66666666666667
8,8,2021/06/20,1札幌4,曇,11,しらかばS(3勝クラス),,15,8,16,100.8,13,3,亀田温心,54,芝1200,良,-23,1:08.4,0.2,94,4-4,33.4-34.8,34.6,502(+8),,,シャンデリアムーン,464.8,9,7711.300000000001,202.9289473684211,0.8789473684210529,87.84210526315789
9,9,2020/12/05,3中京1,晴,11,浜松S(3勝クラス),,18,5,9,12.6,6.0,6,浜中俊,54,芝1200,良,-16,1:08.1,0.4,96,10-10,33.4-34.3,33.8,426(-2),,,ケイアイサクソニー,0.0,10,7620.599999999999,262.7793103448276,0.43103448275862066,91.41379310344827
