,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2020/12/13,6阪神4,曇,11,阪神ジュベナイルF(G1),,18,3,6,3.2,1,1,吉田隼人,54,芝1600,良,-10,1:33.1,0.0,104,5-4,34.9-34.4,34.2,472(-4),,,(サトノレイナス),6627.4,1,26623.2,5324.64,-0.13999999999999999,96.8
1,1,2020/12/13,6阪神4,曇,11,阪神ジュベナイルF(G1),,18,4,7,4.4,2,2,ルメール,54,芝1600,良,-10,1:33.1,0.0,105,9-8,34.9-34.4,33.9,474(-2),,出遅れ,ソダシ,2636.4,2,9338.3,2334.575,-0.07500000000000001,96.0
2,2,2021/01/11,1中山4,曇,11,フェアリーS(G3),,16,5,9,5.5,3,1,ルメール,54,芝1600,良,-4,1:34.4,-0.4,99,9-9-7,35.8-35.7,35.0,492(+4),,,(ホウオウイクセル),3556.0,3,7329.7,1832.425,-0.15000000000000002,90.25
3,3,2021/02/13,1東京5,晴,11,デイリー杯クイーンC(G3),,16,3,6,4.9,2,1,戸崎圭太,54,芝1600,良,-14,1:33.3,0.0,99,6-5,34.6-34.9,34.4,450(+4),,出遅れ,(アールドヴィーヴル),3558.8,4,6704.0,1340.8,0.2,90.6
4,4,2021/02/13,1東京5,晴,11,デイリー杯クイーンC(G3),,16,5,9,9.5,5,2,松山弘平,54,芝1600,良,-14,1:33.3,0.0,101,10-10,34.6-34.9,34.1,428(-18),,,アカイトリノムスメ,1416.8,5,3166.8,1055.6000000000001,0.2333333333333333,98.66666666666667
5,5,2021/02/13,1東京5,晴,11,デイリー杯クイーンC(G3),,16,1,2,3.2,1,3,ルメール,54,芝1600,良,-14,1:33.4,0.1,99,8-7,34.6-34.9,34.3,452(+2),,出遅れ,アカイトリノムスメ,888.4,6,3365.6000000000004,560.9333333333334,0.2833333333333333,93.66666666666667
6,6,2021/03/06,1阪神7,曇,11,チューリップ賞(G2),,12,2,2,8.4,4,3,松山弘平,54,芝1600,稍,-10,1:33.9,0.1,96,1-2,36.3-34.8,34.7,422(-4),,,メイケイエール,1312.0,7,2958.5,493.0833333333333,0.26666666666666666,90.33333333333333
7,7,2021/03/20,2中山7,曇,11,フラワーC(G3),,16,4,7,7.2,2,2,岩田望来,54,芝1800,良,-3,1:49.4,0.2,91,7-5-7-6,37.4-35.8,35.3,416(-4),,,ホウオウイクセル,1416.2,8,2867.2,477.8666666666666,0.3333333333333333,91.0
8,8,2021/03/20,2中山7,曇,11,フラワーC(G3),,16,2,3,9.3,5,1,丸田恭介,54,芝1800,良,-3,1:49.2,-0.2,92,3-3-4-2,37.4-35.8,35.4,414(-6),,,(エンスージアズム),3556.7,9,5662.7,1132.54,0.34,85.8
9,9,2021/03/14,1阪神10,晴,11,フィリーズレビュー(G2),,18,7,13,23.4,11,3,藤岡康太,54,芝1400,良,-15,1:20.9,0.2,96,15-15,33.7-35.5,34.6,480(-8),,出脚鈍い,シゲルピンクルビー,1318.4,10,3202.0,457.42857142857144,0.2857142857142857,90.0
