,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/02/14,1東京6,晴,11,共同通信杯(G3),,12,6,7,6.8,4,1,横山武史,56,芝1800,良,-14,1:47.6,-0.4,96,2-4-3,37.4-33.8,33.4,514(+4),,,(ヴィクティファルス),3842.7,1,19214.800000000003,4803.700000000001,-0.30000000000000004,91.5
1,1,2021/03/07,2中山4,曇,11,報知弥生ディープ記念(G2),,10,4,4,17.9,4,1,横山武史,56,芝2000,良,-3,2:02.0,-0.2,102,1-1-1-1,36.7-34.5,34.5,466(-4),,,(シュネルマイスター),5472.8,2,13738.0,2747.6,0.16,92.0
2,2,2021/02/14,1東京6,晴,11.0,共同通信杯(G3),,12,3.0,3,2.3,1,5,横山典弘,57.0,芝1800,良,-14.0,1:48.1,0.5,92.0,6-5-6,37.4-33.8,33.6,500(-2),,,エフフォーリア,380.0,3,10427.5,2085.5,0.12000000000000002,95.8
3,3,2021/03/20,1阪神11,曇,11,若葉S(L),,10,6,6,3.5,2,1,松山弘平,56,芝2000,良,-16,1:59.5,-0.5,96,4-4-4-3,36.3-34.0,33.7,484(+8),,,(シュヴァリエローズ),2025.2,4,5712.7,1142.54,0.08,88.0
4,4,2021/02/07,1中京12,晴,11,きさらぎ賞(G3),,11,3,3,3.4,2,2,武豊,56,芝2000,良,-1,2:01.0,0.0,102,9-9-9-9,37.4-35.6,34.9,506(+4),,出遅れ,ラーゴム,1511.4,5,6151.0,1230.2,0.15999999999999998,92.4
5,5,2021/01/17,1中山6,曇,11,京成杯(G3),,12,3,3,3.1,1,1,ルメール,56,芝2000,良,0,2:03.1,-0.4,92,3-2-3-2,37.5-35.2,34.9,498(+10),,,(タイムトゥヘヴン),3845.5,6,4545.5,1515.1666666666667,0.033333333333333305,85.0
6,6,2021/02/28,1阪神6,晴,10,すみれS(L),,8,8,8,1.4,1.0,1,武豊,56,芝2200,良,-16,2:12.4,-0.4,98,7-7-6-6,34.0-35.1,34.6,452(-4),,Sヨレル,(グロリアムンディ),2018.2,7,4150.7,830.14,0.020000000000000007,89.4
7,7,2020/12/20,6阪神6,晴,11,朝日フューチュリティ(G1),,16,4,8,2.5,1,3,福永祐一,55,芝1600,良,-9,1:32.7,0.4,109,7-7,33.7-35.4,34.2,476(+8),,,グレナディアガーズ,1816.4,8,6437.200000000001,1287.44,0.2,97.6
8,8,2021/03/21,2中山8,雨,11,フジTVスプリングS(G2),,15,8,14,7.1,3,1,池添謙一,56,芝1800,重,28,1:52.0,0.0,97,8-8-9-9,37.2-37.0,36.1,480(+2),,,(アサマノイタズラ),5507.8,9,7720.0,1930.0,0.44999999999999996,90.5
9,9,2021/03/21,2中山8,雨,11,フジTVスプリングS(G2),,15,6,11,22.4,8,4,横山典弘,56,芝1800,重,28,1:52.5,0.5,89,6-3-4-6,37.2-37.0,36.9,470(-8),,,ヴィクティファルス,810.0,10,2324.6,464.91999999999996,0.42000000000000004,82.0
10,10,2021/03/20,1阪神11,曇,11,若葉S(L),,10,2,2,2.5,1,2,北村友一,56,芝2000,良,-16,2:00.0,0.5,92,5-5-6-6,36.3-34.0,33.9,444(0),,,アドマイヤハダル,807.2,11,4235.4,705.9,0.6333333333333333,89.83333333333333
11,11,2021/03/21,2中山8,雨,11,フジTVスプリングS(G2),,15,2,2,36.4,10,6,菱田裕二,56,芝1800,重,28,1:52.7,0.7,87,1-1-2-1,37.2-37.0,37.6,506(-2),,,ヴィクティファルス,0.0,12,1826.2,260.8857142857143,0.6857142857142858,81.14285714285714
12,12,2021/02/07,1中京12,晴,11,きさらぎ賞(G3),,11,2,2,4.7,3,1,北村友一,56,芝2000,良,-1,2:01.0,0.0,100,3-3-3-2,37.4-35.6,35.4,512(0),,,(ヨーホーレイク),3839.9,13,6535.3,1307.06,0.4,90.0
13,13,2021/03/27,3中山1,晴,6,3歳1勝クラス,,8,4,4,82.4,8,3,原優介,53,芝1800,良,0,1:49.3,0.1,91,5-5-5-5,36.3-36.6,35.9,534(+2),,出遅れ,スペシャルドラマ,180.0,14,1021.0,127.625,1.175,75.625
14,14,2021/03/07,2中山4,曇,11,報知弥生ディープ記念(G2),,10,2,2,1.3,1,3,川田将雅,56,芝2000,良,-3,2:02.3,0.3,99,5-5-5-4,36.7-34.5,34.2,512(-4),,,タイトルホルダー,1410.4,15,12554.6,2510.92,0.3799999999999999,93.2
15,15,2021/03/21,2中山8,雨,11,フジTVスプリングS(G2),,15,4,6,21.2,7,2,嶋田純次,56,芝1800,重,28,1:52.0,0.0,96,6-6-6-2,37.2-37.0,36.2,500(+10),,,ヴィクティファルス,2230.8,16,3070.8,614.1600000000001,0.72,84.8
16,16,2019/12/28,5中山9,晴,11,ホープフルS(G1),,13,2,2,2.0,1,1,福永祐一,55,芝2000,良,-3,2:01.4,-0.2,98,4-4-3-2,36.5-36.4,35.8,462(+6),,,(ヴェルトライゼンデ),7096.6,1,24590.0,6147.5,-0.375,98.5
