,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,最初コーナー,最終コーナー,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,本番年齢,レース評価,レース評価平均
0,0,2022/05/28,1新潟7,晴,7,3歳未勝利,,16,8,15,6.2,3,3,泉谷楓真,55,芝1600,良,-1,1:35.6,0.3,80,10-10,34.8-36.5,36.0,490(-8),,,タイゲン,130.0,1,612.0,61.2,1.0399999999999998,67.5,19,262,26.2,36.769999999999996,0.664179104477612,10.0,10.0,7.0,7.0,0.0,5.4,5.5,-0.1,0.0,0.1,3,2.0,1.2
1,1,2022/06/05,4中京2,晴,6,3歳未勝利,,16,4,7,5.4,3,2,和田竜二,56,芝1600,良,-14,1:34.2,0.1,89,2-2-2,35.0-35.7,35.6,460(-4),,,レディズビーク,210.0,2,1270.0,158.75,0.2625,80.125,3,102,12.75,35.037499999999994,0.8793103448275862,2.0,2.0,0.0,0.0,0.0,5.125,5.25,2.375,2.5,0.125,3,2.0,2.0
2,2,2022/05/28,1新潟7,晴,7,3歳未勝利,,16,4,8,5.2,2,2,菱田裕二,56,芝1600,良,-1,1:35.4,0.1,81,14-14,34.8-36.5,35.3,450(+2),,,タイゲン,210.0,3,322.0,80.5,0.625,78.5,17,79,19.75,35.225,0.6984126984126984,14.0,14.0,12.0,12.0,0.0,14.0,15.75,8.25,10.0,1.75,3,2.0,1.25
3,3,2022/05/28,1新潟7,曇,5,3歳未勝利,,16,7,14,14.8,5,4,柴山雄一,54,芝1800,稍,-1,1:49.2,0.6,73,6-6,35.0-36.1,36.4,444(+4),,,ミクソロジー,78.0,4,180.0,36.0,1.04,68.0,21,117,23.4,35.86,0.559322033898305,6.0,6.0,2.0,2.0,0.0,6.8,5.8,0.6,-0.4,-1.0,3,1.0,1.0
4,4,2022/06/05,4中京2,晴,6,3歳未勝利,,16,5,10,27.8,7,5,小沢大仁,54,芝1600,良,-14,1:34.5,0.4,86,8-9-9,35.0-35.7,35.2,482(0),,,レディズビーク,52.0,5,52.0,52.0,0.4,86.0,6,6,6.0,35.2,0.7333333333333333,8.0,9.0,4.0,3.0,-1.0,9.0,8.0,4.0,3.0,-1.0,3,1.0,1.0
5,5,2022/06/04,4中京1,晴,7,3歳以上1勝クラス,,8,7,7,25.0,5,5,今村聖奈,50,芝2000,良,-18,2:00.4,0.8,87,6-4-4-5,36.7-34.2,34.4,448(-2),,,ゼッフィーロ,77.0,6,328.0,41.0,0.9500000000000001,71.5,-5,146,18.25,35.199999999999996,0.5982142857142857,6.0,5.0,0.0,1.0,1.0,7.625,8.375,1.0,1.75,0.75,3,2.0,1.25
6,6,2022/05/22,1新潟6,曇,2,3歳未勝利,,16,7,14,8.4,4,6,川又賢治,54,芝1400,良,-4,1:23.0,0.5,74,7-7,34.3-36.2,36.2,488(-2),,,メイショウイヌワシ,0.0,7,150.0,50.0,0.7666666666666666,73.33333333333333,22,70,23.333333333333332,36.166666666666664,0.6170212765957447,7.0,7.0,1.0,1.0,0.0,4.0,4.0,-3.0,-3.0,0.0,3,1.0,1.3333333333333333
7,7,2022/06/12,4中京4,晴,4,3歳未勝利,,15,5,9,4.0,3,5,松山弘平,54,芝1600,良,-19,1:34.5,1.3,82,14-12-10,34.7-35.4,35.6,420(-2),,出遅れ,ダイシンビヨンド,52.0,8,739.0,105.57142857142857,0.5857142857142857,75.57142857142857,6,132,18.857142857142858,35.15714285714286,0.7912087912087912,14.0,10.0,5.0,9.0,4.0,6.571428571428571,8.285714285714286,2.857142857142857,4.571428571428571,1.7142857142857142,3,1.0,1.4285714285714286
8,8,2022/05/14,3中京3,曇,4,3歳未勝利,,16,7,14,15.0,7,7,岩田望来,54,芝1600,重,-12,1:35.4,0.7,79,7-5-5,35.3-36.0,36.5,440(-4),,直線不利,ピラティス,0.0,9,310.0,77.5,0.75,71.5,15,81,20.25,36.425000000000004,0.5964912280701754,7.0,5.0,-2.0,0.0,2.0,4.25,4.25,-2.5,-2.5,0.0,3,1.0,1.5
9,9,2022/04/30,1福島5,晴,5,3歳未勝利,,16,5,9,39.3,11,10,古川吉洋,56,芝1200,重,6,1:11.4,0.7,72,14-14,34.5-36.2,35.7,460(+6),,出遅れ,グラストンベリー,0.0,10,0.0,0.0,1.2999999999999998,63.0,26,67,33.5,35.35,0.23333333333333334,14.0,14.0,4.0,4.0,0.0,13.5,13.5,1.0,1.0,0.0,3,1.0,1.0
