,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/12/18,6阪神5,晴,2,2歳未勝利,,14,7,12,3.6,2,4,Ｃ．デム,54,芝1800,稍,-7,1:51.9,0.1,52,10-8,38.0-34.3,33.9,416(+2),,,アカデミー,77.0,1,1028.0,205.6,0.26,73.6
1,1,2021/12/28,6阪神9,晴,6,2歳未勝利,,16,5,9,2.4,1,2,坂井瑠星,54,芝1800,良,-5,1:47.4,0.1,91,3-3,35.0-35.6,35.4,444(-2),,,ルミネイト,200.0,2,1122.0,160.28571428571428,0.2857142857142857,79.42857142857143
2,2,2021/12/25,6阪神7,晴,4,2歳未勝利,,18,6,12,6.3,3,3,武豊,55,芝1600,良,-5,1:35.7,0.3,80,10-10,35.6-35.7,35.3,466(+2),,,エリカフェリーチェ,130.0,3,670.0,167.5,0.19999999999999998,76.5
3,3,2021/12/11,6中京3,晴,2,2歳未勝利,,16,7,14,75.1,8,12,藤井勘一,54,ダ1200,良,-4,1:14.8,2.0,54,16-16,34.9-37.9,38.2,488(0),,,テイエムランウェイ,0.0,4,78.0,19.5,2.075,58.5
4,4,2022/02/06,1中京12,曇,6,3歳新馬,,16,4,7,22.7,6,5,松田大作,56,芝1600,稍,-1,1:37.3,0.5,74,15-13-10,37.5-35.0,34.6,458(0),,出遅れ,ゼッフィーロ,60.0,5,112.0,56.0,0.55,78.0
5,5,2021/11/14,5阪神4,晴,5,2歳新馬,,14,2,2,6.3,4,5,岩田望来,55,芝1600,良,-1,1:37.4,0.3,70,12-12,36.9-35.0,34.5,462(0),,出脚鈍い,カレンマックナイト,70.0,6,70.0,35.0,0.55,75.0
6,6,2021/11/27,5阪神7,晴,3,2歳未勝利,,18,6,11,753.1,17,8,西村淳也,55,芝1600,良,-6,1:35.4,1.0,82,14-12,35.6-35.3,35.3,478(-4),,,ハンス,0.0,7,0.0,0.0,1.575,71.5
7,7,2021/12/12,6中京4,曇,4,2歳未勝利,,18,6,11,6.8,4,6,坂井瑠星,55,芝2000,良,-6,2:02.7,0.5,78,3-3-3-3,36.1-36.0,36.4,482(0),,,テーオーソラネル,0.0,8,110.0,27.5,0.75,74.25
8,8,2021/12/12,6中京4,曇,4,2歳未勝利,,18,7,14,225.3,15,11,古川吉洋,54,芝2000,良,-6,2:03.3,1.1,73,9-8-8-9,36.1-36.0,36.6,408(0),,,テーオーソラネル,0.0,9,70.0,17.5,1.0250000000000001,72.75
9,9,2021/10/24,4阪神6,晴,3,2歳未勝利,,16,6,12,33.5,9,13,国分優作,55,芝1400,良,-13,1:23.1,2.2,71,6-7,34.4-35.0,36.7,450(+10),,,ママコチャ,0.0,10,438.0,62.57142857142857,1.042857142857143,68.57142857142857
10,10,2022/02/06,1中京12,曇,6,3歳新馬,,16,2,4,7.8,5,3,国分恭介,54,芝1600,稍,-1,1:37.2,0.4,74,2-2-2,37.5-35.0,35.3,500(0),,,ゼッフィーロ,150.0,12,150.0,75.0,0.8999999999999999,73.0
11,11,2021/11/06,5阪神1,晴,2,2歳未勝利,,11,2,2,104.6,10,11,田中健,54,ダ1200,良,0,1:19.8,6.6,-9,5-7,35.9-37.3,43.3,450(-10),,出遅れ,グッドグロウス,0.0,13,0.0,0.0,3.4333333333333336,34.666666666666664
12,12,2021/08/22,4小倉4,小雨,2,2歳未勝利,,16,3,5,4.9,3,3,福永祐一,54,芝1800,稍,-3,1:50.5,0.3,62,4-7-7-8,37.4-36.0,35.9,448(+8),,,サウンドクレア,130.0,14,310.0,103.33333333333333,0.7666666666666667,69.0
13,13,2022/01/30,1小倉6,曇,2,3歳未勝利,,16,8,15,358.1,15,16,藤懸貴志,54,芝1200,良,-9,1:11.0,1.7,52,15-15,34.1-35.2,35.6,454(-18),,出遅れ,タッカーシルバー,0.0,15,0.0,0.0,2.466666666666667,51.333333333333336
14,14,2021/12/04,6阪神1,晴,7,2歳未勝利,,13,3,3,28.5,6,8,幸英明,54,芝1600,良,-7,1:36.1,1.1,75,1-1,35.7-35.0,36.1,432(0),,好発,マンクスホップ,0.0,15,231.0,57.75,1.3,68.25
15,15,2021/12/11,6阪神3,晴,2,2歳未勝利,,16,4,8,73.4,9.0,16,鮫島克駿,55,芝1400,良,-12,1:25.4,3.5,44,2-3,34.6-35.5,39.0,432(+4),,,マコトダイトウレン,0.0,18,70.0,23.333333333333332,3.466666666666667,42.333333333333336
16,16,2022/01/29,1中京9,晴,7,4歳以上1勝クラス,,11,8,10,2.0,1,2,柴山雄一,56,芝1600,良,-5,1:34.2,0.0,98,4-4-5,34.2-35.4,35.0,540(+2),,,エーティーソブリン,310.0,1,3580.0,238.66666666666666,0.5266666666666666,89.86666666666666
17,17,2022/01/29,1中京9,晴,7,4歳以上1勝クラス,,11,2,2,16.9,6,7,藤懸貴志,54,芝1600,良,-5,1:35.0,0.8,90,2-2-2,34.2-35.4,36.1,470(+6),,,エーティーソブリン,0.0,2,1060.0,132.5,1.0250000000000001,80.25
18,18,2021/12/18,6中京5,晴,7,3歳以上1勝クラス,,18,5,9,200.0,17,10,西村淳也,55,芝1400,稍,-4,1:22.6,1.4,79,17-17,34.0-35.4,35.0,442(+6),,,タイニーロマンス,0.0,3,880.0,62.857142857142854,1.25,76.57142857142857
19,19,2021/11/20,2福島5,晴,10,三春駒特別(1勝クラス),,16,8,15,10.6,6,7,荻野極,55,芝1800,良,2,1:49.3,0.5,87,8-8-8-7,36.0-35.7,35.7,434(-4),,,アウスヴァール,0.0,4,776.0,97.0,0.775,84.0
20,20,2021/09/12,5中京2,曇,12,3歳以上1勝クラス,,18,8,17,14.6,6,12,鮫島克駿,55,芝1400,良,-13,1:21.6,0.5,83,10-10,34.5-34.8,34.5,474(+6),,,エルカスティージョ,0.0,5,1578.0,143.45454545454547,0.409090909090909,86.81818181818181
21,21,2021/10/31,5新潟8,晴,10,十日町特別(1勝クラス),,18,3,5,4.7,1,4,富田暁,55,芝1400,良,5,1:22.6,0.1,89,10-8,35.2-35.6,35.1,528(+6),,,テーオーディエス,160.0,6,1278.5,106.54166666666667,0.7166666666666667,82.16666666666667
22,22,2022/01/16,1中京6,晴,7,4歳以上1勝クラス,,14,7,12,20.8,7,4,松田大作,56,芝1600,良,-8,1:34.6,0.5,91,9-7-9,35.3-35.8,35.4,462(-4),,,ヴィルヘルム,120.0,7,821.0,205.25,0.525,83.0
23,23,2021/12/04,6中京1,曇,9,3歳以上1勝クラス,,16,4,8,20.1,8,6,川又賢治,56,芝1600,良,-9,1:34.7,1.1,91,11-10-10,35.1-34.7,34.5,466(+8),,出遅れ,ソウルラッシュ,0.0,8,1400.0,140.0,0.4299999999999999,87.6
24,24,2022/02/06,1小倉8,晴,9,波佐見特別(1勝クラス),,16,5,9,18.4,7.0,14,泉谷楓真,54,芝1800,良,5,1:48.9,1.1,85,10-11-11-12,35.5-36.5,35.8,420(+2),,,イザニコス,0.0,9,1010.0,72.14285714285714,0.9214285714285714,82.85714285714286
