,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2022/02/06,1東京4,曇,9,ゆりかもめ賞(1勝クラス),,10,8,9,3.9,2,2,ルメール,56,芝2400,良,-12,2:27.3,0.0,87,1-1-1-1,37.3-34.3,34.3,508(+10),,,レヴァンジル,416.6,1,3823.4,637.2333333333333,0.13333333333333333,84.0
1,1,2022/02/06,1東京4,曇,9,ゆりかもめ賞(1勝クラス),,10,8,10,2.1,1,1,Ｍ．デム,56,芝2400,良,-12,2:27.3,0.0,87,4-4-2-3,37.3-34.3,34.0,482(-6),,,(ポッドボレット),1053.1,2,2847.8999999999996,569.5799999999999,0.08,89.4
2,2,2022/01/16,1中山6,晴,11,京成杯(G3),,16,4,8,35.2,8,3,団野大成,56,芝2000,良,-3,2:01.7,0.4,93,13-13-11-10,35.7-35.5,35.0,504(+4),,4角不利,オニャンコポン,1008.1,3,2200.5,550.125,0.275,81.75
3,3,2022/01/16,1中京6,晴,8,梅花賞(1勝クラス),,4,5,5,1.5,1,1,川田将雅,56,芝2200,良,-8,2:15.7,0.0,82,3-3-3-3,37.8-34.3,34.0,476(-2),,出遅れ,(トゥデイイズザデイ),1043.3,4,2043.3,681.1,-0.06666666666666665,86.33333333333333
4,4,2022/02/06,1中京12,晴,11,きさらぎ賞(G3),,11,8,10,31.0,9,9,松田大作,56,芝2000,稍,-1,2:01.5,1.0,94,6-5-5-5,36.2-35.9,36.3,468(-4),,1角不利,マテンロウレオ,0.0,5,900.0,225.0,0.6,90.5
5,5,2022/02/06,1中京12,晴,11,きさらぎ賞(G3),,11,7,9,193.5,11,7,団野大成,56,芝2000,稍,-1,2:01.4,0.9,94,11-11-10-9,36.2-35.9,35.6,482(-12),,,マテンロウレオ,0.0,6,3078.6,307.86,0.6900000000000002,83.7
6,6,2022/01/09,1中京3,晴,6,3歳新馬,,11,4,4,6.1,4,1,岩田望来,56,芝2000,良,-11,2:04.4,-0.4,63,1-1-1-1,38.0-34.3,34.3,486(0),,,(ニシノクレセント),600.0,7,600.0,300.0,0.35000000000000003,77.5
7,7,2022/01/15,1中京5,晴,6,3歳新馬,,12,4,4,3.3,2,1,川田将雅,56,芝2000,良,-6,2:04.2,-0.1,71,5-6-6-4,37.6-34.5,34.2,484(0),,出遅れ,(プラダリア),600.0,8,600.0,300.0,0.6499999999999999,81.0
8,8,2022/01/16,1中京6,晴,11,日経新春杯(G2),,16,4,7,87.9,12,5,国分恭介,55,芝2200,良,-8,2:12.6,0.9,100,3-3-2-2,36.0-35.1,35.9,468(+4),,,ヨーホーレイク,570.0,1,16994.8,629.437037037037,0.8629629629629633,93.48148148148148
9,9,2022/01/05,1中山1,晴,11,日刊スポ賞中山金杯(G3),,17,1,2,30.8,9,4,津村明秀,56,芝2000,良,-5,2:00.5,0.4,99,12-12-11-11,37.6-35.9,35.2,480(+4),,,レッドガラン,650.0,2,11863.900000000001,741.4937500000001,0.48125,98.25
10,10,2021/11/28,5東京8,晴,12,ジャパンC(G1),,18,6,12,70.5,10.0,4,鮫島克駿,57,芝2400,良,-17,2:25.4,0.7,95,4-6-6-7,37.0-35.3,34.5,474(+2),,,コントレイル,4500.0,3,23964.9,1041.9521739130435,0.36086956521739133,98.56521739130434
