,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2022/01/05,1中京1,晴,6,3歳1勝クラス,,10,7,8,19.3,6,3,松田大作,56,芝2000,良,-10,2:00.2,0.1,95,9-9-9-9,35.7-36.8,35.8,488(+2),,出遅れ,グランディア,190.0,1,1748.9,349.78000000000003,0.36,85.6
1,1,2021/12/12,6阪神4,晴,3,2歳未勝利,,12,1,1,7.4,3,1,和田竜二,55,芝2000,良,-8,2:01.8,0.0,85,7-8-8-6,37.0-35.1,34.5,510(-6),,,(アーティット),510.0,2,1205.4,401.8,0.26666666666666666,82.33333333333333
2,2,2022/01/08,1中京2,晴,5,3歳未勝利,,16,4,8,1.5,1,1,川田将雅,56,芝2200,良,-10,2:13.8,-0.1,88,2-2-2-2,34.4-36.4,36.3,482(+4),,,(プレミアスコア),520.0,3,1162.7,290.675,0.15000000000000002,84.5
3,3,2022/02/13,2小倉2,曇,9,あすなろ賞(1勝クラス),,8,8,8,3.6,2,2,浜中俊,56,芝2000,稍,9,2:03.5,0.1,76,7-6-2-2,36.8-36.8,36.8,490(+14),,,シーグラス,415.2,4,1685.2,337.04,0.38,76.4
4,4,2022/02/19,2小倉3,雨,6,3歳未勝利,,13,6,9,7.0,4.0,1,富田暁,56,芝2000,稍,16,2:04.2,-0.1,78,6-6-4-4,36.7-37.8,37.4,446(+2),,,(ミアステラ),520.0,5,693.0,231.0,0.5666666666666668,68.66666666666667
5,5,2022/01/22,1中京7,晴,5,3歳未勝利,,7,4,4,6.6,3,1,武豊,54,芝2000,良,-11,2:01.9,-0.2,82,1-1-1-1,38.2-34.8,34.8,472(0),,,(ストーリア),520.0,6,840.0,168.0,0.6,80.4
6,6,2022/02/13,1阪神2,小雨,4,3歳新馬,,16,3,6,12.4,5,1,幸英明,56,ダ1800,良,0,1:57.0,-0.6,64,2-2-2-2,40.1-37.9,37.8,430(0),,,(テイエムサンボーイ),600.0,7,600.0,300.0,0.7,70.5
7,7,2022/01/29,1中京9,晴,10,茶臼山高原特別(2勝クラス),,10,4,4,4.3,2.0,2.0,岩田望来,54,芝2200,良,-5.0,2:12.8,0.1,101.0,4-4-4-3,35.3-35.7,35.6,494(+2),,,ロードプレジール,606.6,1.0,4425.7,163.9148148148148,1.2925925925925925,75.29629629629629
8,8,2021/12/19,6中京6,曇,12,尾張特別(2勝クラス),,12,3,3,4.7,2.0,12.0,藤岡康太,57,芝2200,良,-3.0,2:18.7,4.9,59.0,4-4-3-3,35.4-35.7,40.1,514(-8),,,ダンディズム,0.0,2.0,4417.1,339.7769230769231,0.7076923076923077,85.6923076923077
9,9,2021/09/05,2札幌8,晴,12,釧路湿原特別(2勝クラス),,13,7,10,31.8,7.0,10.0,古川吉洋,54,芝2000,良,7.0,2:05.6,2.5,76.0,3-3-2-8,36.2-37.0,39.4,514(+10),,,ミスミルドレッド,0.0,3.0,2696.2,207.39999999999998,1.1153846153846154,81.53846153846153
10,10,2021/11/27,5阪神7,曇,9,江坂特別(2勝クラス),,7,1,1,30.5,6.0,3.0,藤岡佑介,55,芝2600,良,-1.0,2:45.1,0.5,69.0,3-3-3-3,39.6-34.5,34.8,468(+12),,,マカオンドール,382.2,4.0,4417.799999999999,200.80909090909088,1.0272727272727273,76.22727272727273
11,11,2022/02/05,1小倉7,雪,11,玄海特別(2勝クラス),,10,1,1,166.1,10.0,9.0,竹之下智,57,芝1800,良,3.0,1:49.9,0.9,75.0,6-7-10-10,37.6-35.8,34.7,536(-10),,出遅れ,メイショウテンモン,0.0,5.0,2056.0,79.07692307692308,1.3346153846153848,79.53846153846153
12,12,2022/01/05,1中山1,晴,12,4歳以上2勝クラス,,10,6,6,19.5,8.0,5.0,木幡育也,56,芝2000,良,-5.0,2:02.4,0.5,83.0,5-5-5-4,37.8-36.3,36.2,472(+4),,,レッドライデン,111.0,6.0,4744.3,215.65,0.4681818181818182,90.77272727272727
13,13,2022/02/05,1中京11,晴,9,天竜川特別(2勝クラス),,7,6,6,5.7,3.0,7.0,岩田望来,57,芝2000,良,-3.0,2:05.1,0.9,67.0,7-7-7-7,38.8-33.8,34.1,468(+8),,,リフレーミング,0.0,7.0,2480.0,155.0,0.5750000000000001,84.75
14,14,2022/02/01,川崎,晴,9,ジャニュアリースター,,14,3,4,8.8,5.0,1.0,笹川翼,55,ダ1600,良,-7.0,1:43.2,-0.2,72.0,7-6-6-3,36.5-40.3,39.5,508(-6),,,(アランチャアミーゴ),400.0,8.0,1257.5,54.67391304347826,1.1478260869565218,55.91304347826087
15,15,2022/01/15,1中山5,晴,12,4歳以上2勝クラス,,11,2,2,167.3,10.0,10.0,内田博幸,57,芝2200,良,1.0,2:18.0,1.3,75.0,4-4-8-8,38.5-35.3,35.9,412(-10),,,ブレークアップ,0.0,9.0,2898.9,87.84545454545454,1.2030303030303033,83.51515151515152
16,16,2021/10/30,4阪神7,晴,5,2歳新馬,,12,5,5,40.2,7,12,浜中俊,55,芝2000,良,-13,2:05.6,2.8,46,12-12-9-10,37.5-35.8,37.6,508(0),,出遅れ,マテンロウレオ,0.0,1,520.0,260.0,1.3499999999999999,64.0
17,17,2022/02/06,1小倉8,晴,5,3歳新馬,,16,3,5,8.8,4,2,松本大輝,53,芝2000,良,5,2:03.4,0.0,77,3-3-2-2,36.5-35.0,34.7,502(0),,,ファンジオ,240.0,3,370.0,185.0,0.1,79.0
18,18,2021/11/14,2福島4,晴,2,2歳未勝利,,15,3,4,5.9,3,5,泉谷楓真,54,芝2000,良,0,2:03.0,0.6,78,12-12-9-11,34.2-38.0,37.9,450(0),,,セレブレイトガイズ,51.0,4,484.0,80.66666666666667,0.7166666666666667,71.83333333333333
19,19,2022/01/10,1中京4,晴,5,3歳未勝利,,17,8,17,34.8,9,9,池添謙一,56,芝2000,良,-14,2:02.7,1.9,71,8-9-9-9,36.0-35.0,35.8,492(+8),,,セルケト,0.0,5,174.0,43.5,1.05,74.0
20,20,2021/10/31,5新潟8,晴,2,2歳未勝利,,11,6,6,8.8,5,8,亀田温心,54,芝2000,良,5,2:07.1,1.8,49,3-4-6-7,38.4-35.7,36.8,454(+4),,,インダミタブル,0.0,7,231.0,46.2,1.8199999999999998,61.0
21,21,2021/11/07,5阪神2,晴,5,2歳新馬,,7,7,7,8.2,4,2,和田竜二,55,芝2000,良,-11,2:02.4,0.6,76,6-6-4-3,37.4-35.5,35.8,468(0),,,ダノンブリザード,280.0,8,331.0,82.75,0.9,72.0
22,22,2021/10/02,5中京8,晴,5,2歳新馬,,12,1,1,38.3,9,8,吉田隼人,54,芝2000,良,-14,2:03.2,1.4,69,7-7-6-6,37.8-35.4,36.2,482(0),,,ヴェールランス,0.0,9,0.0,0.0,1.4666666666666668,68.0
23,23,2022/01/05,1中京1,晴,5,3歳新馬,,14,8,13,18.7,6,5,松山弘平,56,芝2000,良,-10,2:04.0,0.8,65,2-2-2-2,36.6-35.6,36.3,464(0),,,チュウワダンス,60.0,10,112.0,37.333333333333336,1.2999999999999998,69.33333333333333
24,24,2022/01/29,1中京9,曇,1,3歳未勝利,,11,6,7,16.1,5,8,松山弘平,54,ダ1800,良,1,1:57.6,1.5,58,9-8-9-9,38.6-38.4,39.0,530(-4),,,セレッソ,0.0,11,110.0,22.0,1.72,58.2
25,25,2021/11/28,5阪神8,晴,3,2歳未勝利,,14,4,6,22.8,7,13,団野大成,55,芝2000,良,-6,2:05.8,2.8,53,10-10-14-14,38.1-35.9,37.4,450(0),,,タイセイディバイン,0.0,12,154.0,30.8,1.56,64.6
26,26,2021/12/11,6阪神3,晴,6,2歳新馬,,13,4,5,21.1,7,6,西村淳也,54,芝2000,良,-12,2:02.2,0.6,75,3-3-3-3,36.3-36.2,36.6,466(0),,,ロードラプソディ,0.0,13,0.0,0.0,1.35,71.5
27,27,2022/02/06,1中京12,曇,6,3歳新馬,,16,8,15,67.3,11,12,柴山雄一,56,芝1600,稍,-1,1:38.8,2.0,59,16-15-14,37.5-35.0,35.8,470(0),,出遅れ,ゼッフィーロ,0.0,14,0.0,0.0,2.25,62.0
28,28,2021/12/11,6阪神3,晴,2,2歳未勝利,,16,3,5,405.2,14,12,柴山雄一,55,芝1400,良,-12,1:23.8,1.9,64,15-14,34.6-35.5,36.2,440(-4),,,マコトダイトウレン,0.0,15,0.0,0.0,2.96,57.8
29,29,2021/10/10,4阪神2,晴,9,三田特別(2勝クラス),,9,8,8,62.1,9,3,池添謙一,57,芝2200,良,-15,2:13.2,0.5,90,4-4-6-6,34.2-36.5,36.5,484(0),,,ヴェローチェオロ,383.2,1,5546.0,264.0952380952381,0.6714285714285715,86.04761904761905
30,30,2021/05/30,3中京8,晴,2,3歳未勝利,,9,7,7,1.6,1,1,藤岡康太,56,芝2000,良,-12,2:00.4,-0.2,90,5-5-4-3,36.4-36.0,35.1,462(-2),,,(ウォーターアークス),510.0,2,2539.6,282.17777777777775,0.28888888888888886,82.22222222222223
31,31,2021/09/12,5中京2,小雨,9,長久手特別(2勝クラス),,8,8,8,27.1,7,8,松若風馬,53,芝2000,良,-14,2:02.1,1.7,82,8-8-7-7,37.7-34.6,35.0,468(+4),,出遅れ,ロバートソンキー,0.0,3,4247.799999999999,202.27619047619044,1.0523809523809524,76.0952380952381
32,32,2020/09/20,2中京4,晴,11,関西TVローズS(G2),,18,2,3,4.2,1.0,11,ルメール,54,芝2000,良,-8,2:01.0,1.1,96,15-16-13-13,35.7-34.5,34.6,440(-4),,,リアアメリア,0.0,4,3337.8,476.8285714285715,0.3,91.57142857142857
33,33,2021/10/10,4阪神2,晴,9,三田特別(2勝クラス),,9,2,2,8.6,3,4,岩田望来,55,芝2200,良,-15,2:13.3,0.6,89,4-5-6-6,34.2-36.5,36.7,474(-2),,,ヴェローチェオロ,230.0,5,3530.8,252.20000000000002,0.5857142857142856,89.78571428571429
34,34,2021/11/21,5東京6,曇,10,南武特別(2勝クラス),,12,6,8,7.2,5,6,内田博幸,55,芝2400,良,-13,2:26.6,0.6,90,12-11-10-8,36.9-35.5,34.5,494(+18),,出遅れ,レイオブウォーター,0.0,6,1398.0,155.33333333333334,0.6555555555555554,80.11111111111111
35,35,2021/08/14,4小倉1,雨,10,柳川特別(2勝クラス),,10,7,7,111.7,9,7,柴山雄一,57,芝2000,不,31,2:06.4,1.3,74,10-10-10-9,35.8-37.8,38.1,460(+2),,,アリーヴォ,0.0,7,2594.1,136.53157894736842,1.2210526315789476,81.94736842105263
36,36,2021/07/10,1函館3,小雨,12,駒ケ岳特別(2勝クラス),,13,5,7,31.8,8,4,吉田隼人,55,芝2600,稍,6.0,2:42.7,0.6,96.0,12-11-7-8,37.7-37.0,37.1,410(+14),,,アラタ,230.0,8,3133.8,104.46000000000001,0.8933333333333332,84.56666666666666
37,37,2021/07/18,1福島6,晴,9,信夫山特別(2勝クラス),,11,1,1,9.2,6,4,津村明秀,57.0,芝2600,良,-6,2:43.2,1.3,84,7-7-6-3,39.3-34.9,35.7,524(+2),,,エドノフェリーチェ,230.0,9,7137.299999999999,285.49199999999996,0.728,91.4
38,38,2021/10/03,5中京9,晴,7,3歳以上1勝クラス,,16,2,3,4.2,1,1,菱田裕二,54,芝2200,良,-14,2:12.5,-0.2,93,7-7-9-9,35.1-36.3,35.8,458(+12),,,(サツキハピネス),760.0,1,5701.8,712.725,0.25,88.5
39,39,2021/03/14,1阪神10,晴,9,春日特別(2勝クラス),,7,7,7,19.3,6,4,小牧太,57,芝1800,良,-12,1:46.1,0.5,99,5-5,36.2-34.0,34.2,496(0),,,ファルコニア,230.0,2,5904.2,369.0125,0.5125,86.5
40,40,2021/05/02,2東京4,晴,9,陣馬特別(2勝クラス),,11,5,5,4.9,3.0,4,大野拓弥,54,芝2400,良,-15,2:25.3,0.4,97,9-8-7-8,35.3-35.0,34.9,448(+2),,出遅れ,コトブキテティス,230.0,3,5901.2,347.1294117647059,0.32941176470588235,87.88235294117646
