,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2017/12/02,4中京1,晴,10,寒椿賞(500万下),,9,8,9,1.1,1,2,北村友一,55,ダ1400,良,-4,1:24.5,0.2,98,1-1,34.9-37.2,37.4,484(+10),,,メイショウオーパス,406.0,1,22034.3,2203.43,-0.040000000000000015,101.1
1,1,2016/10/15,4東京4,晴,10,白秋S(1600万下),,18,6,12,21.3,8,13,内田博幸,55,芝1400,良,-6,1:21.5,0.8,99,2-2,34.4-34.8,35.4,498(+16),,,ヴェルステルキング,0.0,2,30292.6,1121.948148148148,0.4777777777777778,95.0
2,2,2018/08/12,2新潟6,晴,11,関屋記念(G3),,15,3,5,7.3,4,10,田辺裕信,56,芝1600,良,-9,1:33.1,1.5,93,5-4,34.2-34.4,35.5,484(+2),,,プリモシーン,0.0,3,17022.2,486.34857142857146,0.38,94.51428571428572
3,3,2018/05/06,3京都6,曇,11,鞍馬S(OP),,15,6,11,33.2,12,1,国分優作,58.0,芝1200,良,-13,1:08.0,0.0,107,13-11,34.4-33.6,32.7,464(+6),,,(ライトフェアリー),2334.3,5,23963.899999999998,520.9543478260869,0.4326086956521738,98.76086956521739
4,4,2018/05/13,2東京8,雨,11.0,ヴィクトリアマイル(G1),,18,1.0,1,11.7,6,6,岩田康誠,55.0,芝1600,稍,-11.0,1:32.7,0.4,110.0,6-6,35.2-34.0,33.9,496(-4),,,ジュールポレール,0.0,6,45608.8,1471.2516129032258,0.39032258064516134,102.51612903225806
5,5,2018/08/26,2札幌4,晴,11,キーンランドC(G3),,16,4,8,19.6,7,8,横山典弘,54.0,芝1200,稍,11,1:10.3,0.9,101,6-4,33.7-35.7,36.1,462(-8),,出遅れ,ナックビーナス,0.0,7,12342.7,822.8466666666667,0.36,98.0
6,6,2015/12/27,5阪神8,曇,9,千両賞(500万下),,10,7,7,3.4,1.0,4,秋山真一,55.0,芝1600,良,7,1:36.9,1.1,79,4-4,36.0-35.3,36.1,510(0),,,レインボーライン,150.0,8,17384.699999999997,1022.6294117647058,0.3294117647058824,98.47058823529412
7,7,2018/08/19,2小倉8,晴,11,TV西日本北九州記念(G3),,17,3,5,8.7,6,1,菱田裕二,56.0,芝1200,良,-11,1:06.6,-0.2,114,8-6,32.4-34.2,33.5,490(0),,,(ダイメイプリンセス),3960.2,9,18645.9,601.4806451612903,0.3032258064516129,95.87096774193549
8,8,2018/06/17,1函館2,曇,11,函館スプリントS(G3),,16,2,3,17.7,9,6,森一馬,57.0,芝1200,良,-17.0,1:07.9,0.3,105.0,6-5,33.1-34.5,34.2,438(-8),,,セイウンコウセイ,0.0,10,24854.0,487.3333333333333,0.5431372549019609,96.15686274509804
9,9,2018/07/01,3中京2,晴,11,CBC賞(G3),,18,8,16,4.5,2,15,三浦皇成,54,芝1200,良,-18,1:07.7,0.7,99,6-6,32.7-34.3,34.2,492(+2),,出遅れ,アレスバローズ,0.0,12,13240.4,509.24615384615385,0.6615384615384616,91.88461538461539
