,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
0,0,2021/12/31,高知,晴,5,高知けいばの風は特別,,12,4,4,3.5,2,3,永森大智,56,ダ1400,稍,20,1:35.2,0.4,33,6-6-6-4,0.0-42.3,40.9,468(+3),,,ムサシフウジン,10.0,1,1740.0,56.12903225806452,1.8483870967741935,54.645161290322584,39.812903225806444,0.3493670886075949
1,1,2021/12/31,高知,晴,6,C3ー7,,12,8,11,6.5,3,6,倉兼育康,54,ダ1400,稍,20,1:36.2,2.0,22,7-7-5-4,0.0-41.2,42.2,415(+8),,,シンコーマーチャン,0.0,2,822.5,32.9,1.344,40.44,39.191999999999986,0.5367647058823529
2,2,2021/12/31,高知,晴,5,高知けいばの風は特別,,12,5,5,40.6,8,2,林謙佑,56.0,ダ1400,稍,20,1:35.0,0.2,36,8-8-7-5,0.0-42.3,41.0,442(-2),,,ムサシフウジン,17.5,3,375.9,17.086363636363636,1.45,20.545454545454547,41.13636363636363,0.5868544600938967
3,3,2021/12/31,高知,晴,6,C3ー7,,12,3,3,451.3,11.0,9.0,石本純也,56,ダ1400,稍,20.0,1:37.1,2.9,12.0,8-8-9-9,0.0-41.2,42.4,479(-2),,,シンコーマーチャン,0.0,4.0,537.7,3.9248175182481755,1.3737226277372256,30.956204379562045,40.27226277372263,0.5481540930979133
4,4,2021/12/31,高知,晴,6,C3ー7,,12,5,6,601.7,12,11,大澤誠志,56,ダ1400,稍,20,1:39.1,4.9,-10,10-10-11-11,0.0-41.2,43.7,462(-3),,,シンコーマーチャン,0.0,5,205.3,4.774418604651163,1.793023255813954,22.976744186046513,40.537209302325586,0.5067264573991032
5,5,2021/12/31,高知,晴,6,C3ー7,,12,6,8,116.7,8,12,井上瑛太,56,ダ1400,稍,20,1:42.4,8.2,-47,12-12-12-12,0.0-41.2,45.6,463(-6),,,シンコーマーチャン,0.0,6,508.5,17.53448275862069,1.76551724137931,20.517241379310345,40.57586206896552,0.5177304964539007
6,6,2021/11/21,高知,曇,10,トパーズ特別,,9,3,3,6.4,3,8,赤岡修次,56,ダ1400,稍,3.0,1:32.5,1.3,46.0,3-4-4-6,0.0-40.1,41.0,480(+3),,,ブラックランナー,0.0,1,7283.8,127.7859649122807,0.4649122807017544,66.59649122807018,39.087719298245595,0.6897746967071057
7,7,2021/11/21,高知,曇,10,トパーズ特別,,9,4,4,52.8,7,7,妹尾浩一,56,ダ1400,稍,3.0,1:32.5,1.3,46.0,5-6-7-7,0.0-40.1,40.8,468(-4),,,ブラックランナー,0.0,2,3830.7,79.80624999999999,0.8458333333333333,60.75,39.624999999999986,0.716566866267465
8,8,2021/11/21,高知,曇,6,鳥取和牛特別,,9,1,1,3.8,3,7,赤岡修次,56,ダ1400,稍,3.0,1:33.9,1.8,31.0,5-5-5-4,0.0-40.6,42.0,514(+14),,,コスモリミックス,0.0,3,1585.4,38.66829268292683,0.673170731707317,56.170731707317074,39.697560975609754,0.6992840095465394
9,9,2021/11/21,高知,曇,10,トパーズ特別,,9,8,8,97.7,9.0,9,西川敏弘,56,ダ1400,稍,3.0,1:32.5,1.3,46.0,9-8-6-8,0.0-40.1,40.8,500(0),,,ブラックランナー,0.0,4,3374.6000000000004,50.367164179104485,1.465671641791045,59.417910447761194,40.09402985074627,0.5467289719626168
