,index,開催所,平均上り
0,0,札幌芝1000,35.642857142857146
1,1,札幌芝1200,35.56360000000001
2,2,札幌芝1500,35.9676
3,3,札幌芝1800,36.43639999999999
4,4,札幌芝2000,36.5324
5,5,札幌芝2600,36.73176470588235
6,6,札幌ダ1000,35.991200000000006
7,7,札幌ダ1700,38.9028
8,8,札幌ダ2400,39.17764705882353
9,9,函館芝1000,36.43421052631579
10,10,函館芝1200,35.590399999999995
11,11,函館芝1700,39.05
12,12,函館芝1800,36.144
13,13,函館芝2000,36.28639999999999
14,14,函館芝2600,36.87314285714287
15,15,函館ダ1000,36.4616
16,16,函館ダ1700,39.0712
17,17,函館ダ2400,39.466666666666676
18,18,福島芝1000,35.582800000000006
19,19,福島芝1200,35.758
20,20,福島芝1700,37.242
21,21,福島芝1800,36.296800000000005
22,22,福島芝2000,36.423199999999994
23,23,福島芝2600,36.75421052631579
24,24,福島ダ1000,37.038
25,25,福島ダ1150,37.586800000000004
26,26,福島ダ1700,38.776
27,27,新潟芝1000,33.574400000000004
28,28,新潟芝1200,35.29
29,29,新潟芝1400,36.081199999999995
30,30,新潟芝1600,34.540800000000004
31,31,新潟芝1800,34.977599999999995
32,32,新潟芝2000,36.029199999999996
33,33,新潟芝2200,35.9468
34,34,新潟芝2400,36.25361702127659
35,35,新潟ダ1000,37.2252
36,36,新潟ダ1200,37.7392
37,37,新潟ダ1700,39.3412
38,38,新潟ダ1800,39.2112
39,39,新潟ダ2500,37.86
40,40,東京芝1400,34.7136
41,41,東京芝1600,34.662
42,42,東京芝1800,34.693599999999996
43,43,東京芝2000,34.7804
44,44,東京芝2300,35.511250000000004
45,45,東京芝2400,35.278
46,46,東京芝2500,36.21666666666666
47,47,東京ダ1200,37.808
48,48,東京ダ1300,37.048399999999994
49,49,東京ダ1400,37.406
50,50,東京ダ1600,37.584
51,51,東京ダ1700,40.25157894736842
52,52,東京ダ2100,38.0816
53,53,中山芝1200,35.3296
54,54,中山芝1400,37.08
55,55,中山芝1600,35.731199999999994
56,56,中山芝1800,35.830400000000004
57,57,中山芝2000,36.107200000000006
58,58,中山芝2200,36.1064
59,59,中山芝2500,36.980000000000004
60,60,中山ダ1000,37.51714285714286
61,61,中山ダ1200,38.042399999999994
62,62,中山ダ1800,39.349199999999996
63,63,中京芝1000,35.22666666666667
64,64,中京芝1200,35.245200000000004
65,65,中京芝1400,35.5396
66,66,中京芝1600,35.259600000000006
67,67,中京芝1700,36.91647058823529
68,68,中京芝1800,36.028
69,69,中京芝2000,35.73160000000001
70,70,中京芝2200,35.885600000000004
71,71,中京芝2500,36.14142857142857
72,72,中京ダ1000,36.8816
73,73,中京ダ1200,37.44839999999999
74,74,中京ダ1400,38.3188
75,75,中京ダ1600,39.3732
76,76,中京ダ1700,38.802800000000005
77,77,中京ダ1800,39.008
78,78,中京ダ1900,39.02439999999999
79,79,中京ダ2300,39.660000000000004
80,80,京都芝1200,34.7928
81,81,京都芝1600,35.879599999999996
82,82,京都芝1800,35.52960000000001
83,83,京都芝2000,35.969199999999994
84,84,京都芝2200,35.59640000000001
85,85,京都芝2400,36.94619047619048
86,86,京都ダ1200,37.48
87,87,京都ダ1400,38.176
88,88,京都ダ1700,52.475
89,89,京都ダ1800,38.5824
90,90,京都ダ1900,38.70666666666667
91,91,阪神芝1200,34.9724
92,92,阪神芝1400,35.5328
93,93,阪神芝1600,34.664
94,94,阪神芝1800,35.056
95,95,阪神芝2000,35.602
96,96,阪神芝2200,35.9968
97,97,阪神芝2400,35.56666666666667
98,98,阪神芝2500,36.54333333333333
99,99,阪神芝2600,36.195
100,100,阪神ダ1200,37.584
101,101,阪神ダ1400,38.228
102,102,阪神ダ1700,52.01142857142857
103,103,阪神ダ1800,38.763600000000004
104,104,阪神ダ2000,38.8556
105,105,小倉芝1000,35.14560000000001
106,106,小倉芝1200,35.0516
107,107,小倉芝1700,36.834375
108,108,小倉芝1800,35.823600000000006
109,109,小倉芝2000,36.2008
110,110,小倉芝2600,36.169999999999995
111,111,小倉ダ1000,36.150800000000004
112,112,小倉ダ1700,38.543200000000006
