index,開催所,平均タイム,平均上り
0,札幌芝1000良,59.5122529644269,35.238
1,札幌芝1000稍重,60.2552941176471,35.8247058823529
2,札幌芝1000重,60.4142857142857,36.01
3,札幌芝1200良,70.2979969183359,35.1152
4,札幌芝1200稍重,71.8083211678832,35.8912
5,札幌芝1200重,73.0566176470588,36.962
6,札幌芝1500良,90.7507389162562,35.4396
7,札幌芝1500稍重,92.2332506203474,36.4418181818182
8,札幌芝1500重,93.0794871794872,36.9833333333333
9,札幌芝1800良,110.695533980583,35.6952
10,札幌芝1800稍重,113.132525951557,36.762
11,札幌芝1800重,113.32380952381,37.298
12,札幌芝2000良,123.060741885626,36.1472
13,札幌芝2000稍重,125.503091190108,37.1232653061224
14,札幌芝2000重,126.261682242991,37.355
15,札幌芝2600良,163.730979133226,36.2192
16,札幌芝2600稍重,166.822727272727,37.03
17,札幌芝2600重,167.761538461538,36.96
18,札幌ダ1000良,60.3921328671329,35.9124
19,札幌ダ1000稍重,60.3355752212389,35.9932
20,札幌ダ1000重,60.2701388888889,35.9724
21,札幌ダ1000不良,60.6083511777302,36.1432558139535
22,札幌ダ1700良,108.727945619335,38.704
23,札幌ダ1700稍重,107.98112324493,38.3356
24,札幌ダ1700重,106.943642072214,37.8024
25,札幌ダ1700不良,107.07688751926,38.0144
26,札幌ダ2400良,157.307009345794,38.9517948717949
27,札幌ダ2400稍重,157.573076923077,39.0288888888889
28,札幌ダ2400重,155.691428571429,39.2733333333333
29,札幌ダ2400不良,155.2375,38.87
30,函館芝1000良,59.5991967871486,35.19
31,函館芝1000稍重,60.495256916996,36.0285714285714
32,函館芝1000重,61.5580152671756,36.62875
33,函館芝1000不良,62.1701086956522,37.3509090909091
34,函館芝1200良,70.3402225755167,35.2384
35,函館芝1200稍重,71.0388625592417,35.6868
36,函館芝1200重,73.7416955017301,37.516
37,函館芝1200不良,75.2111398963731,38.7047368421053
38,函館芝1700良,107.614285714286,37.9
39,函館芝1700稍重,108.78125,39.38
40,函館芝1700重,111.269230769231,39.97
41,函館芝1700不良,110.746666666667,39.83
42,函館芝1800良,110.346271186441,35.9168
43,函館芝1800稍重,112.673466003317,36.9908
44,函館芝1800重,114.554135338346,38.5772972972973
45,函館芝1800不良,115.681845238095,39.5229411764706
46,函館芝2000良,122.645757071547,35.9472
47,函館芝2000稍重,125.738858195212,37.6276
48,函館芝2000重,128.570326409496,38.8331034482759
49,函館芝2000不良,129.189671361502,39.4913043478261
50,函館芝2500稍重,159.71,38.48
51,函館芝2500不良,166,40.3
52,函館芝2600良,163.369256198347,36.1764
53,函館芝2600稍重,166.715950920245,37.0184615384615
54,函館芝2600重,169.185294117647,37.804
55,函館芝2600不良,174.34347826087,39.2
56,函館ダ1000良,60.5284697508897,36.3544
57,函館ダ1000稍重,60.4169611307421,36.146
58,函館ダ1000重,60.1742957746479,35.9748
59,函館ダ1000不良,60.5837429111531,36.4328
60,函館ダ1700良,108.340369799692,38.826
61,函館ダ1700稍重,108.09229480737,38.7968
62,函館ダ1700重,106.905324459235,38.0312
63,函館ダ1700不良,107.01462184874,38.0772
64,函館ダ2400良,158.122685185185,39.2663636363636
65,函館ダ2400稍重,156.842666666667,38.4285714285714
66,函館ダ2400重,156.640625,39.3733333333333
67,函館ダ2400不良,155.733333333333,38.38
68,福島芝1000良,59.5399665551839,35.3972
69,福島芝1000稍重,60.0171830985916,35.7625806451613
70,福島芝1000重,60.9785714285714,36.41
71,福島芝1000不良,61.6254545454546,37.1633333333333
72,福島芝1200良,71.0580990629183,35.3804
73,福島芝1200稍重,71.9723374827109,36.0536
74,福島芝1200重,72.1330677290837,36.2904
75,福島芝1200不良,73.6115732368897,37.4527777777778
76,福島芝1700良,103.605304212168,35.8792
77,福島芝1700稍重,106.271317829457,37.474375
78,福島芝1700重,106.278787878788,37.052
79,福島芝1700不良,106.940579710145,38.428
80,福島芝1800良,111.02853223594,35.8744
81,福島芝1800稍重,111.66335978836,36.5176
82,福島芝1800重,113.097312588402,37.4596
83,福島芝1800不良,114.844665012407,38.7228571428572
84,福島芝2000良,122.907872928177,35.9596
85,福島芝2000稍重,124.433090379009,36.6724
86,福島芝2000重,126.090728476821,37.7309677419355
87,福島芝2000不良,127.662670299728,38.7753846153846
88,福島芝2600良,162.91341991342,36.2648
89,福島芝2600稍重,164.918531468531,36.842
90,福島芝2600重,166.39224137931,37.3666666666667
91,福島芝2600不良,165.595833333333,38.23
92,福島ダ1000良,61.5387858347386,36.914
93,福島ダ1000稍重,61.4566552901024,36.9592
94,福島ダ1000重,61.3694736842105,36.9256
95,福島ダ1000不良,61.8677029360967,37.2228
96,福島ダ1150良,70.5984210526316,37.4352
97,福島ダ1150稍重,70.8412677878396,37.4544
98,福島ダ1150重,69.8426735218509,36.9812
99,福島ダ1150不良,69.5987767584098,36.9971428571429
100,福島ダ1700良,108.964106145251,38.674
101,福島ダ1700稍重,108.894174757282,38.6028
102,福島ダ1700重,108.091471801926,38.2808
103,福島ダ1700不良,107.85,38.2524
104,福島ダ2400良,157.669696969697,38.8567741935484
105,福島ダ2400稍重,157.553658536585,39.1266666666667
106,福島ダ2400重,154.738805970149,39.356
107,福島ダ2400不良,154.820512820513,37.9
108,新潟芝1000良,56.6292857142857,33.206
109,新潟芝1000稍重,57.4285536159601,33.7444
110,新潟芝1000重,58.2116788321168,34.4433333333333
111,新潟芝1000不良,59.1380952380952,35.4177777777778
112,新潟芝1200良,70.7824257425743,35.0544
113,新潟芝1200稍重,70.9480697384807,35.4132
114,新潟芝1200重,72.256231884058,37.2364
115,新潟芝1200不良,73.0985074626866,36.9125
116,新潟芝1400良,83.7451843043995,35.7256
117,新潟芝1400稍重,84.013730255164,35.9184
118,新潟芝1400重,85.1372641509434,38.5035555555555
119,新潟芝1400不良,85.938961038961,37.4218181818182
120,新潟芝1600良,96.4814863102999,34.3856
121,新潟芝1600稍重,96.9719948849105,34.4496
122,新潟芝1600重,97.8732044198895,38.0236
123,新潟芝1600不良,98.7068571428572,40.7753846153846
124,新潟芝1800良,109.365198863636,34.5424
125,新潟芝1800稍重,110.096633941094,34.7936
126,新潟芝1800重,110.601071428571,36.1180487804878
127,新潟芝1800不良,112.606557377049,36.6275
128,新潟芝2000良,122.811549707602,35.4408
129,新潟芝2000稍重,123.334850640114,35.5124
130,新潟芝2000重,124.71652613828,38.1835555555555
131,新潟芝2000不良,126.481456953642,40.6276923076923
