,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/06/20,3阪神2,晴,10,垂水S(3勝クラス),,18,3,6,3.9,1,1,横山典弘,54,芝1800,良,-7,1:46.6,0.0,97,16-16,35.0-36.0,35.0,510(+6),,出遅れ,(サターン),1862.7,1,19289.500000000007,964.4750000000004,0.23499999999999996,93.0
1,1,2021/10/17,4阪神4,晴,11,秋華賞(G1),,16,1,2,38.1,9,6,武豊,55,芝2000,良,12,2:01.7,0.5,103,11-12-12-12,36.6-36.5,35.7,490(+8),,,アカイトリノムスメ,0.0,2,7553.2,839.2444444444444,0.25555555555555554,94.44444444444444
2,2,2021/07/18,3小倉6,曇,11,トヨタ賞中京記念(G3),,12,8,11,7.8,5,3,横山典弘,52,芝1800,良,-7,1:46.3,0.1,103,10-10-10-10,35.9-34.7,33.5,452(+2),,,アンドラステ,986.3,3,10525.2,809.6307692307693,0.2076923076923077,97.23076923076923
3,3,2021/06/20,3阪神2,曇,11,マーメイドS(G3),,16,4,8,5.3,1,8,横山和生,54,芝2000,良,-7,2:01.2,0.8,91,4-3-2-2,36.1-35.3,35.9,480(+10),,,シャムロックヒル,0.0,4,11242.8,661.3411764705882,0.3176470588235295,91.05882352941177
4,4,2021/10/17,4阪神4,晴,10,西宮S(3勝クラス),,15,1,1,6.7,3,2,岩田康誠,55,芝1800,良,-3,1:46.4,0.3,107,7-7,36.6-34.2,33.7,460(+4),,,ジェラルディーナ,739.4,5,8100.3,506.26875,0.21875,95.1875
5,5,2021/06/27,3阪神4,晴,11.0,宝塚記念(G1),,13,2.0,2,3.5,2,3,川田将雅,56.0,芝2200,良,-12.0,2:11.4,0.5,107.0,2-2-2-2,35.1-34.7,35.0,432(+10),,,クロノジェネシス,3840.2,6,27491.9,3054.6555555555556,-0.06666666666666668,103.22222222222223
6,6,2021/10/17,4阪神4,晴,11,秋華賞(G1),,16,6,12,8.9,4,1,戸崎圭太,55,芝2000,良,12,2:01.2,-0.1,107,6-5-5-4,36.6-36.5,35.9,448(-2),,,(ファインルージュ),10336.0,7,22268.0,2783.5,0.1875,96.0
7,7,2021/05/16,2東京8,曇,11,ヴィクトリアマイル(G1),,18,3,5,13.7,4,8,川田将雅,55.0,芝1600,良,-19,1:31.9,0.9,112,11-12,34.3-33.4,33.2,478(+2),,,グランアレグリア,0.0,8,11236.0,1123.6,0.35,100.0
8,8,2021/09/26,4中山7,曇,11,産経賞オールカマー(G2),,16,3,6,7.1,4,7,戸崎圭太,54,芝2200,良,-13,2:12.5,0.6,100,7-7-8-8,36.1-35.3,35.4,474(+8),,,ウインマリリン,0.0,9,19695.7,1094.2055555555555,0.2722222222222222,98.38888888888889
9,9,2021/08/22,2札幌4,曇,11,札幌記念(G2),,13,7,11,14.5,5,9,丹内祐次,55,芝2000,良,-6,2:00.6,1.1,104,3-4-4-3,34.9-35.4,36.2,486(+18),,,ソダシ,0.0,10,17049.1,897.3210526315788,0.30526315789473685,93.10526315789474
10,10,2021/08/01,1函館10,雨,11,クイーンS(G3),,12,7,9,5.0,3.0,1,ルメール,55,芝1800,良,0,1:47.8,-0.1,104,10-10-9-11,35.8-36.0,35.2,426(0),,,(マジックキャッスル),3644.1,11,13025.699999999999,1447.3,0.17777777777777776,99.66666666666667
