,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/07/04,3小倉2,曇,11.0,CBC賞(G3),,13,7.0,11,4.4,2,2,福永祐一,53,芝1200,良,-28.0,1:06.1,0.1,104.0,7-6,32.3-33.7,33.3,528(-4),,,ファストフォース,1613.0,1,22764.2,2845.525,0.2,100.875
1,1,2021/05/16,2東京8,曇,11.0,ヴィクトリアマイル(G1),,18,8.0,18,7.1,2,6,武豊,55.0,芝1600,良,-19.0,1:31.9,0.9,110.0,3-2,34.3-33.4,34.1,504(-2),,,グランアレグリア,0.0,2,41598.899999999994,3466.5749999999994,0.09166666666666669,105.0
2,2,2021/01/31,1中京10,晴,11.0,シルクロードS(G3),,18,7.0,13,6.6,4,1,福永祐一,56,芝1200,良,-4.0,1:08.3,-0.2,105.0,10-9,33.7-34.6,33.6,498(0),,出遅れ,(ライトオンキュー),3964.4,3,23377.4,935.096,0.192,101.6
3,3,2021/04/11,2阪神6,晴,11.0,桜花賞(G1),,18,4.0,8,6.4,3,18,横山典弘,55,芝1600,良,-20.0,1:34.0,2.9,83.0,3-1,34.1-34.3,37.2,458(-4),,出遅れ,ソダシ,0.0,4,13464.5,1683.0625,0.3749999999999999,93.25
4,4,2021/01/31,1中京10,晴,11.0,シルクロードS(G3),,18,7.0,15,4.1,1,17,北村友一,56.5,芝1200,良,-4.0,1:09.7,1.4,84.0,1-1,33.7-34.6,36.0,500(+5),,,シヴァージ,0.0,5,38689.899999999994,1432.959259259259,0.3592592592592593,97.55555555555556
5,5,2020/10/04,4中山9,曇,11.0,スプリンターズS(G1),,16,2.0,3,5.1,3.0,2,川田将雅,57.0,芝1200,良,-4.0,1:08.6,0.3,102.0,4-4,32.8-35.5,35.0,472(+2),,出遅れ,グランアレグリア,5297.2,6,58435.29999999999,2656.1499999999996,0.15,102.63636363636364
6,6,2021/03/06,2中山3,晴,11.0,夕刊フジオーシャンS(G3),,16,2.0,4,15.0,6,3,藤岡佑介,56.0,芝1200,稍,-3.0,1:08.6,0.2,103.0,1-1,33.7-34.7,34.9,548(-12),,,コントラチェック,1008.2,7,14857.699999999999,1238.1416666666667,0.46666666666666673,93.91666666666667
7,7,2021/05/09,3中京2,晴,11.0,鞍馬S(OP),,15,6.0,10,4.3,2,1,岩田康誠,56.0,芝1200,良,-13.0,1:07.1,-0.1,113.0,6-6,32.8-34.3,33.3,490(-6),,,(ナランフレグ),2332.9,8,17114.2,684.568,0.752,99.76
8,8,2021/05/15,2東京7,晴,11.0,京王杯スプリングC(G2),,17,6.0,11,9.1,5,4,和田竜二,56,芝1400,良,-21.0,1:20.0,0.2,106.0,7-5,34.3-34.3,33.3,474(-6),,,ラウダシオン,890.0,9,14960.599999999999,575.4076923076923,0.45000000000000007,98.03846153846153
9,9,2021/01/31,1中京10,晴,11.0,シルクロードS(G3),,18,3.0,5,39.7,11,9,吉田豊,57,芝1200,良,-4.0,1:09.0,0.7,95.0,16-17,33.7-34.6,33.8,512(+2),,,シヴァージ,0.0,10,17295.300000000003,524.1000000000001,0.3121212121212122,98.3030303030303
10,10,2021/08/22,4小倉4,雨,11.0,TV西日本北九州記念(G3),,18,4.0,7,4.3,1,7,福永祐一,57.5,芝1200,稍,5.0,1:08.6,0.4,101.0,12-13,33.2-35.0,34.1,510(+8),,出遅れ,ヨカヨカ,0.0,11,19862.7,827.6125000000001,0.5458333333333334,101.375
11,11,2021/05/15,2東京7,晴,11.0,京王杯スプリングC(G2),,17,7.0,14,4.3,2,12,ルメール,56,芝1400,良,-21.0,1:20.5,0.7,101.0,12-12,34.3-34.3,33.3,486(-4),,出遅れ,ラウダシオン,0.0,12,15831.0,1217.7692307692307,0.3692307692307692,99.76923076923077
12,12,2021/08/15,2札幌2,曇,11.0,UHB賞(OP),,16,5.0,9,8.8,5,13,横山和生,55,芝1200,良,-13.0,1:09.4,0.6,90.0,16-12,34.2-34.6,33.6,460(+8),,出遅れ,アヌラーダプラ,0.0,13,13764.700000000003,598.4652173913045,0.3782608695652174,94.52173913043478
13,13,2021/07/04,3小倉2,曇,11.0,CBC賞(G3),,13,7.0,10,14.9,6,3,松山弘平,55.5,芝1200,良,-28.0,1:06.2,0.2,103.0,8-8,32.3-33.7,33.2,490(+10),,,ファストフォース,986.5,14,17200.2,860.01,0.525,95.9
14,14,2020/10/25,4京都6,晴,10.0,桂川S(3勝クラス),,17,8.0,16,3.8,1,8,松山弘平,55,芝1200,良,4.0,1:10.7,1.0,78.0,4-5,34.5-35.2,35.8,536(+4),,,コンパウンダー,0.0,15,8625.8,507.4,0.8235294117647058,79.94117647058823
15,15,2021/06/26,1札幌5,晴,11.0,TVh賞(OP),,14,8.0,13,20.4,9,1,団野大成,56,芝1200,良,-23.0,1:07.8,0.0,103.0,2-1,33.5-34.3,34.2,472(+2),,,(ルッジェーロ),2330.1,16,9327.900000000001,423.9954545454546,0.4636363636363635,91.86363636363636
16,16,2018/10/06,4東京1,晴,11,サウジアラビアRC(G3),,8,4,4,1.3,1,1,ルメール,54,芝1600,良,-10,1:34.0,-0.6,104,2-2,36.8-34.1,34.0,476(+18),,出遅れ,(ドゴール),3329.4,1,58664.5,6518.277777777777,-0.23333333333333334,108.44444444444444
17,17,2019/09/29,4中山9,曇,11.0,スプリンターズS(G1),,16,1.0,2,2.8,1.0,3,川田将雅,57.0,芝1200,良,-17.0,1:07.2,0.1,109.0,7-8,32.8-34.3,33.7,470(-8),,,タワーオブロンドン,2849.2,2,45053.09999999999,2252.6549999999997,0.13000000000000003,102.1
18,18,2019/05/25,3京都11,晴,11,葵S(G),,16,4,7,4.9,2,3,川田将雅,55.0,芝1200,良,-12,1:08.2,0.2,98,6-6,34.0-34.0,33.7,456(-2),,,ディアンドル,958.1,3,16213.7,1158.1214285714286,0.37142857142857144,94.78571428571429
19,19,2020/06/07,3東京2,晴,11,安田記念(G1),,14,6,10,181.9,12,11,北村友一,58,芝1600,稍,-15,1:33.2,1.6,99,2-2,34.2-34.3,35.7,504(+5),,,グランアレグリア,0.0,4,27251.7,1703.23125,0.26249999999999996,101.375
20,20,2019/05/05,2東京6,晴,11,NHKマイルC(G1),,18,1,1,87.0,13,14,藤岡佑介,57.0,芝1600,良,-13,1:33.5,1.1,98,2-2,33.9-34.6,35.5,488(0),,4角不利,アドマイヤマーズ,0.0,5,10054.9,591.464705882353,0.7352941176470589,98.70588235294117
21,21,2019/02/17,2京都8,曇,10,斑鳩S(1600万下),,7,3,3,1.8,1,3,池添謙一,57.0,芝1400,良,7,1:22.5,0.3,103,5-5,36.4-34.1,34.0,474(+6),,,ダイアトニック,462.7,6,22067.5,1103.375,0.48500000000000004,97.0
22,22,2020/03/14,2中山5,雪,11,中山牝馬S(G3),,16,2,4,21.6,8,14,大野拓弥,52,芝1800,不,26,1:51.6,1.4,96,6-6-8-11,37.0-37.8,38.3,462(-6),,,フェアリーポルカ,0.0,7,11773.300000000001,392.4433333333334,0.5333333333333333,91.6
23,23,2020/05/24,1新潟6,晴,11,韋駄天S(OP),,16,6,12,13.7,6,3,秋山真一,56.0,芝1000,良,-2,0:54.3,0.1,113,10,32.2-32.3,31.7,498(-6),,,ライオンボス,585.5,8,20849.0,548.6578947368421,0.6210526315789474,92.05263157894737
24,24,2019/11/24,5京都8,曇,12,京阪杯(G3),,18,3,6,5.5,2.0,1,古川吉洋,56.0,芝1200,良,2,1:08.8,-0.3,103,9-8,34.2-34.6,33.7,508(-6),,出遅れ,(アイラブテーラー),3963.7,9,14550.5,855.9117647058823,0.5,93.23529411764706
25,25,2019/03/02,2中山3,晴,11,夕刊フジオーシャンS(G3),,16,7,14,3.1,1,1,ルメール,54.0,芝1200,良,-12,1:07.1,-0.2,116,1-1,32.3-34.8,34.8,486(-2),,,(ナックビーナス),4156.7,10,34500.700000000004,1568.2136363636366,0.29999999999999993,97.31818181818181
26,26,2019/10/20,4京都7,晴,10,桂川S(3勝クラス),,18,7,15,11.7,6,2,池添謙一,52,芝1200,良,3,1:09.1,0.0,100,6-7,34.4-34.7,34.1,450(+4),,,アイラブテーラー,741.2,11,12148.500000000002,714.6176470588236,0.27647058823529413,93.94117647058823
27,27,2019/09/08,4阪神2,晴,11,産経賞セントウルS(G2),,13,3,3,238.8,12,5,小崎綾也,56,芝1200,良,-22,1:07.6,0.9,100,7-7,33.0-33.7,34.1,480(-14),,,タワーオブロンドン,590.0,12,19611.8,426.3434782608696,0.5826086956521739,95.5
28,28,2020/03/29,1中京8,晴,11,高松宮記念(G1),,18,2,3,9.2,4,3,北村友一,57.0,芝1200,重,10,1:08.7,0.0,113,4-4,34.2-34.5,33.7,472(+2),,直線不利,モズスーパーフレア,3356.4,13,25588.2,1421.5666666666666,0.2666666666666667,103.5
29,29,2019/05/11,2東京7,晴,11,京王杯スプリングC(G2),,15,8,15,152.2,14,10,松岡正海,56,芝1400,良,-20,1:19.8,0.4,106,2-2,34.2-33.9,34.1,508(-6),,,タワーオブロンドン,0.0,14,21074.800000000003,526.8700000000001,0.53,96.6
30,30,2020/07/26,2新潟2,曇,11,アイビスサマーD(G3),,18,1,2,25.1,10,10,藤田菜七,56,芝1000,良,-5,0:55.0,0.5,97,2,32.1-32.8,33.1,442(0),,,ジョーカナチャン,0.0,15,17712.4,536.739393939394,1.0151515151515151,89.06060606060606
31,31,2019/11/02,5東京1,晴,11,京王杯2歳S(G2),,10,7,8,5.4,3,2,藤岡佑介,55.0,芝1400,良,-18,1:21.1,0.3,94,1-1,34.9-34.1,34.4,534(+24),,,タイセイビジョン,1510.8,16,9893.5,1099.2777777777778,0.5111111111111112,90.88888888888889
32,32,2019/02/03,1東京4,晴,11.0,東京新聞杯(G3),,15,3.0,5,3.6,2,5,ルメール,57,芝1600,良,-10.0,1:32.3,0.4,111.0,5-5,34.5-34.7,34.2,526(+10),,,インディチャンプ,390.0,1,39747.0,2839.0714285714284,0.021428571428571425,99.28571428571429
33,33,2017/12/16,4中京5,曇,10.0,つわぶき賞(500万下),,16,5.0,10,5.6,2,8,松若風馬,54.0,芝1400,良,-5.0,1:23.4,0.6,75.0,6-7,35.7-34.4,34.5,472(0),,,アンコールプリュ,0.0,2,18897.699999999997,1111.6294117647058,0.2529411764705882,96.11764705882354
34,34,2017/09/02,2新潟11,晴,5.0,2歳新馬,,18,3.0,6,1.7,1.0,2,戸崎圭太,54.0,芝1400,良,-3.0,1:23.0,0.0,75.0,2-1,34.8-36.5,36.4,466(0),,,ランスマン,280.0,3,23581.5,1684.392857142857,0.07857142857142858,99.57142857142857
35,35,2018/05/06,2東京6,晴,11.0,NHKマイルC(G1),,18,8.0,16,14.7,7,4,福永祐一,57,芝1600,良,-18.0,1:33.0,0.2,98.0,2-2,34.4-34.8,34.9,486(+4),,,ケイアイノーテック,1600.0,4,23734.3,1977.8583333333333,0.07500000000000001,101.25
