,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/12/23,名古屋,晴,11,名古屋グランプリ(G2),,11,7,8,3.0,2,2,松山弘平,56,ダ2500,稍,6,2:45.9,0.5,93,3-3-2-1,0.0-39.8,40.2,510(+10),,,ヴェルテックス,1024.0,1,13476.099999999999,709.2684210526315,0.5000000000000001,95.78947368421052
1,1,2022/01/16,1小倉2,曇,11,門司S(OP),,15,6,11,51.1,10,5,浜中俊,57,ダ1700,良,6,1:45.9,0.9,97,9-8-10-9,29.7-37.0,36.9,492(-4),,出遅れ,エクレアスパークル,220.0,2,7210.6,379.5052631578948,0.7736842105263156,90.57894736842105
2,2,2021/11/23,浦和,晴,10,浦和記念(G2),,10,1,1,2.0,1,1,川田将雅,56,ダ2000,重,-12,2:07.3,-0.4,97,1-1-1-1,38.4-37.3,37.3,469(-8),,,(タービランス),3500.0,3,15093.9,754.6949999999999,1.15,85.2
3,3,2022/01/15,佐賀,曇,6,雷山賞(OP),,11,8,11,1.9,1,8,兒島真二,56.0,ダ2000,良,9,2:14.0,1.3,58,4-4-5-8,0.0-39.6,40.3,582(+15),,,パイロキネシスト,0.0,4,17197.1,452.5552631578947,0.7131578947368419,84.05263157894737
4,4,2021/12/23,名古屋,晴,11,名古屋グランプリ(G2),,11,5,5,6.7,3,8,岩田望来,56,ダ2500,稍,6,2:48.3,2.9,79,2-2-2-4,0.0-39.8,42.6,509(+5),,,ヴェルテックス,0.0,5,8259.9,485.8764705882353,1.5705882352941174,86.58823529411765
5,5,2021/09/05,4新潟8,晴,11,新潟記念(G3),,17,4,8,33.8,10,17,岩田望来,57.5,芝2000,良,5,2:01.2,2.8,91,3-5,35.3-34.4,36.9,512(0),,,マイネルファンロン,0.0,6,20739.300000000003,942.6954545454547,0.8772727272727274,99.0
6,6,2022/01/15,佐賀,曇,6,雷山賞(OP),,11,7,8,38.9,7,9,魚住謙心,55,ダ2000,良,9,2:14.0,1.3,58,5-6-6-5,0.0-39.6,40.0,491(+2),,,パイロキネシスト,0.0,7,8505.8,236.2722222222222,0.9694444444444446,75.33333333333333
7,7,2022/01/31,名古屋,晴,10,サダルメリク特別,,10,2,2,119.5,10,9,浅野皓大,54,ダ1600,良,6,1:49.8,3.6,18,10-10-10,0.0-40.8,42.4,453(-1),,,ミトノオオイ,0.0,8,4199.1,127.24545454545455,2.1787878787878796,65.21212121212122
8,8,2021/12/22,園田,曇,7,兵庫ゴールドトロフィ(G3),,11,3,3,38.3,6,9,吉村智洋,55,ダ1400,稍,7,1:30.1,3.1,77,11-11-11-11,0.0-38.4,38.8,530(-18),,,テイエムサウスダン,0.0,9,8811.1,587.4066666666666,1.7133333333333332,88.6
9,9,2022/01/29,佐賀,曇,7,雲仙岳賞,,7,5,5,31.4,6.0,4,田中純,56,ダ1800,良,11.0,2:00.1,0.8,54.0,6-6-5-4,0.0-40.4,39.3,533(-2),,,マスターコード,12.0,10,1818.2,47.847368421052636,0.7105263157894738,60.81578947368421
10,10,2021/09/29,船橋,曇,11,日本テレビ盃(G2),,11,5,5,437.7,11,11,石崎駿,56,ダ1800,良,-4.0,2:01.2,7.7,36.0,11-11-11-11,36.1-40.0,42.9,470(-9),,,サルサディオーネ,0.0,11,5905.799999999999,68.67209302325581,2.0627906976744184,71.61627906976744
11,11,2021/11/14,佐賀,晴,6,JRA認定カペラ賞(G),,9,4,4,47.9,6,4,山口勲,54,ダ1800,稍,-5,2:02.1,1.6,20,5-5-6-6,0.0-38.6,39.9,500(+9),,,タケノサイコウ,45.0,1,352.2,39.13333333333333,0.8999999999999999,24.22222222222222
12,12,2021/10/31,佐賀,晴,8,JRA認定リゲル特別,,9,2,2,34.4,4.0,4,山下裕貴,54,ダ1750,良,4.0,1:57.7,1.1,35.0,6-6-5-5,0.0-40.3,40.1,449(-3),,,タケノサイコウ,20.0,2,606.6,50.550000000000004,0.7083333333333334,16.25
13,13,2021/11/14,佐賀,晴,6,JRA認定カペラ賞(G),,9,8,9,55.6,7.0,7.0,金山昇馬,54,ダ1800,稍,-5.0,2:03.1,2.6,12.0,3-2-2-4,0.0-38.6,41.0,452(0),,,タケノサイコウ,0.0,3.0,255.8,25.580000000000002,1.5100000000000002,17.7
14,14,2021/10/03,佐賀,晴,6,JRA認定九州ジュニ(G),,11,8,11,8.1,3,1,川島拓,54,ダ1400,良,1,1:30.8,-0.4,47,3-4-3-2,0.0-39.9,39.8,453(-3),,,(ユウワクスレスレ),300.0,4,733.4,81.48888888888888,0.21111111111111114,28.77777777777778
15,15,2021/10/17,佐賀,晴,10,ベテルギウス特別,,10,8,9,34.0,6,4,長田進仁,55,ダ1750,良,3,2:01.0,1.8,4,10-10-10-7,0.0-38.3,38.4,421(-5),,,タケノサイコウ,4.8,5,77.2,11.028571428571428,1.2714285714285716,19.714285714285715
16,16,2021/11/12,佐賀,曇,9,落葉賞,,10,7,7,18.1,5,2,鮫島克也,54,ダ1400,重,1,1:32.3,1.5,30,4-4-4-3,0.0-39.4,40.0,462(0),,,ホンニヨカ,12.0,6,155.2,14.109090909090908,1.0090909090909088,21.636363636363637
17,17,2021/10/31,佐賀,晴,5,おおいた和牛争奪杯,,10,7,7,102.9,9,7,川島拓,55,ダ1400,良,4,1:34.2,1.9,12,9-10-10-10,0.0-40.2,39.8,405(-2),,,ストロングブック,0.0,7,134.6,13.459999999999999,1.7399999999999998,10.3
18,18,2021/11/13,佐賀,曇,1,2歳ー5組,,12,4,4,8.6,3,5,竹吉徹,55,ダ900,稍,-5,0:57.3,0.8,-3,8-8,0.0-38.1,37.6,467(+4),,,ナムラモンジロー,2.4,8,54.800000000000004,9.133333333333335,1.0166666666666668,9.166666666666666
19,19,2021/10/31,佐賀,晴,5,おおいた和牛争奪杯,,10,4,4,130.1,10,10,小松丈二,55,ダ1400,良,4,1:35.9,3.6,-8,10-9-9-9,0.0-40.2,41.8,478(+14),,,ストロングブック,0.0,9,49.6,5.511111111111111,2.455555555555555,-1.0
20,20,2021/10/17,佐賀,晴,4,ホープフル賞,,7,7,7,2.5,2.0,1,兒島真二,54,ダ1300,良,3,1:25.5,-0.3,32,4-4-4-2,0.0-38.7,38.3,445(+5),,,(セキトバノゴトク),100.0,10,339.7,42.4625,1.7624999999999997,14.375
21,21,2021/08/08,佐賀,曇,1,2歳ー3組,,11,8,10,12.0,7.0,1.0,竹吉徹,54,ダ1300,不,-2.0,1:25.6,-0.1,26.0,1-1-1-1,0.0-39.1,39.1,441(-6),,,(ストロングウルフ),40.0,11.0,57.599999999999994,11.52,2.06,4.2
22,22,2021/10/17,佐賀,晴,4,ホープフル賞,,7,3,3,2.1,1.0,2,飛田愛斗,55,ダ1300,良,3,1:25.8,0.3,29,7-6-5-3,0.0-38.7,37.9,430(+6),,,サンヨースマイル,30.0,1,124.4,13.822222222222223,0.9777777777777776,22.333333333333332
23,23,2021/09/12,佐賀,曇,1,2歳ー3組,,8,4,4,79.5,7.0,6,山下裕貴,54,ダ1300,良,-5,1:27.6,3.3,-2,6-8-8-5,0.0-39.0,40.9,448(+9),,,ウルトライダー,0.0,2,52.0,4.7272727272727275,1.7090909090909092,2.3636363636363638
24,24,2021/09/18,佐賀,晴,2,2歳ー4組,,8,6,6,11.4,5.0,5,山口勲,54,ダ1300,不,-5,1:26.4,0.6,13,5-5-4-3,0.0-39.3,39.5,438(+10),,,ヨーソロー,2.4,3,40.8,5.1,1.25,10.875
