,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2020/04/05,2阪神4,晴,11.0,大阪杯(G1),,12,6.0,8,3.8,1,3,横山典弘,57,芝2000,良,-10.0,1:58.5,0.1,113.0,1-1-1-1,36.9-34.2,34.3,456(-2),,,ラッキーライラック,3437.2,1,48779.600000000006,4064.966666666667,0.24166666666666667,105.33333333333333
1,1,2020/11/22,5阪神6,曇,11.0,マイルチャンピオンS(G1),,17,2.0,4,1.6,1,1,ルメール,55,芝1600,良,-14.0,1:32.0,-0.1,116.0,5-5,34.9-33.5,33.2,502(-2),,,(インディチャンプ),13357.0,2,90188.9,6937.607692307692,-0.15384615384615385,110.23076923076923
2,2,2020/12/19,5中山5,曇,9.0,ひいらぎ賞(1勝クラス),,12,5.0,6,1.9,1,1,ルメール,55,芝1600,良,6.0,1:35.8,-0.5,93.0,5-6-4,35.6-35.9,35.4,474(+14),,,(ワザモノ),1035.2,3,18180.800000000003,3636.1600000000008,-0.059999999999999984,99.2
3,3,2020/12/26,6阪神7,晴,11.0,阪神C(G2),,16,6.0,12,1.5,1,3,福永祐一,57,芝1400,良,-8.0,1:20.1,0.4,114.0,11-11,34.0-34.3,34.0,482(+10),,,ダノンファンタジー,1716.4,4,59503.99999999999,2975.2,0.08000000000000003,107.4
4,4,2020/11/15,3福島6,晴,11.0,福島記念(G3),,16,1.0,2,9.7,4,8,木幡育也,56.0,芝2000,良,3.0,2:00.2,0.6,104.0,1-1-1-1,35.7-36.5,37.1,484(+4),,,バイオスパーク,0.0,5,15595.099999999999,556.967857142857,0.7642857142857143,91.46428571428571
5,5,2020/10/11,4東京2,曇,11.0,毎日王冠(G2),,11,8.0,10,25.0,6,4,三浦皇成,56,芝1800,稍,-4.0,1:46.1,0.6,112.0,8-7-7,34.5-35.4,34.2,476(0),,出脚鈍い,サリオス,1000.0,6,21043.100000000002,678.8096774193549,0.9161290322580645,97.80645161290323
6,6,2020/11/01,4東京8,曇,11.0,天皇賞(秋)(G1),,12,8.0,11,21.6,6,4,川田将雅,58,芝2000,良,-9.0,1:58.2,0.4,115.0,1-1-1,36.5-33.6,34.0,496(-10),,,アーモンドアイ,2300.0,7,41812.9,3216.376923076923,0.2846153846153846,106.07692307692308
7,7,2020/10/11,4東京2,曇,11.0,毎日王冠(G2),,11,7.0,9,1.3,1,1,ルメール,54,芝1800,稍,-4.0,1:45.5,-0.5,116.0,4-4-4,34.5-35.4,34.1,538(+10),,,(ダイワキャグニー),6777.0,8,34438.5,3826.5,0.15555555555555559,102.77777777777777
8,8,2021/03/14,2中京2,晴,11.0,金鯱賞(G2),,10,5.0,5,227.3,10,1,西村淳也,56.0,芝2000,重,18.0,2:01.8,0.0,109.0,1-1-1-1,37.1-36.8,36.8,508(+8),,,(デアリングタクト),6770.0,9,20739.300000000003,1036.9650000000001,0.555,100.45
9,9,2020/10/18,4新潟4,晴,11.0,信越S(L),,16,5.0,10,24.9,11,5,吉田隼人,56,芝1400,良,2.0,1:21.4,0.5,102.0,14-12,34.2-34.7,33.9,470(+2),,,ジャンダルム,250.0,10,21952.100000000002,1219.5611111111111,0.5888888888888888,97.22222222222223
