,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2020/06/28,3阪神8,曇,11.0,宝塚記念(G1),,18,8.0,16,4.1,2,1,北村友一,56,芝2200,稍,5.0,2:13.5,-1.0,108.0,7-8-7-1,34.6-36.3,36.3,464(+10),,,(キセキ),15378.0,1,102623.39999999998,7330.242857142855,-0.10000000000000002,105.28571428571429
1,1,2021/06/05,4中京1,曇,11.0,鳴尾記念(G3),,13,3.0,3,20.6,8,1,坂井瑠星,56,芝2000,良,-13.0,2:00.7,-0.6,96.0,1-1-1-1,38.0-34.1,34.1,528(-4),,,(ショウナンバルディ),4145.5,2,17809.0,937.3157894736842,0.8421052631578947,91.10526315789474
2,2,2020/07/26,2新潟2,曇,9.0,糸魚川特別(2勝クラス),,9,6.0,6,2.0,1,1,川田将雅,52.0,芝1800,良,-13.0,1:45.3,-0.3,102.0,3-3,35.8-33.4,33.2,430(-6),,,(カントル),1522.4,3,26491.9,3784.557142857143,-0.21428571428571427,102.57142857142857
3,3,2021/03/27,3中山1,晴,11.0,日経賞(G2),,15,4.0,7,2.3,1,2,松山弘平,54,芝2500,良,0.0,2:33.4,0.1,114.0,5-5-5-6,31.0-34.9,34.5,478(0),,,ウインマリリン,2731.6,4,45805.700000000004,2862.8562500000003,0.24375000000000002,100.4375
4,4,2020/11/01,4東京8,曇,11.0,天皇賞(秋)(G1),,12,6.0,8,16.7,4,5,武豊,58.0,芝2000,良,-9.0,1:58.6,0.8,113.0,3-3-2,36.5-33.6,34.1,508(+6),,,アーモンドアイ,1500.0,5,68426.29999999999,2631.780769230769,0.4692307692307691,106.53846153846153
5,5,2021/05/30,2東京12,晴,12.0,目黒記念(G2),,16,8.0,15,7.8,3,12,福永祐一,54,芝2500,良,-24.0,2:34.2,1.4,81.0,11-11-11-10,31.2-32.8,33.2,460(+4),,,ウインキートス,0.0,6,12420.300000000001,335.68378378378384,0.8945945945945944,84.13513513513513
6,6,2021/01/05,1中山1,曇,11.0,日刊スポ賞中山金杯(G3),,17,3.0,6,13.5,6,11,三浦皇成,58,芝2000,良,-1.0,2:01.8,0.9,99.0,17-17-17-13,37.0-35.0,34.6,480(+2),,S不利,ヒシイグアス,0.0,7,21043.100000000002,657.5968750000001,0.928125,97.9375
7,7,2020/06/28,3阪神8,曇,11.0,宝塚記念(G1),,18,6.0,12,106.1,12,3,池添謙一,58,芝2200,稍,5.0,2:15.3,1.8,95.0,12-11-11-8,34.6-36.3,37.6,480(+2),,出遅れ,クロノジェネシス,3854.0,8,23049.8,1213.1473684210525,0.7052631578947369,98.0
8,8,2020/10/25,4京都6,晴,11.0,菊花賞(G1),,18,5.0,9,23.0,4,2,ルメール,57,芝3000,良,4.0,3:05.5,0.0,116.0,7-7-7-4,36.8-35.6,35.1,474(+8),,,コントレイル,5580.8,9,19495.3,1499.6384615384616,0.3846153846153847,99.15384615384616
9,9,2020/12/12,3中京3,晴,11.0,中日新聞杯(G3),,18,4.0,7,48.4,14,11,川島信二,54,芝2000,良,-12.0,2:00.9,0.8,95.0,14-14-13-11,36.4-34.4,34.1,536(+2),,,ボッケリーニ,0.0,10,8766.6,302.29655172413794,0.5517241379310345,93.82758620689656
10,10,2021/04/11,2阪神6,晴,10.0,大阪ーハンブルクC(OP),,14,5.0,8,6.5,2,10,酒井学,51,芝2600,良,-20.0,2:36.3,1.2,101.0,9-9-9-10,34.9-34.1,34.3,346(-2),,,ミスマンマミーア,0.0,11,5523.0,230.125,1.0083333333333335,88.54166666666667
11,11,2020/12/05,5中山1,小雨,11.0,ステイヤーズS(G2),,15,5.0,8,178.4,12,10,大野拓弥,56,芝3600,稍,6.0,3:54.1,2.1,87.0,13-13-13-11,39.8-35.2,35.7,480(-2),,,オセアグレイト,0.0,12,7715.400000000001,266.048275862069,0.8965517241379312,91.17241379310344
12,12,2021/01/11,1中山4,曇,10.0,迎春S(3勝クラス),,16,5.0,9,34.1,8.0,11,石川裕紀,57,芝2200,良,-2.0,2:17.4,0.7,84.0,14-13-7-8,38.8-35.1,35.3,510(+6),,出遅れ,ブラックマジック,0.0,13,11052.3,298.7108108108108,0.7054054054054053,93.37837837837837
13,13,2019/02/11,1東京5,曇,11.0,デイリー杯クイーンC(G3),,9,8.0,9,2.1,1,1,北村友一,55,芝1600,良,-9.0,1:34.2,0.0,99.0,6-6,36.1-33.8,33.1,438(+2),,,(ビーチサンバ),3532.9,1,53165.80000000001,4833.254545454546,-0.09999999999999999,102.54545454545455
14,14,2018/03/24,3中山1,晴,11.0,日経賞(G2),,15,8.0,14,3.3,1,9,ルメール,57.0,芝2500,良,-3.0,2:34.6,0.7,105.0,3-1-1-1,31.0-36.0,36.7,496(+5),,出遅れ,ガンコ,0.0,2,62021.90000000001,3101.0950000000003,0.3650000000000001,105.75
15,15,2019/05/04,3京都5,晴,11.0,京都新聞杯(G2),,14,8.0,14,58.7,12,9,藤井勘一,56,芝2200,良,-14.0,2:13.2,1.3,88.0,6-6-2-2,35.4-35.3,36.6,482(+2),,,レッドジェニアル,0.0,3,16949.4,1210.6714285714286,0.5,96.14285714285714
16,16,2020/03/15,1中京6,晴,11.0,金鯱賞(G2),,12,5.0,6,1.3,1,1,ルメール,58,芝2000,良,-2.0,2:01.6,-0.3,106.0,5-5-5-5,37.9-33.8,33.2,502(-2),,,(サトノソルタス),6785.4,4,52358.5,5235.85,0.27999999999999997,100.6
17,17,2019/09/16,4中山5,曇,11.0,朝日セントライト記念(G2),,18,6.0,11,17.8,11,11,池添謙一,56,芝2200,重,-6.0,2:12.5,1.0,105.0,14-13-13-14,35.6-35.9,35.6,446(-8),,出遅れ,リオンリオン,0.0,5,12717.599999999999,847.8399999999999,0.6733333333333333,96.53333333333333
18,18,2019/10/14,4東京5,曇,11.0,アイルランド府中牝馬(G2),,15,8.0,15,3.9,2,3,石橋脩,54.0,芝1800,稍,-5.0,1:44.8,0.3,119.0,6-4-3,34.9-34.3,34.3,522(+16),,,スカーレットカラー,1416.0,6,56552.30000000001,3770.153333333334,0.28,103.4
19,19,2019/08/04,1札幌4,晴,10.0,藻岩山特別(2勝クラス),,13,5.0,7,7.7,4,3,荻野極,56.0,芝1800,良,-14.0,1:47.0,0.3,103.0,6-7-8-5,35.6-35.2,35.0,460(-10),,,リープフラウミルヒ,384.1,7,14268.499999999998,492.0172413793103,0.47241379310344833,88.79310344827586
20,20,2019/09/16,4阪神5,晴,8.0,3歳以上1勝クラス,,9,4.0,4,1.7,1,1,藤岡康太,54,芝1800,良,-15.0,1:47.2,-0.1,95.0,9-9,36.6-33.6,32.9,448(-8),,出遅れ,(ピノクル),750.0,8,10124.600000000002,674.9733333333335,0.5533333333333332,92.2
