,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/10/31,4東京8,曇,11,天皇賞(秋)(G1),,16,3,5,3.4,3,1,横山武史,56,芝2000,良,-11,1:57.9,-0.1,118,6-6-6,36.2-33.6,33.2,514(+4),,,(コントレイル),15336.0,1,73663.59999999999,10523.371428571427,-0.2,101.28571428571429
1,1,2021/05/02,2阪神12,晴,11.0,天皇賞(春)(G1),,17,6.0,12,3.6,1,2,和田竜二,58.0,芝3200,良,-10.0,3:14.8,0.1,110.0,4-3-4-3,35.8-37.4,37.1,502(0),,,ワールドプレミア,6102.0,2,36182.2,2783.2461538461534,0.40769230769230774,98.23076923076923
2,2,2021/06/27,3阪神4,晴,11.0,宝塚記念(G1),,13,5.0,7,1.8,1,1,ルメール,56,芝2200,良,-12.0,2:10.9,-0.4,112.0,4-4-3-4,35.1-34.7,34.4,478(0),,,(ユニコーンライオン),15281.4,3,110171.39999999998,7344.759999999998,-0.08000000000000002,105.93333333333334
3,3,2021/09/26,5中京7,雨,11,神戸新聞杯(G2),,10,5,5,3.0,2,1,吉田隼人,56,芝2200,不,35,2:18.0,0.0,107,9-8-9-9,37.0-36.5,35.6,506(+18),,,(レッドジェネシス),5471.4,4,27587.299999999996,3065.255555555555,0.2111111111111111,100.88888888888889
4,4,2021/10/24,4阪神6,曇,11,菊花賞(G1),,18,2,3,8.0,4,1,横山武史,57,芝3000,良,-13,3:04.6,-0.8,104,1-1-1-1,35.1-35.1,35.1,464(-2),,,(オーソクレース),15007.9,5,31745.9,3527.3222222222225,0.2666666666666667,96.88888888888889
5,5,2021/11/28,5東京8,晴,12,ジャパンC(G1),,18,5,9,20.5,4,9,横山武史,57,芝2400,良,-17,2:25.8,1.1,92,1-1-2-2,37.0-35.3,35.3,480(+8),,,コントレイル,0.0,6,22223.299999999996,1388.9562499999997,0.44375000000000003,99.5
6,6,2021/11/14,5阪神4,晴,11,エリザベス女王杯(G1),,17,8,16,64.9,10,1,幸英明,56,芝2200,良,-1,2:12.1,-0.3,113,13-13-13-7,34.1-36.5,35.7,514(0),,出遅れ,(ステラリア),10861.2,7,19289.500000000007,918.5476190476194,0.2761904761904762,93.76190476190476
7,7,2021/11/28,5東京8,晴,12,ジャパンC(G1),,18,7,13,278.8,16,13,池添謙一,57,芝2400,良,-17,2:26.5,1.8,89,14-14-16-15,37.0-35.3,34.8,488(+6),,出遅れ,コントレイル,0.0,8,23049.8,1002.1652173913043,0.8826086956521738,97.8695652173913
8,8,2021/11/28,5東京8,晴,12,ジャパンC(G1),,18,8,16,240.1,14,12,藤岡佑介,57,芝2400,良,-17,2:26.2,1.5,90,13-14-13-12,37.0-35.3,34.7,506(+6),,,コントレイル,0.0,9,35646.600000000006,1425.8640000000003,0.6,101.0
9,9,2021/11/28,5東京8,晴,12.0,ジャパンC(G1),,18,3.0,5,37.4,7,10,和田竜二,57.0,芝2400,良,-17.0,2:26.0,1.3,92.0,18-14-1-1,37.0-35.3,36.6,512(+6),,出遅れ,コントレイル,0.0,10,70140.29999999999,2418.6310344827584,0.5241379310344827,105.82758620689656
