,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2020/10/25,4京都6,晴,5,2歳新馬,,18,7,13,2.3,1,1,福永祐一,55,芝1800,良,5,1:49.9,0.0,86,6-4,36.2-35.0,34.6,450(0),,,(ヴィヴァン),700.0,1,28208.499999999996,7052.124999999999,0.1,100.25
1,1,2020/11/08,5東京2,晴,9,百日草特別(1勝クラス),,8,6,6,3.5,2,1,横山武史,55,芝2000,良,-8,2:02.3,-0.2,82,4-4-4,37.2-33.7,33.4,510(-6),,S接触,(レインフロムヘヴン),1028.9,2,27991.600000000002,5598.320000000001,-0.24000000000000005,95.0
2,2,2020/07/05,4阪神2,晴,5,2歳新馬,,14,1,1,3.2,2,1,川田将雅,54,芝1600,稍,5,1:36.4,0.0,83,2-1,35.7-35.7,35.7,488(0),,,(グルーヴビート),700.0,3,15815.9,2635.983333333333,0.13333333333333333,97.66666666666667
3,3,2021/03/27,2阪神1,晴,11,毎日杯(G3),,9,7,7,1.9,1,2,ルメール,56,芝1800,良,-16,1:43.9,0.0,113,6-6,34.5-34.4,34.0,474(-8),,出遅れ,シャフリヤール,1509.6,4,6236.400000000001,1559.1000000000001,-0.05,102.0
4,4,2021/04/11,2阪神6,晴,11,桜花賞(G1),,18,8,18,3.3,1,2,ルメール,55,芝1600,良,-20,1:31.1,0.0,117,15-16,34.1-34.3,32.9,474(0),,出遅れ,ソダシ,4967.4,5,11338.3,2267.66,-0.02,98.2
5,5,2020/11/23,5東京7,曇,11,東京スポーツ杯2歳S(G3),,10,2,2,16.6,5,2,戸崎圭太,55,芝1800,良,-9,1:47.7,0.2,92,1-2-2,35.8-34.3,33.9,470(-2),,,ダノンザキッド,1310.0,6,13738.0,2289.6666666666665,0.23333333333333336,93.83333333333333
6,6,2021/02/07,1中京12,晴,11,きさらぎ賞(G3),,11,3,3,3.4,2,2,武豊,56,芝2000,良,-1,2:01.0,0.0,102,9-9-9-9,37.4-35.6,34.9,506(+4),,出遅れ,ラーゴム,1511.4,7,6151.0,1025.1666666666667,0.2333333333333333,94.33333333333333
7,7,2021/03/28,2中京6,雨,9,大寒桜賞(1勝クラス),,14,7,11,4.0,2,4,浜中俊,56,芝2200,重,11,2:15.9,0.3,93,2-2-1-1,34.7-37.2,37.5,468(+4),,,マカオンドール,150.0,9,3507.0,501.0,0.18571428571428575,91.0
8,8,2020/11/28,5阪神8,晴,11,ラジオN杯京都2歳S(G3),,10,7,8,4.4,3,1,和田竜二,55,芝2000,良,-10,2:01.6,-0.1,88,7-7-7-6,36.6-35.5,35.0,462(-2),,,(ラーゴム),3335.7,10,10085.699999999999,1680.9499999999998,0.01666666666666668,93.66666666666667
9,9,2021/02/20,1東京7,晴,9,フリージア賞(1勝クラス),,14,7,12,5.2,2,6,川田将雅,56,芝2000,良,-12,2:00.8,0.5,90,2-2-2,36.4-35.1,35.5,488(+6),,出遅れ,レインフロムヘヴン,0.0,11,7416.9,927.1125,0.3125,90.0
10,10,2020/07/19,4阪神6,晴,5,2歳新馬,,12,8,12,4.0,2,1,北村友一,54,芝2000,良,1,2:04.1,-0.1,78,3-3-3-3,36.5-35.8,35.6,506(0),,,(ビップランバン),700.0,12,6535.3,1089.2166666666667,0.5333333333333333,91.5
11,11,2020/12/26,5中山7,晴,3,2歳未勝利,,18,4,7,7.5,3,1,北村友一,55,芝2000,良,8,2:03.0,-1.4,94,2-2-2-2,36.6-37.2,37.1,476(0),,,(ロックオブエイジズ),510.0,13,4443.2,555.4,0.44999999999999996,89.75
12,12,2020/11/28,5阪神8,晴,5,2歳新馬,,9,8,9,1.4,1,1,福永祐一,55,芝1800,良,-10,1:49.3,-0.1,79,6-3,36.9-34.6,34.4,484(0),,,(カサデガ),700.0,14,7720.0,1544.0,0.72,91.2
13,13,2020/11/28,5阪神8,晴,11,ラジオN杯京都2歳S(G3),,10,2,2,6.9,4,6,坂井瑠星,55,芝2000,良,-10,2:02.1,0.5,81,2-2-2-2,36.6-35.5,35.9,482(+20),,,ワンダフルタウン,0.0,15,9790.9,1223.8625,0.3625,94.0
14,14,2021/01/17,1中京6,曇,9,梅花賞(1勝クラス),,8,2,2,2.0,1.0,1,武豊,56,芝2200,良,-7,2:13.6,-0.2,97,6-5-5-5,35.6-35.1,34.7,456(+2),,,(ヴェローチェオロ),1027.5,16,4150.7,691.7833333333333,0.5499999999999999,88.5
15,15,2020/12/12,6阪神3,曇,9,エリカ賞(1勝クラス),,8,7,7,11.6,4,1,福永祐一,55,芝2000,良,-10,2:03.4,-0.1,73,2-2-2-1,38.2-34.4,34.4,476(+4),,,(ディープモンスター),1027.5,17,5712.7,952.1166666666667,0.6499999999999999,87.0
16,16,2019/10/26,4京都8,晴,9,萩S(L),,7,4,4,2.2,1,1,スミヨン,55,芝1800,稍,9,1:50.8,-0.1,87,3-3,37.5-34.7,34.5,490(0),,,(シリアスフール),1714.7,3,12844.5,2140.75,0.30000000000000004,90.16666666666667
17,17,2019/08/31,2札幌5,曇,11,札幌2歳S(G3),,12,5,6,29.4,5,1,石川裕紀,54,芝1800,稍,6,1:50.4,-0.2,92,7-7-9-6,36.0-37.3,36.5,418(-4),,,(サトノゴールド),3142.7,7,4732.7,676.1,0.5999999999999999,86.28571428571429
